nom_molecule,formule_chimique,masse_molaire,categorie,concentration
PVC,C27H46O,57.07313803506129,Alcaloïde,17.418782188282794
Méthane,CH3COOH,11.998589112435575,Alcaloïde,20.13881432603481
Vitamine C,CH4,0.09246792771068613,Médicament,-3.234977627126253
Benzène,HCl,-2.9659863357866456,Médicament,19.075141725852788
Caféine,H2O,33.71927559450725,Gaz,21.67176966094031
Éthanol,H2O,36.96989659291396,Base Faible,-9.952475846458178
Toluène,NaOH,37.73735305280743,Acide Fort,112.412408317505
Ammoniaque,(C3H6)n,4.045964493375699,Polymère,-6.261141980485925
Dioxyde de Carbone,CO2,205.08720492721463,Gaz,26.964420672419063
Acide Acétique,CO2,15.114027869766481,Médicament,686.6071803578945
Acétone,CH4,38.81760508901028,Hydrocarbure,97.29026867139552
Glucose,C3H6O,-7.4629382202463574,Base Forte,11.576367171691363
Hydroxyde de Sodium,C7H8,143.92383339045955,Vitamine,5.0962494634573385
Vitamine C,N2,47.3364927518779,Acide Fort,6.9886705693096856
Cholestérol,NaOH,19.75717946197245,Acide Carboxylique,8.258634623172332
Cholestérol,C6H8O6,127.18834398470804,Alcaloïde,85.2668105094744
Eau,C2H5OH,17.212974109063147,Glucide,96.03563487434644
Acide Chlorhydrique,(C2H3Cl)n,17.882279039100816,Hydrocarbure,19.418532598836247
Acide Acétique,H2O,356.92083086822015,Glucide,10.233900036099989
Caféine,C8H10N4O2,21.906141452187658,Médicament,-4.313563205894405
Benzène,C6H8O6,152.31322985752433,Base Forte,89.2760571898594
Acide Acétique,CH3COOH,311.4020739067722,Médicament,30.19608487443365
Acide Chlorhydrique,C6H6,295.01531896595475,Stéroïde,58.28060431729861
Aspirine,C2H5OH,55.78349514266376,Base Faible,-7.057704504552725
Dioxyde de Carbone,C13H18O2,11.986067886224241,Base Forte,-2.5057833329864705
Ibuprofène,C6H8O6,49.14639320537984,Glucide,41.22163026740371
Dioxyde de Carbone,NaOH,229.8672599747872,Hydrocarbure Aromatique,394.4788848481429
Ammoniaque,C6H12O6,-9.502741689841642,Acide Carboxylique,10.303506603086392
Acétone,C6H6,154.3456870978886,Alcaloïde,19.098268428256834
Polypropylène,NH3,10.148091322014373,Hydrocarbure,-10.849040288086048
Ammoniaque,H2O,14.025061029733315,Gaz,61.24616668425548
Dioxyde de Carbone,N2,146.6339432021183,Alcaloïde,13.14142724898631
Polyéthylène,CH4,155.4637495102525,Glucide,99.06829700069777
Caféine,C3H6O,12.709554184329463,Stéroïde,51.03447111641177
Cholestérol,N2,29.972701717372587,Inorganique,67.18212342993074
Aspirine,(C2H4)n,4.862563854039276,Base Faible,22.409604646712513
Acétone,N2,140.59811372701313,Alcaloïde,3.8826941681781673
Dioxyde de Carbone,CO2,6.855160764574627,Inorganique,71.29974837733484
Acide Acétique,C13H18O2,38.296791012390955,Stéroïde,292.83098113622367
Méthane,H2SO4,-5.947209770550522,Acide Carboxylique,23.68531045507237
Paracétamol,NH3,395.63874126909735,Alcool,2.9603250523545666
Acétone,CH4,144.80987033764075,Base Forte,120.79972019745841
Vitamine C,H2SO4,144.5788138257554,Acide Fort,11.867229881319304
Ibuprofène,(C2H3Cl)n,2.0993654054883493,Base Faible,66.25834800908599
PVC,H2SO4,78.73986789666525,Cétone,14.906938568244666
Eau,(C2H3Cl)n,161.82534496889505,Inorganique,11.113082994917509
Polyéthylène,C13H18O2,171.35156532080782,Cétone,13.608877321158403
Hydroxyde de Sodium,C3H6O,1.525971914166778,Alcaloïde,94.40061854783929
Acide Acétique,CO2,95.38159458868203,Médicament,96.06305341043313
PVC,NH3,59.253642812272005,Polymère,9.288780209066443
Oxygène,C8H10N4O2,145.18729135857808,Médicament,55.47096263585345
Polyéthylène,HCl,128.84345333268573,Gaz,16.953404571631175
Acétone,C6H8O6,32.87477729024408,Hydrocarbure,8.171007975349113
Azote,C6H8O6,55.2133101689391,Hydrocarbure Aromatique,13.880072323788355
Acide Acétique,C9H8O4,7.475095672293701,Médicament,1.4901695826665105
Éthanol,H2O,26.84044531739407,Base Forte,8.93469938431048
Caféine,H2SO4,39.666701058000015,Glucide,12.92500093360507
Ammoniaque,O2,173.17146528735844,Acide Fort,20.244025127353122
Cholestérol,NH3,-3.020018203943579,Médicament,68.23171540671093
PVC,(C2H3Cl)n,26.50339777864091,Cétone,194.00819602146856
Ibuprofène,C3H6O,52.77992407500698,Gaz,12.556794641810855
Vitamine C,(C2H4)n,74.5147117633965,Hydrocarbure,17.97583368746818
Hydroxyde de Sodium,CH3COOH,24.045284991324923,Alcool,15.460785028278359
Toluène,C3H6O,40.19560849127818,Polymère,3.689042019957875
Ibuprofène,C3H6O,18.765860291686614,Base Forte,24.50819903317092
Eau,(C3H6)n,22.997839096805002,Gaz,110.03370090393605
Eau,O2,27.645313941825208,Hydrocarbure Aromatique,9.841014572098633
Éthanol,C7H8,385.1718532786761,Acide Fort,20.478004725497307
Caféine,H2SO4,195.04803178320867,Alcool,-0.2974260874826298
Méthane,H2O,392.21136814414547,Alcaloïde,6.44182546810272
Acide Chlorhydrique,H2SO4,170.92599543368874,Acide Fort,13.280765840529524
Acide Chlorhydrique,C6H8O6,76.17431296579198,Inorganique,19.85848245933388
Acide Sulfurique,C3H6O,162.45550397438046,Acide Carboxylique,3.8172330817525415
Acide Chlorhydrique,C9H8O4,69.6994467653284,Médicament,28.452263243016574
Polypropylène,C27H46O,8.700502855272301,Gaz,-3.633934252142649
Acétone,C6H12O6,203.1248414027409,Base Forte,4.485718546284842
PVC,C8H10N4O2,67.86174336526824,Hydrocarbure Aromatique,545.6178104920504
Hydroxyde de Sodium,NH3,16.47234710085679,Alcaloïde,5.152979954029112
Azote,NH3,30.87691484281649,Médicament,85.13592905845812
Dioxyde de Carbone,H2O,-13.259315511122168,Alcaloïde,234.26528418846792
Aspirine,NH3,34.24607126073158,Polymère,30.8847662331656
Caféine,CH3COOH,433.41549742149346,Acide Carboxylique,9.849485032713838
Oxygène,NH3,56.94857741017561,Alcaloïde,564.6019492102953
Acide Acétique,C8H9NO2,6.905873672136778,Médicament,6.707950816869894
Toluène,HCl,193.99111740823852,Acide Fort,66.43389291287411
Toluène,(C3H6)n,32.37636913810301,Médicament,111.77567439373512
Benzène,C6H12O6,54.00011816016428,Gaz,18.59415105169488
Acide Chlorhydrique,C9H8O4,191.63832626449704,Hydrocarbure Aromatique,12.709979077163855
Acide Sulfurique,C2H5OH,7.428721385651482,Base Faible,16.027681503134467
Ibuprofène,NH3,21.619201608701008,Alcaloïde,124.56223587291574
Acide Sulfurique,CH3COOH,-8.161712791615905,Gaz,3.0028132930849893
Hydroxyde de Sodium,H2SO4,162.17998301837403,Gaz,13.388713931888715
Toluène,CH4,-2.3312072670757615,Acide Fort,15.945407091504038
Benzène,NH3,169.04132299594798,Médicament,585.1547003158391
Méthane,(C2H3Cl)n,8.55365826301577,Vitamine,206.84520089587852
Oxygène,NH3,180.74004064705153,Acide Carboxylique,-4.658768228665681
Polyéthylène,H2O,1.9327724912390707,Alcaloïde,925.9416870220587
Oxygène,N2,55.65628710148406,Polymère,-1.2832997143561373
Ammoniaque,C6H6,10.248222303580082,Polymère,28.802040714163127
Acide Acétique,C27H46O,161.20658487625724,Médicament,252.01467446096484
Glucose,C6H8O6,17.06895643454836,Base Faible,3.707602144021719
Caféine,C2H5OH,34.00270498834272,Base Faible,17.29455370911389
PVC,(C2H4)n,17.620964069911302,Polymère,2.1460174122518945
Acide Acétique,C8H9NO2,34.77855518145708,Base Forte,14.159007122141107
Méthane,N2,386.0665056302517,Acide Carboxylique,14.771456304986717
Eau,NH3,153.9460304269899,Inorganique,22.5979425594934
Vitamine C,(C2H4)n,38.11431463788945,Hydrocarbure Aromatique,13.930594170944612
Acide Acétique,NaOH,-6.328380408787645,Glucide,58.84656243912481
Méthane,CH4,39.7380473155772,Acide Fort,1215.7578634728152
Hydroxyde de Sodium,NaOH,173.14100953123972,Acide Fort,21.698320756438385
Aspirine,NH3,-12.735399180081274,Stéroïde,-3.0386163032436064
Acide Chlorhydrique,NaOH,20.1635571501185,Hydrocarbure Aromatique,-6.7111166250971435
Dioxyde de Carbone,HCl,31.397756788245395,Stéroïde,-14.722049885976723
Acide Chlorhydrique,N2,51.52141433796734,Stéroïde,55.88235726724984
Polyéthylène,O2,28.798323975583568,Acide Fort,-1.0804418063900219
Hydroxyde de Sodium,NaOH,207.14363233535332,Médicament,91.39496214227134
Aspirine,C6H6,9.55059569416601,Base Forte,9.957555159012774
Polypropylène,CH3COOH,216.95499747481415,Inorganique,-5.953646063045263
Éthanol,HCl,202.2624066953132,Alcool,120.70166360846756
Hydroxyde de Sodium,CH4,177.9210423965507,Alcool,94.00831791966642
Acétone,HCl,51.80648441217757,Alcool,3.0436267201233593
Éthanol,C8H10N4O2,50.84689689044913,Alcaloïde,15.452375430658417
Acide Acétique,C2H5OH,30.964364643177802,Gaz,135.54377629807928
Ammoniaque,NaOH,126.90186745769287,Médicament,75.61326886787458
Polypropylène,C9H8O4,40.16583153987887,Acide Fort,-8.581674360502372
Méthane,CH4,49.272453965558924,Gaz,39.00002757654488
Vitamine C,C3H6O,7.9694469184432535,Acide Fort,6.6828286211437575
Acide Acétique,C3H6O,40.44081822950421,Alcaloïde,1.909158407428146
Acide Sulfurique,NaOH,15.650384394410093,Alcool,-1.7641074905790353
Acide Acétique,C6H8O6,24.351485272973243,Polymère,23.040006868415386
Oxygène,C6H8O6,182.06483316071945,Gaz,760.9714352368837
Éthanol,C9H8O4,36.05558098021711,Hydrocarbure Aromatique,5.660061234880813
Ibuprofène,HCl,166.3209340523749,Hydrocarbure Aromatique,-2.786090483750237
Polypropylène,NH3,26.11491690178957,Base Forte,4.242488236284121
Paracétamol,N2,46.4064359218891,Alcool,100.55012084994249
Méthane,C2H5OH,193.3822719473949,Inorganique,-0.09717138559827809
Éthanol,NH3,180.8316523408042,Médicament,-0.5726374299016763
Cholestérol,C8H10N4O2,153.59339769948843,Acide Carboxylique,756.7256491245486
PVC,C6H8O6,4.446130525617125,Gaz,18.485297121238638
Benzène,C6H8O6,6.5182761351283816,Acide Fort,23.8548060467184
Dioxyde de Carbone,C8H9NO2,21.735463988010064,Médicament,90.06817721195952
Caféine,C8H10N4O2,62.76366839251484,Gaz,10.281306748325983
Polyéthylène,C27H46O,62.876941626881376,Hydrocarbure Aromatique,7.138168159210902
Azote,(C2H3Cl)n,12.990075412476688,Alcool,-2.331152261058125
Hydroxyde de Sodium,CH4,157.70659530584737,Gaz,139.05837179124188
Azote,C7H8,37.20445223128565,Polymère,19.425964681141362
Hydroxyde de Sodium,C3H6O,-9.73845879560357,Base Forte,119.3680663620208
Oxygène,CH3COOH,40.218079002466794,Hydrocarbure Aromatique,42.66287903593705
Acide Chlorhydrique,H2SO4,10.403046919606467,Stéroïde,27.365895699899973
Paracétamol,CH4,16.344438816327443,Hydrocarbure,106.06787237534712
Benzène,H2O,18.863693661162046,Base Faible,10.580287098566117
Benzène,H2O,180.58218551987827,Médicament,57.31420369225365
Dioxyde de Carbone,C13H18O2,358.27469175428763,Médicament,0.32566083471822527
Paracétamol,NaOH,317.1040043109336,Médicament,390.32458545470814
Éthanol,CO2,163.21178916249877,Base Forte,-5.0177425000308356
Eau,CH4,179.83927705411028,Polymère,89.60891241435586
Acide Acétique,C13H18O2,142.38182191674582,Polymère,27.134524402557453
Ammoniaque,C9H8O4,54.51069449801089,Acide Carboxylique,-5.947662334657939
Méthane,C6H8O6,42.34432114245401,Glucide,7.026917130417653
Dioxyde de Carbone,CO2,41.312553949662025,Base Faible,96.3158380114339
Ammoniaque,H2O,2.049601254718805,Acide Carboxylique,115.19144984868483
Glucose,C3H6O,150.23431084949667,Alcaloïde,2.857626934998154
Méthane,O2,156.42316867284063,Hydrocarbure,75.68158461879007
Ibuprofène,NH3,51.97312459544854,Base Faible,993.5176678585108
Aspirine,(C2H3Cl)n,46.09795632956104,Gaz,-9.39664778616239
