nom_molecule,formule_chimique,masse_molaire,categorie,concentration
Méthane,HCl,132.83175194490403,Stéroïde,77.99958659201414
Aspirine,C2H5OH,184.27702038273063,Polymère,20.157446435265644
Ibuprofène,C3H6O,-9.151394427935848,Vitamine,-3.7738060658408665
PVC,C7H8,-8.863414665971888,Inorganique,111.27728714165474
Ibuprofène,O2,40.55389712461103,Acide Carboxylique,8.550866904668355
Oxygène,H2O,30.778602241429137,Gaz,23.45222544741538
Benzène,C8H10N4O2,204.22754224891364,Hydrocarbure Aromatique,-5.448321312952863
Ibuprofène,(C2H4)n,9.278775184904614,Polymère,5.116637948972865
Hydroxyde de Sodium,H2O,319.2996325829641,Vitamine,71.2261718221932
Aspirine,C3H6O,77.50363183000256,Hydrocarbure,15.038996438408589
Glucose,CH3COOH,145.3995469771199,Polymère,6.645658632192528
Paracétamol,H2SO4,54.5562359645258,Glucide,3.6309453559593794
Caféine,CH4,24.66204105733496,Médicament,-2.6784945944956275
Polyéthylène,H2O,26.865982406365198,Médicament,69.74833319516001
Vitamine C,(C2H3Cl)n,5.278581890342245,Base Forte,28.537088339362292
Paracétamol,CH3COOH,182.54863365597927,Polymère,2.3300111901270535
Aspirine,C8H10N4O2,167.89547173430037,Glucide,14.48187820619286
Acide Chlorhydrique,(C2H3Cl)n,10.20806051693216,Médicament,41.53490526479428
Éthanol,C6H8O6,49.43502122821276,Acide Fort,65.37722254084842
Dioxyde de Carbone,NH3,17.013209469909086,Base Forte,76.4893415318561
Méthane,C8H10N4O2,193.95312369822489,Acide Fort,101.31893148912148
Toluène,C9H8O4,13.32016680823352,Cétone,21.38147850735928
Méthane,C2H5OH,23.24531504131184,Médicament,16.60702245235248
Benzène,C8H10N4O2,34.974112821817684,Vitamine,12.714009683861306
Ammoniaque,CH4,58.00376107627535,Hydrocarbure Aromatique,673.9950188261455
Azote,CH3COOH,5.682043248667604,Base Faible,27.22336460289541
Azote,CH4,192.98119841082547,Cétone,11.923380783164589
Méthane,(C2H4)n,46.55168729498051,Stéroïde,-19.219245647373604
Eau,HCl,196.74774726187454,Inorganique,8.573706593252089
Acide Acétique,C9H8O4,164.82650869779226,Base Faible,112.01728361811494
Cholestérol,N2,33.540361929240525,Vitamine,3.0256780065551014
Oxygène,CH4,153.59794766650518,Gaz,-7.926577210182418
Polyéthylène,C2H5OH,18.790617441799764,Inorganique,4.065550240570761
Vitamine C,C6H8O6,20.124415867885403,Alcaloïde,63.015537335290276
Eau,C6H8O6,26.296928895295345,Acide Carboxylique,125.78876759126942
Ibuprofène,H2SO4,29.664070437478046,Inorganique,92.50476340376512
Polypropylène,H2SO4,39.5372016644368,Glucide,-1.3191248473764494
Oxygène,CH3COOH,57.06015593588842,Hydrocarbure Aromatique,32.130358017247104
Acétone,(C2H4)n,16.229414716568883,Glucide,19.600677933560778
Acétone,(C2H4)n,130.7670404431261,Médicament,69.43158597198084
Ammoniaque,C8H10N4O2,62.78874654920455,Base Forte,87.09715583761309
Acide Chlorhydrique,C27H46O,139.97753113377468,Vitamine,18.327653930821313
Benzène,C2H5OH,54.17621552413309,Base Faible,-5.40991768978795
Acide Acétique,C7H8,129.20873501419914,Gaz,129.25686522683762
Paracétamol,HCl,207.27875790026243,Hydrocarbure Aromatique,-6.000210888661619
Azote,C2H5OH,193.66837826112192,Médicament,10.205080944417935
Hydroxyde de Sodium,NaOH,31.287770848723376,Acide Carboxylique,21.372113638767964
Hydroxyde de Sodium,C27H46O,15.50831397334483,Hydrocarbure,7.94571664701639
Éthanol,C27H46O,9.325174794237029,Gaz,61.376907363526065
Caféine,O2,142.2124082026054,Hydrocarbure Aromatique,-0.06774026552220747
Caféine,C3H6O,49.1435536877194,Acide Carboxylique,47.54753252131016
Éthanol,O2,140.73831487039752,Médicament,13.76673121494005
Éthanol,C6H8O6,13.443326244261787,Glucide,0.5076584917182032
PVC,CH4,13.56941467145585,Polymère,-4.393226378763491
Glucose,(C2H4)n,22.199602732488977,Polymère,80.22872273034318
Paracétamol,NH3,221.33611523843632,Gaz,14.690806348326372
Acide Acétique,H2O,8.925256924359502,Alcool,3.758806768942125
Caféine,H2SO4,154.2189278962383,Hydrocarbure Aromatique,78.04265497352186
Caféine,NaOH,143.4046458180984,Acide Fort,19.40935309977366
Acide Acétique,C6H6,138.1834409751032,Polymère,32.28703065816503
Polyéthylène,C8H10N4O2,174.1870254668814,Polymère,-6.094770356859249
Hydroxyde de Sodium,(C2H3Cl)n,26.307854321708376,Acide Carboxylique,17.368947444179685
Éthanol,C3H6O,38.56546537456778,Médicament,-2.3282333088790947
Cholestérol,NH3,161.91477775855725,Alcaloïde,6.604866358520692
Acide Chlorhydrique,(C2H4)n,77.98141684533014,Hydrocarbure Aromatique,13.690329967010449
Aspirine,C27H46O,38.4121896630916,Polymère,65.11498296884417
Ibuprofène,N2,166.59400291666412,Médicament,22.043822370455622
Toluène,CH4,12.977195526966312,Acide Fort,101.20159176186226
Azote,C7H8,6.019603149852362,Acide Fort,9.28585353315705
Polyéthylène,C6H8O6,11.164566052739076,Hydrocarbure Aromatique,5.176293879657174
Eau,C6H6,-5.5877457423478205,Stéroïde,24.65157865625109
Benzène,H2O,6.439647493896196,Médicament,100.79227243417687
Acétone,(C2H3Cl)n,170.56605556428065,Gaz,21.379333164013474
Eau,C2H5OH,45.08350107063194,Vitamine,298.92483384896565
Acide Acétique,H2SO4,455.204106457419,Médicament,634.2888673469231
Polypropylène,O2,35.64182973614895,Cétone,11.318194378454521
Azote,C2H5OH,40.4768074222611,Polymère,97.16751916367622
Caféine,C13H18O2,86.42159622862565,Cétone,7.882904645630888
Dioxyde de Carbone,NH3,96.70107929278603,Médicament,-3.971628101609885
Dioxyde de Carbone,C3H6O,27.8494188605706,Hydrocarbure Aromatique,14.419759641319406
Azote,(C2H4)n,66.32633471099794,Acide Fort,2.6769800039641707
Aspirine,C27H46O,202.671451243914,Hydrocarbure Aromatique,23.739077378340085
Hydroxyde de Sodium,NaOH,12.87647275972769,Médicament,644.3748564862289
Eau,H2SO4,14.032164888422447,Hydrocarbure Aromatique,103.73095430674991
Acide Chlorhydrique,C8H10N4O2,7.194432479616509,Médicament,-9.371351024475373
Vitamine C,H2O,415.52367094163924,Gaz,32.660972114245375
Hydroxyde de Sodium,C27H46O,95.21264431975163,Alcool,95.03271650393519
Polyéthylène,C6H6,11.48511923518944,Médicament,21.766278461466754
Benzène,CH3COOH,268.85598171935567,Vitamine,119.9047055291935
Acétone,C8H9NO2,9.060478401816919,Acide Fort,16.368085455111697
Eau,C6H6,98.70381886820182,Polymère,31.215527262258423
Éthanol,C2H5OH,74.94986871380176,Acide Fort,412.382087472726
Vitamine C,C8H10N4O2,35.226123390540195,Hydrocarbure Aromatique,11.508443760025806
Acide Sulfurique,N2,94.5220450529806,Acide Carboxylique,106.57987044161189
Ibuprofène,(C2H4)n,1.2159546590165249,Stéroïde,240.69556627601185
Éthanol,C8H9NO2,313.4377426371816,Alcool,18.681481108272134
Méthane,CH4,9.491004651421786,Stéroïde,10.522841699511883
Toluène,(C2H4)n,74.35270293277624,Médicament,116.29946339537139
Glucose,(C2H4)n,81.2841441981753,Base Faible,76.62360841381164
Oxygène,N2,57.87837763690378,Polymère,12.88881494790217
Acide Sulfurique,(C2H4)n,29.95447186958502,Polymère,92.26213336832147
Eau,C7H8,143.73730531017725,Inorganique,117.89831261043096
Azote,NaOH,9.35547086078531,Acide Fort,20.464179866044805
Ammoniaque,NaOH,163.05148109555992,Alcool,-0.31903955663383154
Acide Chlorhydrique,O2,143.71835587446503,Vitamine,83.63637142377797
Benzène,C8H9NO2,15.83200716937927,Cétone,85.37481784726175
Benzène,O2,36.8166145336879,Gaz,5.0934122283455565
Ibuprofène,C27H46O,10.656221487988237,Polymère,28.338777545935862
Paracétamol,C13H18O2,8.308315158621376,Hydrocarbure Aromatique,-9.60025026173556
Cholestérol,(C2H3Cl)n,69.04306892313767,Acide Carboxylique,17.26098081586762
Acide Sulfurique,C27H46O,91.44883613602124,Alcool,995.1661123380871
Polypropylène,H2SO4,47.849634759967245,Acide Carboxylique,16.35905672326581
PVC,CH3COOH,35.99093770964928,Polymère,103.60868152297918
PVC,C8H10N4O2,79.778605122442,Acide Fort,870.4127583615791
Acétone,HCl,42.758810442899886,Base Forte,23.211395827286285
Vitamine C,NH3,168.97513822962154,Polymère,22.295346576595435
Polyéthylène,HCl,24.880961622691103,Polymère,23.01599533546088
Cholestérol,C27H46O,153.61001159211116,Alcool,16.97691437106126
Acide Acétique,CO2,155.85168504562688,Cétone,80.11583847201653
Toluène,CH3COOH,155.86746938625208,Gaz,1.2925625082248997
Aspirine,C7H8,157.94967003799448,Médicament,10.135469125294884
Benzène,O2,6.06089095212425,Gaz,-1.8212346719422845
Dioxyde de Carbone,(C2H4)n,132.6656313008144,Gaz,36.85202173614072
Éthanol,(C3H6)n,47.720216836141915,Hydrocarbure,372.88874901639775
Benzène,C6H8O6,55.64542488403559,Acide Fort,5.195025933958913
Polyéthylène,HCl,-9.416512865192523,Stéroïde,-12.58229234196908
Acide Chlorhydrique,(C2H4)n,-15.595610542945337,Vitamine,45.5766762638458
Acétone,(C3H6)n,350.22821616524914,Alcool,11.72697775113798
Acétone,CH4,11.094646728754334,Alcool,10.007325950628474
Acide Acétique,C8H9NO2,49.44181952644022,Alcool,7.780188840931943
Polypropylène,C8H10N4O2,35.12941255481883,Vitamine,11.704596234239418
Méthane,CH4,43.86528454684362,Polymère,12.571102079936475
Glucose,N2,178.8231629115325,Base Forte,693.9422250908657
Acide Chlorhydrique,C6H8O6,186.04446346874863,Acide Fort,34.90772742182826
Eau,C6H6,171.78281409694586,Glucide,14.37242553215883
Glucose,C6H12O6,24.27476228773302,Base Forte,85.81624004200694
Ammoniaque,H2O,79.98331647085149,Vitamine,78.68036825409916
Ibuprofène,C6H6,123.50853359327964,Acide Carboxylique,-5.603161716095829
Acétone,(C3H6)n,6.6422442090635165,Polymère,23.31212439339997
Ibuprofène,C6H8O6,360.37969646841645,Hydrocarbure,8.05263439274507
Benzène,CH4,184.00868944868625,Stéroïde,53.98480077140263
Oxygène,CO2,-7.44179883847228,Polymère,11.570352385714187
Toluène,CH3COOH,-12.47890733928407,Cétone,-0.26592377187224425
Toluène,C9H8O4,27.18472375033217,Alcool,31.218307805189337
Méthane,(C2H4)n,18.415909154100188,Hydrocarbure Aromatique,71.81705302023389
Éthanol,O2,29.429336716172912,Cétone,670.2877094018946
Acide Sulfurique,(C3H6)n,25.440175140718743,Cétone,7.656941970654958
Paracétamol,N2,160.04893935053457,Hydrocarbure Aromatique,87.3115037066284
Vitamine C,C3H6O,29.946026179474018,Gaz,94.43106324464311
Cholestérol,CH4,59.47398060418935,Cétone,96.74173213263623
Acétone,CH3COOH,36.2159915706779,Hydrocarbure Aromatique,74.40248762868345
Méthane,C8H9NO2,58.853944745208615,Acide Fort,96.80867730219953
Caféine,C2H5OH,27.09305012524647,Médicament,2.0313672855815605
Azote,C13H18O2,38.03040169347522,Gaz,22.262909380661835
Oxygène,C3H6O,43.48662001084604,Cétone,15.86064872818866
Hydroxyde de Sodium,NaOH,74.52030393342466,Cétone,26.8391862546076
