exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Coopérative Oasis,Green Valley Farm,Italie,Sfax,0.0,Raisins de Table,179.21477453227354,3033.6469787762267,Standard
Green Valley Farm,Hacienda El Sol,USA,Canterbury,0.0,Mandarines,1159.2652654296353,3562.7394674371126,Standard
Fazenda Brasil,Ferme Al Baraka,Italie,Canterbury,0.0,Olives de Table,67.73604480817066,2644.257004059764,Premium
Domaine Provence Bio,Mercabarna,France,Provence,0.0,Salades,273.85425072917633,3345.8067110469083,Premium
Cooperative Grains Alliance,Marché Wholesale Agadir,France,Toscane,0.0,Arabica,692.4399315979853,12262.76407894023,Premium
Fazenda Brasil,Fazenda Brasil,Maroc,Canterbury,0.0,Olives de Table,823.6583693826849,1643.495590058217,Commerce Équitable
Union Agricole Méditerranée,Rungis International,Maroc,Andalousie,0.0,Olives à Huile,125.08763535772513,3812.413632632045,Bio Certifié
Domaine Provence Bio,Union Agricole Méditerranée,Nouvelle-Zélande,Sfax,0.0,Raisins de Cuve,194.60839332327825,3383.554808367342,Standard
Marché Wholesale Agadir,Fattoria Toscana,Maroc,São Paulo,0.0,Pommes,146.10819247870782,3759.732469491647,Premium
Domaine Provence Bio,Rungis International,France,Toscane,0.0,Tomates,202.74953500593546,1641.5071743686317,Bio Certifié
Domaine Provence Bio,Green Valley Farm,USA,Souss-Massa,0.0,Lait,109.41446149682744,4266.103832588663,Bio Certifié
Green Valley Farm,Coopérative Oasis,Maroc,Californie,0.0,Olives de Table,277.8801419112539,5693.837973609487,Bio Certifié
Rungis International,Marché Wholesale Agadir,Espagne,Kansas,0.0,Pommes,229.34209578450844,1192.0498423002746,Bio Certifié
Domaine Saada,Green Valley Farm,Tunisie,Andalousie,0.0,Riz,236.801195819278,3266.356160544303,Standard
Dairy Meadows,Cooperative Grains Alliance,Espagne,Meknès-Fès,0.0,Arabica,259.3278510453849,1437.6605212432164,Standard
Domaine Provence Bio,Mercabarna,Espagne,Souss-Massa,0.0,Orge,49.01008822223436,117.46659785421434,Premium
Green Valley Farm,Cooperative Grains Alliance,Brésil,Kansas,0.0,Riz,102.9336892709421,2219.563061711032,Standard
Domaine Provence Bio,Fazenda Brasil,France,Californie,0.0,Raisins de Table,101.25494793405879,1549.249288438123,Bio Certifié
Green Valley Farm,Cooperative Grains Alliance,Espagne,Marrakech-Safi,0.0,Maïs,142.30164049540173,2425.455117880565,Bio Certifié
Coopérative Oasis,Green Valley Farm,France,Provence,0.0,Arabica,148.86099594082398,2030.372448965818,Standard
Union Agricole Méditerranée,Fazenda Brasil,Maroc,São Paulo,0.0,Olives à Huile,51.54922011121748,4646.272083614682,Bio Certifié
Union Agricole Méditerranée,Fazenda Brasil,Maroc,Canterbury,0.0,Maïs,71.59121440050075,17928.128952337,Bio Certifié
Rungis International,Ferme Al Baraka,Nouvelle-Zélande,Catalogne,0.0,Orge,10.328881135252615,312.27618181942023,Standard
Fattoria Toscana,Mercabarna,Maroc,Toscane,0.0,Robusta,495.53027434992305,2929.1358536367948,Premium
Coopérative Oasis,Ferme Al Baraka,Espagne,Souss-Massa,0.0,Maïs,6.931702427728752,3041.7937765570227,Bio Certifié
Domaine Provence Bio,Fattoria Toscana,Espagne,Sfax,0.0,Pommes de terre,255.11397062976454,4132.057751830252,Standard
Marché Wholesale Agadir,Rungis International,Espagne,Meknès-Fès,0.0,Raisins de Table,637.3289305836324,5227.563892960091,Standard
Domaine Saada,Mercabarna,Espagne,Catalogne,0.0,Oignons,183.82810562296845,517.273478610844,Standard
Union Agricole Méditerranée,Ferme Al Baraka,France,Andalousie,0.0,Blé,122.3302114526067,2237.003872974836,Bio Certifié
Union Agricole Méditerranée,Fattoria Toscana,Nouvelle-Zélande,Catalogne,0.0,Courgettes,546.6213581474094,2052.075721653769,Standard
Coopérative Oasis,Marché Wholesale Agadir,Maroc,Île-de-France,0.0,Tomates,163.69123636081042,13539.834043783412,Bio Certifié
Green Valley Farm,Fattoria Toscana,USA,Marrakech-Safi,0.0,Fromage,32.5174731866867,1179.9023955441658,Standard
Green Valley Farm,Fattoria Toscana,Espagne,Île-de-France,0.0,Olives à Huile,289.039218588855,2179.346934446392,Commerce Équitable
Hacienda El Sol,Fattoria Toscana,Maroc,Canterbury,0.0,Blé,69.34180696082338,4460.5677011156995,Bio Certifié
Hacienda El Sol,Domaine Provence Bio,Tunisie,Andalousie,0.0,Raisins de Cuve,132.40168005818924,2741.065867762606,Bio Certifié
Fattoria Toscana,Green Valley Farm,Italie,Toscane,0.0,Raisins de Table,383.4935943748316,1238.7714445681697,Standard
Fazenda Brasil,Fattoria Toscana,Italie,Toscane,0.0,Arabica,92.57593945514866,3473.9568595813034,Premium
Dairy Meadows,Coopérative Oasis,Tunisie,Toscane,0.0,Olives à Huile,118.68741319756529,1818.6604559924717,Standard
Domaine Saada,Green Valley Farm,Nouvelle-Zélande,Andalousie,0.0,Beurre,216.77174021812888,2794.4153476429797,Premium
Domaine Saada,Ferme Al Baraka,Tunisie,Toscane,0.0,Olives à Huile,103.9483282700134,11537.408603078373,Standard
Dairy Meadows,Dairy Meadows,France,Souss-Massa,0.0,Olives à Huile,436.78112872541647,2621.281375413096,Bio Certifié
Hacienda El Sol,Fattoria Toscana,USA,Souss-Massa,0.0,Riz,264.92496408872296,3285.7338839671834,Bio Certifié
Green Valley Farm,Rungis International,Tunisie,Canterbury,0.0,Yaourt,138.72704019826708,2955.352179716659,Premium
