exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Dairy Meadows,Green Valley Farm,USA,Catalogne,,Pommes de terre,121.77521814142625,3628.2733585005126,Bio Certifié
Fattoria Toscana,Domaine Saada,France,Catalogne,,Robusta,156.7296485613879,1368.0160228553234,Standard
Hacienda El Sol,Cooperative Grains Alliance,France,Toscane,,Fromage,191.79189665861892,7725.650706956875,Premium
Union Agricole Méditerranée,Domaine Provence Bio,Espagne,Californie,,Tomates,114.4647233607497,9325.423590637994,Commerce Équitable
Fattoria Toscana,Ferme Al Baraka,Brésil,Provence,,Raisins de Table,8.767765990637542,4525.119186528167,Bio Certifié
Mercabarna,Hacienda El Sol,Tunisie,Marrakech-Safi,,Orge,101.38701065912664,5204.680105456979,Premium
Fazenda Brasil,Dairy Meadows,Italie,Californie,,Fromage,1128.138675825739,3472.702633388514,Commerce Équitable
Green Valley Farm,Union Agricole Méditerranée,USA,Canterbury,,Fromage,568.5579243037322,1947.4465678392583,Bio Certifié
Domaine Saada,Domaine Provence Bio,Italie,Californie,,Raisins de Table,160.91820042582617,2322.235611019264,Bio Certifié
Cooperative Grains Alliance,Fattoria Toscana,France,Kansas,,Olives de Table,156.1495237328517,953.7661078244719,Standard
Marché Wholesale Agadir,Fazenda Brasil,Maroc,Souss-Massa,,Pommes,56.114737919836315,2781.805727553364,Bio Certifié
Mercabarna,Hacienda El Sol,USA,São Paulo,,Orge,286.2701952642501,896.8667814925407,Premium
Rungis International,Ferme Al Baraka,Maroc,Canterbury,,Arabica,122.89919671935954,2807.5357933813166,Premium
Marché Wholesale Agadir,Green Valley Farm,Maroc,Californie,,Raisins de Cuve,175.64189723106196,4459.868553075103,Bio Certifié
Union Agricole Méditerranée,Fattoria Toscana,Maroc,Souss-Massa,,Raisins de Cuve,17.32564472749567,2679.153748660816,Standard
Hacienda El Sol,Coopérative Oasis,Nouvelle-Zélande,Kansas,,Lait,141.51421751316428,5555.579639860393,Bio Certifié
Domaine Provence Bio,Ferme Al Baraka,Espagne,Île-de-France,,Riz,273.3360205359518,14608.453292813636,Standard
