id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000859,Maison,196,5,4,2,Pompe à chaleur,Haut standing,B,3664289,Oui,Non
BIEN_000080,Loft,194,8,0,2,Autre,Luxe,F,4394046,Oui,Non
BIEN_000896,Appartement,199,2,5,0,Fioul,Standard,C,2060103,Oui,Non
BIEN_000607,Appartement,59,1,0,1,Électrique,Moyen,G,4415877,Non,Non
BIEN_000973,Appartement,263,3,4,4,Pompe à chaleur,Moyen,E,1007923,Oui,Non
BIEN_000961,Appartement,158,5,1,5,Pompe à chaleur,Standard,B,4700525,Non,Non
BIEN_000381,Duplex,225,7,2,3,Pompe à chaleur,Haut standing,Non renseigné,801680,Oui,Non
BIEN_000300,Villa,99,6,4,2,Chauffage central,Standard,A,2115172,Oui,Oui
BIEN_000674,Appartement,193,7,1,1,Électrique,Haut standing,B,1121363,Non,Non
BIEN_000356,Appartement,24,3,5,1,Gaz,Haut standing,F,5595998,Non,Non
BIEN_000414,Terrain,173,4,0,1,Aucun,Haut standing,E,5559539,Non,Non
BIEN_000458,Duplex,156,3,1,3,Chauffage central,Haut standing,G,6768275,Non,Non
BIEN_000962,Studio,76,3,0,1,Gaz,Moyen,C,1445964,Non,Non
BIEN_000549,Villa,231,0,0,4,Pompe à chaleur,Moyen,A,5066022,Oui,Non
BIEN_000201,Maison,162,4,2,4,Gaz,Moyen,G,4474607,Oui,Non
BIEN_000182,Villa,175,4,3,4,Climatisation réversible,Moyen,C,1457853,Oui,Non
BIEN_000319,Maison,178,2,3,1,Électrique,Standard,C,2076247,Non,Non
BIEN_000592,Appartement,157,5,3,1,Électrique,Haut standing,E,3312582,Oui,Non
BIEN_000151,Maison,103,5,3,0,Pompe à chaleur,Standard,A,2211759,Oui,Oui
BIEN_000444,Appartement,213,3,2,2,Électrique,Haut standing,A,6264678,Non,Non
BIEN_000052,Loft,146,7,3,2,Chauffage central,Standard,C,4376756,Oui,Oui
BIEN_000405,Duplex,134,4,0,3,Pompe à chaleur,Luxe,G,1639835,Oui,Oui
BIEN_000090,Appartement,146,6,4,3,Électrique,Haut standing,G,4603791,Oui,Oui
BIEN_000097,Appartement,155,3,1,2,Gaz,Standard,E,3196637,Non,Non
BIEN_000620,Maison,162,3,3,2,Pompe à chaleur,Standard,D,2754996,Oui,Oui
BIEN_000767,Villa,167,6,1,2,Pompe à chaleur,Haut standing,A,4731635,Oui,Oui
BIEN_000375,Appartement,244,6,0,2,Pompe à chaleur,Haut standing,A,4585053,Non,Non
BIEN_000228,Appartement,245,5,0,2,Chauffage central,Moyen,E,1818924,Oui,Oui
BIEN_000033,Villa,508,5,3,3,Chauffage central,Standard,E,6538772,Oui,Oui
BIEN_000803,Villa,116,1,3,3,Électrique,Luxe,Non renseigné,2788905,Oui,Non
BIEN_000916,Maison,240,5,0,2,Chauffage central,Luxe,E,81466,Non,Oui
BIEN_000189,Appartement,213,1,0,1,Gaz,Moyen,C,1323160,Non,Non
BIEN_000208,Appartement,224,3,2,2,Gaz,Moyen,D,5836818,Oui,Non
BIEN_000399,Appartement,141,1,3,1,Gaz,Haut standing,F,2538828,Non,Non
BIEN_000060,Maison,159,3,2,1,Pompe à chaleur,Standard,E,5150279,Oui,Oui
BIEN_000686,Appartement,98,7,0,1,Gaz,Standard,B,4430352,Non,Oui
BIEN_000398,Maison,109,4,3,2,Électrique,Moyen,B,4482364,Non,Non
BIEN_000279,Duplex,125,1,1,2,Électrique,Haut standing,E,4626635,Oui,Non
BIEN_000058,Appartement,21,4,2,1,Gaz,Standard,F,2957927,Non,Non
BIEN_000049,Appartement,159,4,2,1,Pompe à chaleur,Standard,D,6009741,Non,Non
BIEN_000138,Penthouse,54,3,5,1,Autre,Moyen,B,4036106,Oui,Non
BIEN_000691,Appartement,-20,4,0,2,Gaz,Haut standing,B,2219254,Non,Oui
BIEN_000621,Appartement,432,6,2,1,Autre,Moyen,F,5342327,Oui,Non
BIEN_000185,Appartement,132,7,2,2,Aucun,Moyen,E,3681756,Oui,Oui
BIEN_000658,Duplex,451,5,5,2,Fioul,Haut standing,B,1483548,Oui,Non
BIEN_000054,Villa,129,3,0,3,Fioul,Standard,D,3593883,Oui,Oui
BIEN_000510,Duplex,264,4,2,2,Électrique,Haut standing,A,4329654,Oui,Oui
BIEN_000249,Villa,263,5,3,4,Chauffage central,Moyen,E,5462195,Oui,Non
BIEN_000940,Appartement,4286,5,1,1,Gaz,Haut standing,F,3015540,Non,Non
BIEN_000316,Terrain,115,4,0,1,Pompe à chaleur,Standard,E,3836761,Non,Non
BIEN_000676,Appartement,152,3,0,0,Gaz,Haut standing,G,2563151,Non,Non
BIEN_000465,Maison,198,5,0,2,Pompe à chaleur,Standard,E,5743032,Oui,Non
BIEN_000837,Villa,225,5,5,3,Pompe à chaleur,Standard,F,154557,Oui,Non
BIEN_000628,Appartement,96,4,1,0,Pompe à chaleur,Luxe,D,5998550,Oui,Non
