id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000372,Villa,204,5,0,2,Climatisation réversible,Haut standing,A,4497430,Oui,Non
BIEN_000299,Maison,271,6,0,4,Électrique,Haut standing,C,5617785,Oui,Oui
BIEN_000030,Loft,423,2,0,3,Électrique,Haut standing,B,973165,Non,Non
BIEN_000874,Duplex,285,5,3,3,Fioul,Luxe,D,4965500,Oui,Oui
BIEN_000691,Appartement,114,1,0,2,Électrique,Moyen,G,1944959,Oui,Oui
BIEN_000550,Appartement,263,5,2,0,Chauffage central,Haut standing,D,4914714,Oui,Oui
BIEN_000619,Studio,216,2,0,5,Climatisation réversible,Luxe,G,4625104,Oui,Oui
BIEN_000177,Appartement,58,3,2,1,Gaz,Haut standing,G,2884609,Non,Non
BIEN_000076,Appartement,203,8,2,2,Électrique,Luxe,G,2786379,Oui,Oui
BIEN_000417,Appartement,205,1,5,1,Gaz,Moyen,E,3329659,Non,Non
BIEN_000696,Studio,158,7,0,1,Aucun,Haut standing,A,1361642,Oui,Oui
BIEN_000007,Studio,159,4,1,1,Électrique,Standard,D,4255671,Oui,Oui
BIEN_000048,Maison,197,4,3,0,Gaz,Luxe,E,6234546,Oui,Oui
BIEN_000810,Appartement,45,2,0,2,Aucun,Haut standing,E,3221007,Non,Non
BIEN_000714,Appartement,160,3,2,2,Fioul,Haut standing,G,3951322,Oui,Non
BIEN_000252,Villa,187,5,2,1,Chauffage central,Haut standing,E,3274620,Non,Oui
BIEN_000595,Appartement,191,4,4,2,Gaz,Moyen,E,1803715,Oui,Non
BIEN_000989,Appartement,52,4,0,1,Pompe à chaleur,Standard,F,1870507,Non,Non
BIEN_000495,Appartement,77,4,5,4,Pompe à chaleur,Standard,A,2422425,Oui,Non
BIEN_000385,Maison,159,5,2,4,Électrique,Standard,G,1124202,Oui,Oui
BIEN_000773,Appartement,-11,0,1,3,Fioul,Haut standing,G,3367469,Non,Non
BIEN_000513,Appartement,175,4,4,1,Climatisation réversible,Standard,B,712597,Oui,Non
BIEN_000964,Villa,153,4,3,3,Chauffage central,Luxe,E,518359,Oui,Non
BIEN_000353,Appartement,244,3,3,4,Pompe à chaleur,Haut standing,C,4074560,Oui,Oui
BIEN_000044,Appartement,141,3,3,1,Électrique,Moyen,F,5255384,Non,Non
