id,installation,type_energie,pays,ville,latitude,longitude,capacite_mw,production_annuelle_gwh,emissions_co2,annee_mise_service,statut
id_000524,Palo Verde Nuclear,Hydraulique,Chine,Baie-Comeau,48.77890572909407,-2.147491095132634,668,350.11719369167815,24977.029126283458,1955,Construction
id_001200,Shepherds Flat Wind Farm,Éolien,Kenya,Loiyangalani,-0.5363530929179054,-106.74093262466752,13,731.4527949258077,1708121.2478728225,2021,Démantèlement
id_001120,Parc Solaire Benban,Thermique,Brésil,Thames Estuary,-20.291596257978448,118.09452140784958,6026,2130.967584702022,1897891.9977315837,1987,Démantèlement
id_001116,Barrage de Xiluodu,Éolien,France,Assouan,53.420163922048964,3.700691347659886,-233,902.9685746777468,4772877.980116213,2013,Construction
id_000343,Vindhyachal Thermal Power Station,Thermique,Corée du Sud,Tiverton,33.47158687767484,128.59292263695724,3486,1371.7718787387885,71048.41552819157,1987,Planification
id_001408,Barrage d'Itaipu,Thermique,Chine,Thompsons,-22.435550978348605,3.4218529269594904,4366,440.80957824510983,1622120.1120817538,2024,Maintenance
id_000322,Taichung Power Plant,Nucléaire,Corée du Sud,Baie-Comeau,50.276907244731994,142.43507990864413,1789,4276.575893550297,118716.33215561608,1988,Maintenance
id_000097,W.A. Parish Generating Station,Éolien,Kenya,Kimberley,61.646222790452754,41.45764032911546,3026,-383.5664682931383,160205.90793683648,2017,Maintenance
id_000940,Taichung Power Plant,Nucléaire,USA,Bełchatów,45.21630241330344,134.18777123018023,3142,-127.37481307486905,96312.1836696253,1984,Démantèlement
id_001138,Centrale Thermique Jorf Lasfar,Éolien,Maroc,Jiuquan,40.26551737901868,0.8740369682023233,-6,1454.3912092220698,115682.10469841058,2020,Maintenance
id_000117,Taichung Power Plant,Nucléaire,Corée du Sud,Tonopah,52.680768872919394,142.79426726957533,2647,-535.453406646111,-19166.709448341397,1988,Planification
id_001189,Vindhyachal Thermal Power Station,Nucléaire,Canada,Yichang,44.3733290598967,136.86722569795373,11598,233.86159141605458,83557.87230192767,2013,Planification
id_000949,Zaporizhzhia Nuclear Power Plant,Thermique,Inde,Tiverton,50.62645181580074,-116.79648157564324,1665,-1111.4123497660685,95169.39194234175,1990,Maintenance
id_001372,Parc Solaire Núñez de Balboa,Solaire,Suisse,El Jadida,61.76172025759273,-9.322672152201358,-669,-820.9721899516617,81291.80689424295,2022,Maintenance
id_001005,Alta Wind Energy Center,Thermique,Mexique,Jiuquan,37.84802550627259,-3.2053962393868973,3342,-360.67562575000943,95261.00757356817,2025,Construction
id_000679,Parc Éolien Hornsea One,Éolien,USA,Courseulles-sur-Mer,44.51246486037235,-6.577234337741205,-373,-975.1521132626567,117835.6012357144,2027,Maintenance
id_001654,Lake Turkana Wind Power,Solaire,Maroc,Piteå,9.959273173672145,-3.555327326262796,-821,-684.1625202949024,22562.710060945974,2023,Maintenance
id_000116,Lake Turkana Wind Power,Hydraulique,Égypte,Assouan,33.58404120940352,6.226939971448463,-344,449.48803939587833,59886.51152166671,2020,Maintenance
id_001179,Centrale Solaire Jasper,Éolien,Royaume-Uni,Jiuquan,47.54841955932646,39.85535932200074,280,1119.5335804333642,6001656.392602784,2020,Planification
id_001461,Parc Solaire Tengger Desert,Éolien,Maroc,Lephalale,47.47378557789799,-5.874143126914413,-368,1719.4095605065622,6894588.258412985,2022,Construction
id_001937,Grand Ethiopian Renaissance Dam,Éolien,Maroc,Assouan,53.61150338963986,-0.2345811107957918,-740,-727.2150848851081,38752.214720483425,2017,Maintenance
id_001425,Zaporizhzhia Nuclear Power Plant,Thermique,Inde,Assouan,51.13509770622775,-44.77066128303956,3971,-736.6488290497771,134351.81662365026,1984,Maintenance
id_000984,Barrage d'Itaipu,Nucléaire,Corée du Sud,Azilal,26.19549230237229,-91.45749390870053,3006,-279.48408959919493,6122514.242400424,1988,Maintenance
id_001349,Parc Éolien Courseulles,Éolien,Maroc,Cestas,56.85549941273488,-1.8295837191815134,-762,-237.3066190508041,99143.27083173807,2022,Opérationnelle
id_000142,W.A. Parish Generating Station,Nucléaire,Éthiopie,Usagre,47.30946685769346,-8.070773480994465,4698,778.9941335794397,1323411.8153183076,1943,Construction
id_001214,Palo Verde Nuclear,Éolien,Mexique,Kimberley,-26.517072821101017,-3.8407177603634763,-735,-507.36403987335757,179009.31237702642,2026,Démantèlement
id_000467,Parc Solaire Tengger Desert,Hydraulique,Maroc,Assouan,44.782682220453445,-2.59190263008913,723,356.6665028695817,5220008.062149084,1957,Opérationnelle
id_001849,Barrage Bin El Ouidane,Éolien,Maroc,Jiuquan,52.73578627859114,7.402733888666721,-442,-609.3094748457481,4539472.9418103425,2024,Opérationnelle
id_000991,Grand Ethiopian Renaissance Dam,Éolien,Espagne,Thames Estuary,-23.631552718580316,8.41596463684304,-199,1478.3073129598079,116727.35636620995,2014,Opérationnelle
id_001945,Villanueva Solar Park,Nucléaire,Canada,Viesca,35.1146947706494,122.8379619368707,5457,174.13854499834395,148096.7173888369,1971,Construction
id_001183,Centrale Solaire Cestas,Solaire,Afrique du Sud,Courseulles-sur-Mer,36.38027923165512,-137.5144085083783,-588,13346.110353681373,84604.69548633105,2015,Construction
id_001385,Bruce Nuclear Generating Station,Thermique,Canada,Hérémence,30.938385493388363,93.18406515338832,3988,7690.860850842357,112636.60776310021,2018,Démantèlement
id_001128,Enel Green Power Delfina,Éolien,Maroc,Thames Estuary,-19.943026975901322,46.365242445919705,-480,3451.8791051307026,5342547.375103344,2020,Opérationnelle
id_000237,Parc Éolien Tanger I,Éolien,Pologne,Courseulles-sur-Mer,50.86636348053134,-1.1012101976441588,-44,1409.513863759127,153295.7108614511,2024,Maintenance
id_000981,Centrale Solaire Weesow-Willmersdorf,Solaire,Maroc,Usagre,5.912156258025748,-10.087205217221888,-345,-722.8719181567258,125861.90455041127,2017,Démantèlement
id_001638,Barrage de Xiluodu,Thermique,Maroc,Zhongwei,44.124750410570364,5.3553313190141445,961,806.1082131579792,1687638.6188905814,2022,Opérationnelle
id_001400,Bełchatów Power Station,Éolien,Allemagne,Hérémence,35.00182199957513,19.75512731320515,-64,-385.9957075874536,42473.4694756959,2025,Démantèlement
id_000228,Grand Coulee Dam,Solaire,Maroc,El Jadida,28.089939857480125,32.986360978518576,3923,18061.86490942751,110584.35476296421,2021,Démantèlement
id_000856,Centrale Solaire Weesow-Willmersdorf,Hydraulique,Maroc,Piteå,38.070074867332394,-1.4443241445387502,-642,175.75483113484916,4883883.280216821,2027,Démantèlement
id_001607,Centrale Solaire Jasper,Éolien,Afrique du Sud,El Jadida,25.380278609294294,3.130174147587811,634,371.07876925446726,190552.46915177282,2025,Opérationnelle
