id,installation,type_energie,pays,ville,latitude,longitude,capacite_mw,production_annuelle_gwh,emissions_co2,annee_mise_service,statut
id_000507,Gansu Wind Farm,Nucléaire,Japon,Tonopah,29.990316038044522,130.52824245591376,4991,2635.9667321687775,6029432.585013093,2015,Démantèlement
id_000929,Centrale Solaire Weesow-Willmersdorf,Éolien,Allemagne,Werneuchen,37.39578699587603,-0.3327168128895709,-722,25.518124946168427,2808466.1745455414,2019,Opérationnelle
id_001654,Bruce Nuclear Generating Station,Solaire,Royaume-Uni,Viesca,0.2071974049153913,-10.475674133608504,-655,-252.85208509381482,130639.28094549975,2025,Opérationnelle
id_000080,Parc Éolien Markbygden,Éolien,Suède,Tanger,49.612734709611516,24.67847303867503,535,-91.683817003782,5421143.420396997,2019,Construction
id_001976,Enel Green Power Delfina,Éolien,Kenya,Azilal,22.576885761492612,11.585727042130452,-122,-85.2131317589367,5192751.748733858,2022,Maintenance
id_001660,Taichung Power Plant,Thermique,Pologne,Tonopah,34.170899608616054,141.91271562445962,4700,1127.2946477496382,103665.38370210536,1981,Maintenance
id_001468,Barrage Daniel-Johnson,Thermique,USA,Pierrelatte,-9.011141447274856,110.13995101061137,4602,-226.14352534791306,157543.60733817422,1995,Opérationnelle
id_000339,Palo Verde Nuclear,Éolien,Chine,Yongshan,37.29367268800463,30.1780294295153,19142,64.46871138952486,3861466.263072711,1948,Construction
id_000476,Gansu Wind Farm,Éolien,Égypte,Viesca,47.19737773070516,2.3129611077893286,1072,395.8455901183886,125770.44228405826,1991,Construction
id_001166,Lake Turkana Wind Power,Thermique,Suisse,Coulee Dam,47.78382830418478,-112.90631550540077,13379,857.8005692199863,88985.09542688717,2013,Construction
id_000283,Barrage Daniel-Johnson,Nucléaire,Brésil,Viesca,30.910641275116056,93.22408281691725,4692,4355.982166871251,137972.06830266924,1985,Démantèlement
id_001331,Enel Green Power Delfina,Éolien,Maroc,Werneuchen,45.86932823819153,-15.699906690870264,-502,-1080.059638015112,3475015.570067318,2022,Démantèlement
