id_transaction,type_transaction,montant,devise,frais,statut,ville,pays
id_transaction_00000862,Carte,451.28648224172946,MAD,1.6309203502119165,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000203,Carte,845.2492384179482,GBP,3.1173581905353984,Complétée,Washington DC,Maroc
id_transaction_00000443,Retrait,-1679.277484042931,MAD,-5.033092816865037,En attente,Francfort,Royaume-Uni
id_transaction_00000715,Virement International,20283.46053184144,USD,-14.45068877132038,En attente,Washington DC,Royaume-Uni
id_transaction_00000837,Dépôt,1790.895394061653,USD,28.262744605530603,Complétée,Pékin,Chine
id_transaction_00000875,Prélèvement,190.76687319789664,USD,3.4605192961864675,Complétée,Rabat,Maroc
id_transaction_00000508,Virement International,2276.6334730003928,CNY,-3.1250937690396503,En attente,Washington DC,Maroc
id_transaction_00000904,Retrait,412.5777565434107,EUR,4.544822203597905,Complétée,Casablanca,Maroc
id_transaction_00000704,Virement,-813.2857563711842,USD,-10.458712985578128,En attente,Johannesburg,Royaume-Uni
id_transaction_00000539,Carte,1276.8615659938898,EUR,-2.6730298253925273,Complétée,Washington DC,Chine
id_transaction_00000223,Dépôt,130.86891507558994,MAD,-11.481671938465219,En attente,Pékin,Royaume-Uni
id_transaction_00000649,Retrait,5417.420651335977,MAD,-0.8905979152110444,Complétée,Casablanca,Allemagne
id_transaction_00000315,Dépôt,5200.139889193621,EUR,-5.008025589279952,En cours,Francfort,Royaume-Uni
id_transaction_00000544,Retrait,999.9142083237211,MAD,6.035478356839101,Complétée,Pékin,Royaume-Uni
id_transaction_00000038,Carte,8.794691348334538,EUR,-1.257438997426343,Complétée,Paris,USA
id_transaction_00000893,Virement,1345.5486142857242,JPY,7.837004636103874,En attente,Tokyo,Maroc
id_transaction_00000367,Retrait,-66.80142875695662,JPY,1.837126432965165,Complétée,Washington DC,Royaume-Uni
id_transaction_00000714,Prélèvement,3272.971859713044,GBP,86.42114976493727,Complétée,Londres,Maroc
id_transaction_00000014,Carte,4300.654230706204,CNY,6.29978919931159,Complétée,Tokyo,USA
id_transaction_00000020,Carte,5787.646479331081,CNY,0.12868608770784817,En attente,Tokyo,Japon
id_transaction_00000856,Retrait,1898.0868472105399,USD,6.91886556360739,En cours,Paris,Royaume-Uni
id_transaction_00000919,Virement,70.64594621300807,EUR,-9.648361964475335,En cours,Tokyo,Allemagne
id_transaction_00000585,Dépôt,982.9517909486434,GBP,-3.101606459268818,Complétée,Tokyo,Royaume-Uni
id_transaction_00000908,Carte,1195.4320527853329,MAD,1.0582612747920974,Complétée,Paris,Royaume-Uni
id_transaction_00000978,Retrait,174.49760045304356,USD,6.228571572709647,Complétée,New York,Maroc
id_transaction_00000912,Retrait,186.75729125740992,USD,6.379113425307346,En attente,Francfort,USA
id_transaction_00000950,Dépôt,-82.38227951454758,USD,-6.241663300597428,Complétée,Tokyo,USA
id_transaction_00000535,Virement,63.128969603781854,MAD,-0.4680518271306706,Complétée,Casablanca,Japon
id_transaction_00000463,Dépôt,-1343.4694749633372,USD,-2.7751036402577425,Complétée,Paris,Maroc
id_transaction_00000772,Dépôt,1154.7426900645255,EUR,1.2877672619046558,Complétée,Washington DC,Maroc
id_transaction_00000031,Carte,325.35812338324206,MAD,13.79837102717472,Complétée,Rabat,Maroc
id_transaction_00000802,Dépôt,-638.3808935845124,EUR,-9.15540756306918,Complétée,Tokyo,Afrique du Sud
