ville,pays,region,latitude,longitude
Osaka,Allemagne,Tanger-Tétouan-Al Hoceïma,38.01436572508351,12.711070145162974
Seattle,Suisse,Florida,30.892028682057827,4.72145445509806
Agadir,Chine,Washington,32.94380153074798,-4.208215984958297
Porto,Maroc,Madrid,33.93865430023569,-12.287893632449663
Naples,Belgique,Hesse,44.89593784448255,-3.64650308287975
Boston,Canada,Ontario,36.01908824665183,-89.04981422215508
San Francisco,USA,Scotland,-32.941908289158306,-9.513597872283455
Seattle,Portugal,Scotland,33.9575399208733,-93.53236356262046
Genève,France,Occitanie,44.25928670118602,11.134330112399532
Boston,Maroc,Berlin,46.74588411709561,-1.838546001721983
Tunis,Espagne,Hauts-de-France,34.07560848191176,0.008295555337165972
Lisbonne,Maroc,Tanger-Tétouan-Al Hoceïma,35.83590956088864,0.5162800601000996
Marseille,France,Bern,35.76102896545629,1.974595328915973
Melbourne,France,Porto,50.28414258003148,7.266863876685431
Houston,Japon,Hesse,35.77049425142043,4.848271406241386
Le Caire,France,Valencia,48.45026185882032,1.9549267807797677
Birmingham,Allemagne,Tunis,51.8804489134336,-6.405976241124677
Paris,Italie,Nouvelle-Aquitaine,35.07261690872662,-2.1475910545319024
Toronto,Canada,Andalusia,53.21063992859056,-6.193229290797438
Anvers,Allemagne,Zurich,30.86439526999504,10.173677335627787
Los Angeles,Japon,Victoria,33.387381539700066,142.1422868645033
Shanghai,Royaume-Uni,England,39.82331132354251,-129.90136983570653
Shanghai,Canada,Bern,29.058343784044883,152.00317805437624
Tunis,Tunisie,Scotland,46.542602107902596,14.931463267904189
Tunis,Espagne,Porto,42.845238883746376,0.8920426204386848
Édimbourg,Royaume-Uni,England,43.130280674787585,-4.861480396847614
Naples,Royaume-Uni,England,40.406903048979125,-1.2998386026543947
Le Caire,Maroc,Rabat-Salé-Kénitra,35.50143346076934,-15.177371517458932
Porto,Portugal,Cairo,48.24231291664227,-4.6012907425997955
Strasbourg,Portugal,Tunis,37.1996196043186,1.7083073461421054
Seattle,Allemagne,Cairo,50.642187264588806,12.710337070247345
Marrakech,Belgique,Flanders,43.27630087994042,1.0867257087455466
Séville,Allemagne,Victoria,37.761494228068585,-90.04914159862311
Valence,Allemagne,Hesse,53.002733458424146,0.6961827257454302
Shanghai,Maroc,British Columbia,32.58637175290821,87.77174174875533
Madrid,Australie,New South Wales,33.51329453246325,135.46356320027112
Casablanca,France,Zurich,43.35408995195042,9.027827555026713
Lisbonne,Allemagne,Auvergne-Rhône-Alpes,35.00474451218129,-94.74435744889466
Osaka,Portugal,Lisbon,43.89846779882801,136.27516823041006
Beijing,USA,Beijing,34.1546420393835,140.5776765719797
Manchester,USA,Marrakech-Safi,49.44902773129481,7.5523264126100145
Shanghai,Maroc,Lazio,35.7016962947239,2.8519031608295347
Rome,France,Marrakech-Safi,36.194230031871015,11.565250951877115
Rome,Canada,Berlin,41.00122271633991,-0.992652214110453
Munich,Tunisie,New South Wales,37.753716078860535,19.120292136321336
Lyon,Espagne,Shanghai,35.08989766160792,138.3910377699504
Paris,France,Valencia,53.62340458094984,3.864995762697279
Édimbourg,Allemagne,British Columbia,53.88456211653818,18.35827782166258
Tunis,Tunisie,Île-de-France,38.50936483533539,5.330079329975
Anvers,Italie,Québec,45.308984272963194,-111.86597732000128
Miami,France,Flanders,56.33418141088773,11.949078779347275
Berlin,Chine,Texas,50.881394311124154,11.57718739342041
Florence,Belgique,Cairo,51.93296903484095,-4.559476780578532
Tanger,Belgique,Rabat-Salé-Kénitra,36.16180056987248,2.3160528874239814
Berlin,Suisse,Occitanie,52.08665383319472,-3.2122148968887925
Boston,USA,England,34.16533152074764,-5.028106413491573
Toronto,USA,Lombardy,40.544067251129405,11.653782001637882
Édimbourg,USA,Massachusetts,36.956912352068024,-4.543482894549035
Le Caire,Italie,Valencia,36.08251969581917,18.594523380408663
New York,USA,Lisbon,36.185337423753,-87.60418040763892
New York,USA,Ontario,39.33426901151879,-3.684004752216712
Tunis,Tunisie,Victoria,49.014852986187464,-82.26383874280512
Munich,Suisse,Madrid,43.602090072730206,2.1866424063522514
Boston,Royaume-Uni,Kanto,34.79439406330564,-3.7215625962255308
Shanghai,USA,Beijing,-37.12520766053883,-94.11800969746209
Valence,USA,Washington,53.80145876398786,-0.637953150997743
Vancouver,Maroc,Provence-Alpes-Côte d'Azur,33.28184033679065,-9.932813065983243
Manchester,Royaume-Uni,Geneva,44.039155820983886,8.054348224945441
Bordeaux,Chine,Washington,-38.97794097403388,12.93067981609335
Calgary,France,Provence-Alpes-Côte d'Azur,41.66905182853819,11.955132902338647
Rome,USA,Kansai,27.78023125471975,-4.951742499097352
Munich,Australie,Kanto,50.30793825957249,-2.817468787621831
Shanghai,Allemagne,Flanders,50.83538725396505,146.82052028954712
Melbourne,Chine,Victoria,44.91682747850819,-140.81237498712042
Milan,Espagne,Cairo,33.77457138882824,-80.83236933652061
Lille,Allemagne,Hesse,46.55183395512104,17.969658240008528
Vancouver,France,Tunis,35.04500600993343,-126.4275740444724
Porto,Portugal,Zurich,33.62864003211412,4.505357845138697
Fès,Maroc,Hamburg,52.08146585090564,-7.7272019401883005
Madrid,Canada,Texas,33.31318526950919,-126.87601649429487
Melbourne,Allemagne,Hesse,35.63103328485047,13.637943472185881
Calgary,Égypte,Zurich,40.91017729713799,-113.27417510876992
Séville,USA,Nouvelle-Aquitaine,34.24274862783519,-6.632768960206365
Barcelone,Royaume-Uni,Bavaria,46.902733582259145,-71.2340551798621
Nantes,Italie,Fès-Meknès,35.734036578412216,11.439065321248771
Oujda,France,Madrid,46.3186784209706,-1.1544752362811121
Rabat,USA,Illinois,43.9938735553478,-11.205788012013526
Tunis,France,Souss-Massa,49.47365442639071,-11.732941137287007
Miami,USA,Oriental,46.243934500401686,137.76001796530394
Tunis,Portugal,Marrakech-Safi,36.12880691783815,0.1347575814251314
