ville,pays,region,latitude,longitude
Ottawa,Canada,Tunis,51.77195493383991,134.3733939761927
Tunis,Japon,Alberta,49.0549235499585,-103.63220196822427
Shanghai,Maroc,Berlin,34.20026360773599,3.2256647373213805
Tunis,Égypte,Berlin,46.27922752536858,134.80303972131574
Rabat,Maroc,Grand Est,36.720170338708186,-3.442496174031867
Anvers,Japon,Florida,30.713541867272415,2.2050807621385027
Oujda,Maroc,Kansai,36.79005105986283,133.23518451700366
Barcelone,Espagne,Pays de la Loire,44.66355507537991,9.008551491860985
Tanger,Canada,Kanto,42.91620273699887,134.18565413303253
Séville,Allemagne,Kanto,45.55191147772313,5.429248542864132
Kyoto,Suisse,Florida,40.712338454365906,2.169620486346549
Melbourne,Belgique,Shanghai,50.023718914485265,5.191215055733574
Francfort,Japon,Lisbon,47.76500108773206,125.52687979701658
Casablanca,Maroc,Texas,48.158373194152944,-3.4809935281834052
Tokyo,France,Ontario,34.33929596220141,-6.190554565589944
Anvers,France,Flanders,52.57586127588435,6.9399280979671545
Sydney,Australie,New South Wales,48.58643195075089,155.21055704358912
Miami,Japon,California,40.95590156674242,-132.5911856597632
Manchester,Allemagne,Hesse,50.828178162831314,138.09197289505
Tunis,Italie,Valencia,49.454924539329234,23.460442204184055
Le Caire,France,Shanghai,43.685426660557496,5.070846241651427
Séville,Belgique,Hesse,41.69025442683725,4.886538713524487
Le Caire,France,Washington,45.022281297992144,1.1527639451333656
Oujda,Australie,Andalusia,33.5402158529426,-79.02035219128835
Toronto,Italie,Île-de-France,27.118259246447796,-6.1624620055237695
Berlin,Maroc,Kansai,56.92529675320496,12.182609241379616
Rome,Italie,Victoria,44.40584301853462,17.294795688136603
Nantes,Portugal,Cairo,40.84942420439834,-12.587767235604025
Boston,Belgique,Marrakech-Safi,40.21352492280609,8.172162068600947
Lisbonne,Tunisie,Massachusetts,32.50626059827741,11.810794271549803
Francfort,France,Hauts-de-France,44.38971322872233,-8.877872200577391
Lyon,Italie,California,49.18797152001365,23.089269198786475
Miami,France,Brussels,50.55328907269828,6.120151279731953
Barcelone,Suisse,Lombardy,45.29609590460956,56.69391489205066
Le Caire,Australie,Tuscany,34.7198115258552,8.14786351230855
Berne,Maroc,Île-de-France,35.42289747740936,-22.998327139834018
Miami,Japon,Rabat-Salé-Kénitra,34.74656624889667,-3.408592072370201
Beijing,Maroc,Rabat-Salé-Kénitra,31.670405531518043,112.89915809222128
Florence,Belgique,California,35.23195512590907,-7.319321477227745
Beijing,France,New York,52.10608694650034,12.400340207256926
Rome,Portugal,Victoria,38.156849584210875,-1.1770334765830697
Fès,USA,Île-de-France,40.42159688104966,-16.806820527992485
Bruxelles,Maroc,Tanger-Tétouan-Al Hoceïma,44.42168109260993,-6.4911289260885905
Agadir,USA,Cairo,41.845511546708565,-8.849216187930281
Toronto,Portugal,British Columbia,-30.82011383468469,2.7509388152936545
Osaka,Japon,Kansai,38.374168462999705,-6.167974691971762
Naples,Italie,Porto,47.892624600878115,168.85199859681842
Rome,Maroc,Massachusetts,47.26737665471393,12.92596572548438
Anvers,France,Scotland,52.10420142557725,1.4277235555553496
Marseille,Suisse,Occitanie,37.998161347625256,-0.8112855824212568
Lyon,Maroc,Florida,32.186893309852536,-124.26114983017914
Calgary,Portugal,Souss-Massa,48.457729815782685,-2.1989362555423124
Houston,France,Madrid,36.267347846305206,-74.06527306267813
Los Angeles,France,Cairo,39.70890152719171,9.419963044245684
Melbourne,Japon,Catalonia,40.65990326036091,124.7003491804055
Osaka,Japon,Porto,36.030154368897485,153.95526644535698
Bruxelles,France,Fès-Meknès,44.41319337763675,1.0481132826392467
Barcelone,Royaume-Uni,England,49.94420418564283,-123.71765009117182
Ottawa,Allemagne,Catalonia,50.54643661646149,113.15859356623284
Barcelone,Allemagne,Andalusia,52.04664904134236,7.6830606721279615
Tokyo,Maroc,Tunis,43.32526414011432,-115.00555706013027
Lisbonne,Royaume-Uni,Lombardy,48.05354164385861,3.0443542210990717
Porto,France,Illinois,32.64464213352011,4.279125575283952
Bruxelles,France,Ontario,51.99205781554405,-7.728888989667048
Le Caire,Maroc,Shanghai,30.49401599627998,-7.199383340534585
Naples,USA,Lisbon,33.09396487902526,-3.647100619625877
Birmingham,Canada,Rabat-Salé-Kénitra,35.88614814394112,3.8398210219834024
Beijing,Maroc,Occitanie,48.16183635231487,-3.2730563716449907
Montréal,Canada,England,49.23422891042814,6.119121662384798
Montpellier,Suisse,Hauts-de-France,36.06001583397994,-0.620696612059608
Vancouver,France,Bern,47.8910252766823,7.661985127996989
Melbourne,Égypte,Madrid,33.5451983920815,13.437777005137814
San Francisco,Italie,Florida,37.40789287170943,-14.835146635561724
Madrid,France,Rabat-Salé-Kénitra,44.26386296492672,12.056771740052923
San Francisco,Australie,Illinois,27.09022824137365,10.365425132765292
Édimbourg,France,Madrid,46.8804064505752,12.813352935410919
Melbourne,USA,Lisbon,36.722935337189725,-77.01140925843423
Berlin,Espagne,Casablanca-Settat,43.82770096768304,1.3554201276419924
Shanghai,Maroc,Kansai,28.27977747915448,-7.06773604197166
Sydney,Australie,New South Wales,-44.39043043036657,164.31749482695892
Marrakech,Allemagne,Hesse,54.05991645119496,15.111155985075438
Kyoto,Égypte,Hauts-de-France,40.18167693504478,-7.61618671678391
Séville,Maroc,Fès-Meknès,53.34005026713731,-7.961229694619639
Los Angeles,Japon,Rabat-Salé-Kénitra,48.032818689898896,-3.8236502960322882
Bordeaux,Italie,Ontario,48.2631231517157,10.94145675522667
Milan,Italie,Porto,47.741026016680415,9.171884831027644
Rome,France,Lombardy,40.86348144465727,-5.38967265718318
Munich,France,Brussels,45.27923563374886,6.511202026232237
Miami,Canada,California,26.824126587621038,113.6825506708276
Toulouse,Portugal,Tanger-Tétouan-Al Hoceïma,39.08123077242357,-92.33304894870186
Boston,France,Cairo,49.166097290833946,9.910353926524525
Seattle,Australie,Kansai,33.667049634247604,137.37750839308248
Rome,France,Illinois,51.963173633046594,-123.28267523042618
Madrid,Portugal,Rabat-Salé-Kénitra,54.68672781364259,14.333980363935737
Kenitra,Italie,Hamburg,52.85582069212084,4.841059092144356
Florence,Japon,Alberta,44.64497439162874,131.57501890652534
Calgary,France,Alberta,45.78148531074672,6.738845272042447
Toronto,Canada,Québec,38.22695005933559,117.88911897959619
New York,Maroc,Madrid,35.21086644176516,-17.12982769181986
Casablanca,Portugal,Auvergne-Rhône-Alpes,46.904228915718654,0.31620233470771586
Shanghai,Égypte,New York,43.73433833966619,5.498045009784155
Nice,France,Tunis,33.34831331485775,141.29269740178876
Tanger,France,Souss-Massa,37.43553838619483,1.073164951795331
Florence,Italie,Tuscany,42.16647937816328,-58.73894459646007
Boston,Chine,Cairo,-43.29180437186774,106.22071768961733
Montpellier,France,Valencia,35.36878813046224,1.8424357861163254
Boston,France,Madrid,43.15405811316723,8.878594228471629
Rabat,Italie,Hamburg,40.45407341941464,11.214053326289285
Marrakech,Espagne,Campania,35.16098604320413,4.106916728832159
Seattle,Canada,California,37.41333500009492,-3.1712323914900327
Sydney,Australie,New South Wales,-33.67436297007303,157.39131692187254
Genève,Égypte,Hauts-de-France,27.165274232168255,-116.44905996953615
Bruxelles,Japon,Lombardy,48.43676777201044,-10.48379125538888
Madrid,Maroc,Berlin,42.703831976050125,2.015875309370108
Tunis,Chine,Kansai,32.96850935382124,-78.74158946874805
Toronto,USA,Massachusetts,40.75305649996614,-71.72279225044596
Bruxelles,Royaume-Uni,England,54.11425649936865,-7.050092379881304
Munich,Espagne,Washington,33.86083157153713,-120.70462663550667
Lyon,USA,New York,42.68966871357517,6.0705944308861515
Berlin,USA,Île-de-France,28.682739024774143,-8.489993872158687
Séville,Royaume-Uni,England,34.565857707847634,-6.074470841223707
New York,USA,Ontario,39.74417753872479,-75.48396479721042
Casablanca,France,Porto,31.331673917475264,-6.6127995927417516
Osaka,Italie,Tunis,34.71519099844619,154.3108315986732
Paris,Belgique,Porto,47.05365347136075,-116.09064440906856
Toronto,USA,Ontario,33.38533312531802,-7.221225569841297
Montréal,Italie,Geneva,36.84009032634098,0.4704587271886531
Sydney,Espagne,Kansai,42.25684071492919,-72.98025211644746
Madrid,Italie,Cairo,51.30343969229395,-63.30823168823563
Lisbonne,Allemagne,Texas,36.2755678252182,5.618360751976777
Toulouse,Suisse,Campania,50.16335536429272,4.255199102302896
Meknès,France,Tuscany,49.371536234385246,4.985741443842632
Tétouan,Maroc,Hauts-de-France,34.12585258069022,-6.694782106247724
Sydney,Australie,Kanto,44.178575296912214,9.06739935218079
Marseille,France,Provence-Alpes-Côte d'Azur,36.39022651438216,6.360782539082665
Kyoto,Allemagne,England,47.854699848677775,-3.523945868186694
Toronto,Canada,Fès-Meknès,50.02452070972648,-0.008734757792095538
Osaka,Italie,Auvergne-Rhône-Alpes,50.84213194202425,4.279347636074059
Los Angeles,USA,Fès-Meknès,30.52988547527102,0.7755984341755988
Kyoto,Japon,Zurich,37.884653742080616,7.687866131701831
Nantes,Belgique,Scotland,51.83661335172243,1.9286435923174141
Marseille,France,Lisbon,56.127333703942874,12.191049011303257
Sydney,Suisse,Fès-Meknès,33.056646152412405,134.41580619494994
Édimbourg,Royaume-Uni,England,54.927644307897076,2.613042666767879
Boston,Portugal,Ontario,41.73366406842063,-7.133315170115923
Valence,Italie,Provence-Alpes-Côte d'Azur,42.33320554611925,-6.969173857769788
Tokyo,USA,Washington,39.23934156213485,-83.23824130003491
Sydney,Australie,New South Wales,52.68387583151937,144.6568123310713
Chicago,Espagne,Tunis,35.55886396794637,1.4574454663369054
New York,Japon,Cairo,38.25780811170786,143.294179690206
Lisbonne,Portugal,Tanger-Tétouan-Al Hoceïma,34.13432352571893,122.39383375086236
Berne,Égypte,Oriental,33.1103150667636,-1.8700146431170808
Séville,Italie,Lisbon,41.97638790662137,-4.77509017973075
Boston,Espagne,Campania,33.67380189594457,-1.556211598854996
Marrakech,Maroc,Rabat-Salé-Kénitra,30.162132287373172,-4.853578001005376
Hambourg,France,Casablanca-Settat,39.57817595115671,-5.388632276954716
Tanger,France,Tunis,53.470602548402056,-0.5885577623829161
Tétouan,Portugal,Pays de la Loire,38.49030818967033,-6.769384657057884
Florence,Italie,Brussels,51.07799701960191,-73.72363067470305
Melbourne,Belgique,Madrid,48.54299297593322,155.24336529938353
Vancouver,Espagne,Fès-Meknès,40.283580152631586,4.630229746922533
Bordeaux,Maroc,Marrakech-Safi,41.45817808399681,2.5856228207710434
Birmingham,Royaume-Uni,England,51.922828249312595,0.7867402495632285
Séville,Canada,Grand Est,56.04268631116083,15.713772460079333
Sydney,Chine,Tunis,27.970660964102223,106.12775625022383
Naples,Chine,Alberta,32.09853288046637,-0.6757888177638747
Naples,Tunisie,Souss-Massa,31.479948503765208,4.502762615599346
Genève,Italie,New York,33.25149596427,13.670719604881114
Munich,Belgique,California,51.46656649398048,11.365482681497685
Genève,Portugal,Campania,32.955140134562676,102.53044047637273
Boston,Allemagne,Hesse,36.8515459263806,19.149043075718417
Marrakech,Allemagne,Hesse,30.13982113824587,58.35280889910939
Chicago,Royaume-Uni,Kansai,34.214759747034066,-4.8533946258538645
Ottawa,Suisse,Alberta,36.7230722859708,131.1492864327301
Nantes,Espagne,Occitanie,34.88330154181669,-1.2782375488314637
Francfort,Allemagne,Auvergne-Rhône-Alpes,35.29977023336273,4.81008394271506
Bruxelles,Maroc,Massachusetts,37.34415173686266,14.593119531223916
Shanghai,Chine,Tunis,29.74648924231359,123.04916154620226
Berne,France,Grand Est,40.314775068746606,134.97913451481134
Tunis,USA,Cairo,31.208064922251694,113.39306029237304
Berlin,Tunisie,Zurich,28.549168017589064,10.84182410644597
Porto,Italie,Hamburg,40.63537814799701,9.117736748212323
Los Angeles,Maroc,Massachusetts,41.03076196714262,-77.34901800736667
Valence,Portugal,Andalusia,44.975609877027,-7.839988037102598
Naples,Belgique,Tunis,37.23720818876327,6.4649032734644
Birmingham,Maroc,Andalusia,29.325682432721482,1.6133044363662994
Rabat,Japon,Oriental,47.554984100760436,1.181079437199844
Vancouver,Allemagne,Brussels,40.783881664477185,17.713754006417243
Birmingham,Royaume-Uni,England,48.90476948490864,-1.085108052428465
Kyoto,Portugal,Kansai,-42.78099954254792,-128.71189665197045
Tanger,Canada,Texas,38.20106726700556,122.06853566091178
Berne,Canada,Ontario,42.801625048746565,-121.84632829882096
Miami,France,New York,52.909835080416045,1.1598905563199005
Montpellier,France,Tunis,52.07212890488083,2.655848909972419
Manchester,Portugal,Provence-Alpes-Côte d'Azur,43.11625397071705,-0.9368571452059853
Agadir,Maroc,Beijing,34.49400336988324,106.8830156127618
Porto,Portugal,Provence-Alpes-Côte d'Azur,41.06078176176921,1.335867077807879
Rome,France,Scotland,36.28527768266023,2.9442754700977867
Sydney,Australie,New South Wales,-28.989401242872354,17.75622864166709
Hambourg,France,Kanto,49.56034457053389,6.236544284212997
Seattle,Allemagne,Nouvelle-Aquitaine,53.41840417611046,2.2424233140230774
Calgary,France,Lazio,52.183943122034755,3.0320194646348133
Florence,Chine,Ontario,43.50463443463012,-83.18375931679658
Francfort,Allemagne,Bern,36.41410442986448,9.63530366341556
Bruxelles,Australie,Tanger-Tétouan-Al Hoceïma,41.2362764350745,0.6625303453208949
Édimbourg,Royaume-Uni,Lazio,51.19556783151701,-0.6953654002936067
Beijing,Maroc,Shanghai,30.87052740660154,121.4468194964866
Birmingham,Royaume-Uni,Marrakech-Safi,39.62888641019542,-0.3426902756990533
Le Caire,Portugal,Zurich,51.592118687329275,-2.9493801012081087
Shanghai,Italie,California,30.785720605626906,5.249110154426052
Calgary,Égypte,Fès-Meknès,30.251035584266386,40.29394454743497
Nantes,Allemagne,Catalonia,55.320223736172416,1.7859973305954022
Chicago,USA,Rabat-Salé-Kénitra,50.27352210598469,-81.1876765232798
Porto,France,New York,41.26492720456444,4.560593771557464
Manchester,USA,California,38.32074857847757,-72.06447226926086
Manchester,Espagne,Bern,29.938937575493952,-77.98239283035176
Marrakech,Suisse,Tunis,35.60186477505694,-99.13480309293111
Montréal,France,Beijing,42.2161865009647,-6.373500274351553
Montpellier,France,Marrakech-Safi,40.049895023098586,2.812131501218056
Boston,France,Campania,47.99104191247373,1.5433487334485263
Oujda,USA,Beijing,39.63838047365235,-111.34105426622857
Le Caire,Maroc,Tanger-Tétouan-Al Hoceïma,32.763751046779625,-17.83371951004328
New York,France,Île-de-France,29.089206753942474,-130.08269446426573
Édimbourg,Japon,Alberta,38.113384037948606,-119.50586987548785
Nantes,France,Washington,40.371720286115576,2.87271012972859
Madrid,Espagne,Washington,46.08778395730475,5.75780075697749
Marseille,Italie,New York,46.13159219789696,7.3772704673823615
Bruxelles,Espagne,Flanders,45.71827375373942,4.811677144128057
Sydney,Maroc,Rabat-Salé-Kénitra,43.52384607947623,-7.627544513351156
Lisbonne,USA,Tuscany,35.58547627171683,8.386166730160173
Valence,USA,Flanders,30.872076012334958,-3.1119862643260987
Anvers,Allemagne,Geneva,-33.55351807944951,8.629354723263171
Boston,France,Kansai,44.783161108338255,0.6607540179175831
Sydney,Australie,New South Wales,-31.821999501012666,177.7810114213198
Osaka,Canada,Catalonia,43.052240695461855,-0.05823464137236356
Marrakech,USA,Hesse,43.119142299812566,-77.2562833413736
Sydney,Australie,New South Wales,-44.41657315213666,145.20910255258593
Calgary,Égypte,California,39.23841832613092,15.163018838433867
Tokyo,USA,Massachusetts,28.500187919691868,1.21279215928049
Ottawa,Canada,Tunis,40.08366258019258,-0.34671872965089356
Francfort,Australie,Kanto,52.57206072555574,-119.93587489993693
Anvers,Espagne,Nouvelle-Aquitaine,35.51844313422126,-5.087834833108685
Sydney,Australie,New South Wales,-35.32687985348512,174.9411897506583
Agadir,Italie,Kanto,48.480299716323984,8.176451571115203
Meknès,Canada,Alberta,43.95274863816926,-10.386423531848505
Lille,Tunisie,Rabat-Salé-Kénitra,38.59802492262843,4.436342919559703
Édimbourg,Royaume-Uni,Scotland,57.413920247913794,6.3690937150666205
Bruxelles,USA,Fès-Meknès,37.524757467781114,-79.17716130187982
Tanger,Belgique,Tuscany,38.40426898645977,132.25209369863052
Birmingham,France,Valencia,34.657305612464555,-113.21997110904513
Casablanca,Maroc,Tanger-Tétouan-Al Hoceïma,30.13828003690155,-15.208553259703448
Oujda,USA,California,38.84458367153608,-3.5083448263412236
Meknès,Allemagne,Catalonia,56.07224314484834,5.19909609488173
Ottawa,Italie,Alberta,42.263935489408915,14.029314448087028
Casablanca,Allemagne,Souss-Massa,52.04444994835288,-0.4162609436613598
Le Caire,Maroc,Souss-Massa,-41.851527941592714,-81.25194092355359
Séville,Tunisie,Kanto,48.18179104378885,2.431490701814341
Paris,Belgique,Brussels,40.590677765358556,-3.9861620125549053
Nice,France,Québec,37.74380338121861,4.223156510942593
Boston,Italie,Lombardy,41.0609727405177,13.608317003032383
Anvers,Tunisie,Kanto,52.95469775063043,5.6748885920982595
Shanghai,Égypte,Campania,32.5042108494403,4.980116304787604
Calgary,Allemagne,Flanders,52.98780075730698,17.178755319190547
Rome,Japon,Texas,-42.60999318705496,7.687223681019001
Seattle,France,Shanghai,32.88683383423993,114.79074064432709
Tunis,Suisse,Occitanie,50.62474950686643,7.443883619053082
Berlin,Maroc,Kansai,31.506141058114906,-11.762409010871128
Kenitra,Italie,Lisbon,37.878392216466416,0.5743923941769901
Tétouan,France,Madrid,36.54995188299795,-11.785440411938033
Nantes,Belgique,Flanders,54.08222628601452,2.5799303941238634
Lisbonne,Royaume-Uni,Lazio,36.262248463828115,-3.1415114193666986
Bordeaux,Belgique,Zurich,34.40468594688986,-6.732987876486902
Osaka,Maroc,Kansai,36.39510548199488,-6.594102413238785
Édimbourg,Chine,Rabat-Salé-Kénitra,39.11707664399177,-13.575492782443028
Strasbourg,Canada,Washington,46.088095841638584,5.3563559219488
Houston,Suisse,Bavaria,37.32402976812183,1.6398606449367221
Birmingham,Italie,Tunis,36.3411886335847,113.10792624379633
Toronto,Égypte,Marrakech-Safi,35.38252513983031,2.5809495569990326
Marrakech,Maroc,Kansai,39.35938242225411,115.34999722193211
Osaka,Royaume-Uni,Beijing,44.162864972134884,12.492318295055718
Chicago,USA,Zurich,40.08189575489791,-73.99670406797087
Milan,Australie,New South Wales,34.98594856899336,13.35730470964091
Édimbourg,USA,New South Wales,35.33669040152009,-8.75120770882761
Le Caire,Espagne,Beijing,39.289469182288784,-91.06930393179773
Bruxelles,Royaume-Uni,Scotland,44.708185604530186,-0.5417665026902498
Sydney,Australie,New South Wales,-30.243884588651962,160.20963982170827
