produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Zara Veste Hiver,Mode,Adidas,482.16819961068245,Aucune,66,Budget,99
Zara Veste Hiver,Alimentation,L'Oréal,80.82166638886815,Aucune,528,Premium,405
Aspirateur Dyson V15,Mode,Zara,-54.52043205868047,Cyber Monday -35%,426,Luxe,1510
AirPods Pro,Sport,Lavazza,599.7901700952884,Aucune,151,Budget,706
Canapé IKEA Ektorp,Mode,Sony,240.57574563904467,Aucune,623,Standard,95
AirPods Pro,Alimentation,Dyson,11.174270303048544,Aucune,-77,Standard,505
Crème L'Oréal,Mode,Lindt,516.6399121754419,Soldes -20%,155,Luxe,307
PlayStation 5,Sport,Dyson,346.3716375087208,Promo Flash -25%,485,Luxe,673
Café Arabica,Mode,H&M,14.755164721360813,Aucune,980,Standard,426
Samsung Galaxy S24,Sport,L'Oréal,1190.8166445281327,3 pour 2,309,Première Commande,296
PlayStation 5,Mode,Adidas,387.32460991699816,Soldes -20%,515,Standard,956
Ballon Nike,Mode,Apple,40.90600082749802,Soldes -20%,2069,Standard,358
Vélo Décathlon,Mode,Adidas,472.4511507610632,Aucune,528,Premium,540
Canapé IKEA Ektorp,Sport,Adidas,682.0638710767523,Aucune,912,Standard,372
Adidas Survêtement,Alimentation,Sony,504.1222485347007,Aucune,809,Budget,477
iPhone 15 Pro,Maison,Chanel,26.7805104256028,Promo Flash -25%,164,Standard,284
Ballon Nike,Alimentation,Nike,79.5272222489474,Soldes -20%,546,Luxe,2012
iPhone 15 Pro,Alimentation,Nike,499.4723695882301,Aucune,-138,Standard,316
Café Arabica,Beauté,Terra Bio,303.27182515349324,Aucune,818,Standard,359
Vélo Décathlon,Sport,Chanel,120.25786896271865,Aucune,412,Premium,163
Zara Veste Hiver,Mode,Lindt,3.289954533876788,Aucune,66,Première Commande,603
Aspirateur Dyson V15,Mode,Terra Bio,-1.8255800302023673,Aucune,75,Premium,599
Vélo Décathlon,Électronique,Nike,234.8763178299023,Promo Flash -25%,457,Budget,885
Yaourt Nature,Maison,Nike,-45.208412299107295,Aucune,19,Budget,1706
Parfum Chanel N°5,Sport,Philips,88.1502169680708,Aucune,1113,Premium,920
Nike Air Max,Beauté,Décathlon,179.67804269893193,Aucune,-4,Standard,269
iPhone 15 Pro,Électronique,Danone,114.76997084169969,Aucune,328,Premium,236
Adidas Survêtement,Mode,Apple,47.503178531548556,2ème à -50%,479,Budget,244
Nike Air Max,Maison,Lindt,467.5429322311762,3 pour 2,303,Budget,333
Parfum Chanel N°5,Sport,Philips,244.79085165686465,Aucune,306,Premium,73
H&M T-Shirt,Maison,Danone,1026.5380523279925,Aucune,573,Standard,412
Canapé IKEA Ektorp,Sport,Lindt,79.31025557319407,Promo Flash -25%,15,Budget,171
MacBook Air M3,Mode,L'Oréal,94.19206628307761,Aucune,352,Standard,849
Parfum Chanel N°5,Sport,Terra Bio,393.15543829545885,Aucune,502,Premium,948
Lampe Philips Hue,Beauté,Adidas,29.944909033838858,Aucune,757,Standard,481
Samsung Galaxy S24,Électronique,Dyson,302.76705717260086,Cyber Monday -35%,103,Luxe,376
PlayStation 5,Électronique,Terra Bio,280.49157508887697,Soldes -30%,24,Premium,415
Canapé IKEA Ektorp,Mode,IKEA,715.8594261681951,Cyber Monday -35%,4889,Standard,2578
Café Arabica,Électronique,Lavazza,68.93510704918327,Cyber Monday -35%,388,Standard,453
Chocolat Lindt,Sport,Chanel,-74.46244457272188,Aucune,684,Premium,398
Canapé IKEA Ektorp,Mode,Zara,63.48977158227316,Soldes -30%,88,Standard,587
Café Arabica,Beauté,Apple,107.92157699361235,Black Friday -40%,315,Standard,938
Chocolat Lindt,Électronique,Apple,189.648345899865,Aucune,184,Premium,874
Café Arabica,Alimentation,Nike,-27.980747263809988,Aucune,197,Standard,160
Huile d'Olive Bio,Mode,Adidas,-3.6961526200365142,Aucune,361,Premium,449
H&M T-Shirt,Électronique,Chanel,839.8995388308352,Aucune,247,Premium,676
Chocolat Lindt,Électronique,Samsung,-25.329632377219752,Aucune,460,Luxe,320
Samsung Galaxy S24,Mode,Philips,9.632353836916671,Soldes -50%,519,Standard,742
H&M T-Shirt,Maison,H&M,166.7529416789954,Aucune,236,Premium,763
Samsung Galaxy S24,Beauté,Adidas,1300.5019150921914,Black Friday -40%,93,Premium,163
Parfum Chanel N°5,Mode,Philips,191.44850942460724,Aucune,310,Première Commande,152
Adidas Survêtement,Beauté,L'Oréal,641.272915353741,Black Friday -40%,194,Premium,381
Ballon Nike,Mode,IKEA,448.66102394954925,Aucune,396,Premium,502
Aspirateur Dyson V15,Alimentation,Décathlon,441.3346597402179,Aucune,900,Budget,1006
Huile d'Olive Bio,Sport,Zara,378.07854170451947,Aucune,119,Budget,592
Zara Veste Hiver,Mode,Samsung,371.41110182627114,Aucune,194,Budget,83
Chocolat Lindt,Électronique,Nike,512.8099376441887,Aucune,350,Premium,406
Adidas Survêtement,Alimentation,IKEA,14.350704171739842,Aucune,205,Standard,303
iPhone 15 Pro,Électronique,Lavazza,137.09686052410655,Aucune,1007,Premium,260
Samsung Galaxy S24,Électronique,Lindt,145.33467549717477,Soldes -30%,319,Premium,339
Zara Veste Hiver,Maison,Zara,-91.22021522420482,Aucune,407,Luxe,1709
Ballon Nike,Alimentation,IKEA,12.937656081472937,Aucune,692,Luxe,280
Lampe Philips Hue,Mode,Apple,35.83122103623242,Aucune,140,Premium,63
Huile d'Olive Bio,Mode,Terra Bio,-60.61769363017652,Aucune,1391,Luxe,333
AirPods Pro,Mode,Chanel,136.1675221701979,Aucune,81,Première Commande,292
Lampe Philips Hue,Mode,Zara,347.90579153069916,Aucune,434,Première Commande,328
H&M T-Shirt,Électronique,Zara,310.6258165854679,Aucune,3418,Premium,330
Aspirateur Dyson V15,Sport,Chanel,-72.62871602853654,Aucune,324,Budget,83
Adidas Survêtement,Sport,Apple,87.74168316772216,Aucune,172,Budget,763
Vélo Décathlon,Maison,Nike,603.2109363364876,3 pour 2,520,Standard,101
Canapé IKEA Ektorp,Mode,Zara,382.8636070089167,Aucune,192,Première Commande,436
Zara Veste Hiver,Alimentation,L'Oréal,470.75493246307747,Aucune,129,Budget,242
Parfum Chanel N°5,Électronique,Samsung,532.6385851644455,Aucune,540,Budget,84
Adidas Survêtement,Électronique,IKEA,-17.38173949300885,3 pour 2,1166,Premium,1087
AirPods Pro,Électronique,Nike,566.6907018391234,Aucune,760,Budget,780
PlayStation 5,Maison,Adidas,82.76492172688921,Aucune,510,Première Commande,2182
Café Arabica,Électronique,Lindt,221.5700166051837,Aucune,506,Standard,961
Crème L'Oréal,Alimentation,Zara,70.54167432978238,Promo Flash -25%,1954,Luxe,1188
Vélo Décathlon,Électronique,Lavazza,-142.09920626341346,Aucune,456,Premium,947
Samsung Galaxy S24,Maison,Apple,52.528453499855864,Soldes -20%,908,Standard,756
Lampe Philips Hue,Mode,Sony,100.12878280398776,Soldes -20%,180,Standard,572
Aspirateur Dyson V15,Mode,Lindt,333.68120029379315,Aucune,1335,Luxe,326
Vélo Décathlon,Alimentation,Décathlon,804.3196897481896,Aucune,245,Standard,289
Yaourt Nature,Maison,L'Oréal,622.5928752409291,Aucune,1021,Standard,298
Zara Veste Hiver,Mode,Philips,87.31995079936502,Black Friday -40%,857,Luxe,192
Nike Air Max,Mode,Terra Bio,36.09191246498338,Aucune,441,Standard,751
Samsung Galaxy S24,Alimentation,Sony,228.67952876519018,Aucune,821,Budget,1881
Zara Veste Hiver,Électronique,H&M,14.462816839142008,Aucune,89,Premium,-9
Aspirateur Dyson V15,Mode,Apple,44.3212348720557,Soldes -20%,275,Standard,1906
AirPods Pro,Sport,Apple,341.80858430269564,Soldes -20%,498,Standard,984
Samsung Galaxy S24,Beauté,Lavazza,274.9627392270779,Aucune,883,Luxe,275
H&M T-Shirt,Alimentation,Lavazza,153.85165237522236,Aucune,213,Budget,761
Parfum Chanel N°5,Mode,Lindt,23.903035946755153,Aucune,250,Luxe,675
Samsung Galaxy S24,Mode,Sony,262.3709176614311,Aucune,135,Standard,252
Lampe Philips Hue,Maison,Lindt,608.0997213446426,Aucune,302,Standard,911
Yaourt Nature,Mode,Zara,61.12923180423503,Aucune,510,Premium,201
Huile d'Olive Bio,Mode,Chanel,557.945120807178,Soldes -20%,433,Standard,381
Samsung Galaxy S24,Mode,L'Oréal,-160.83694077476463,Aucune,298,Premium,389
Adidas Survêtement,Sport,Danone,1276.708725153047,2ème à -50%,12,Première Commande,384
Adidas Survêtement,Mode,Lindt,114.65290595831411,Soldes -20%,-11,Budget,155
Yaourt Nature,Électronique,H&M,81.06417882695689,Soldes -30%,309,Premium,319
Parfum Chanel N°5,Électronique,L'Oréal,248.95621994238263,Aucune,1968,Luxe,311
Canapé IKEA Ektorp,Mode,IKEA,70.16341223190328,Aucune,518,Luxe,482
Zara Veste Hiver,Alimentation,Nike,4.458129173525947,Aucune,324,Première Commande,29
Parfum Chanel N°5,Mode,Danone,-14.612367963232202,Soldes -50%,215,Standard,572
Café Arabica,Alimentation,Lavazza,708.1121484967139,Aucune,730,Standard,410
Ballon Nike,Maison,Lavazza,342.753553422523,Soldes -20%,507,Standard,1224
Parfum Chanel N°5,Alimentation,Adidas,71.87343899495727,Aucune,244,Luxe,466
Nike Air Max,Électronique,L'Oréal,126.32283593798955,2ème à -50%,23,Luxe,-67
Parfum Chanel N°5,Beauté,Zara,129.35362513460882,Soldes -20%,645,Premium,148
Yaourt Nature,Alimentation,Lindt,-48.43289304876451,Aucune,345,Budget,418
Yaourt Nature,Beauté,Philips,36.48405368762958,Aucune,723,Premium,434
Aspirateur Dyson V15,Électronique,Samsung,247.44405380644747,Promo Flash -25%,509,Premium,992
PlayStation 5,Alimentation,L'Oréal,141.99939414707143,3 pour 2,381,Standard,-18
Huile d'Olive Bio,Électronique,Nike,56.89095066245903,Aucune,128,Standard,438
iPhone 15 Pro,Électronique,Dyson,-41.43991287829094,Aucune,450,Premium,857
AirPods Pro,Maison,IKEA,415.4954074249934,Aucune,66,Premium,21
Samsung Galaxy S24,Mode,Chanel,136.40966352193777,Aucune,267,Première Commande,1035
Nike Air Max,Électronique,Chanel,-1.0200525783411294,Cyber Monday -35%,1031,Première Commande,445
AirPods Pro,Alimentation,Terra Bio,911.8343193713374,Aucune,300,Standard,302
Lampe Philips Hue,Maison,Chanel,-72.43926625486016,Black Friday -40%,463,Premium,512
Parfum Chanel N°5,Sport,IKEA,65.24166475733266,Aucune,-64,Premium,7
PlayStation 5,Beauté,Apple,43.31170240797762,Soldes -30%,202,Budget,327
H&M T-Shirt,Sport,Apple,755.9886300535023,Aucune,820,Premium,456
PlayStation 5,Sport,Adidas,-39.19865087490757,Aucune,198,Budget,850
Huile d'Olive Bio,Beauté,Adidas,66.7603286979554,Aucune,234,Première Commande,973
Chocolat Lindt,Électronique,Lindt,14.927065077737744,Black Friday -40%,408,Budget,667
Yaourt Nature,Mode,Nike,601.097043609124,Black Friday -40%,327,Standard,628
Crème L'Oréal,Mode,Apple,-104.80442061813477,Aucune,832,Budget,928
Yaourt Nature,Mode,L'Oréal,301.1861762923248,Cyber Monday -35%,-81,Budget,263
Canapé IKEA Ektorp,Mode,IKEA,338.0354084561941,Aucune,452,Première Commande,363
MacBook Air M3,Alimentation,Zara,616.2007571917989,Aucune,6,Budget,484
Vélo Décathlon,Alimentation,L'Oréal,10.784039523773117,Aucune,325,Standard,142
Parfum Chanel N°5,Beauté,Apple,526.0658643619963,Black Friday -40%,909,Standard,472
Lampe Philips Hue,Mode,Nike,-13.205167089232773,Aucune,192,Première Commande,162
Samsung Galaxy S24,Maison,Chanel,1124.2523225055074,Aucune,916,Premium,883
Aspirateur Dyson V15,Alimentation,Adidas,93.97311719819521,Aucune,272,Budget,111
Vélo Décathlon,Sport,Dyson,358.98886356317894,Aucune,204,Luxe,1632
Adidas Survêtement,Électronique,Chanel,-5.4000124925557955,Aucune,805,Standard,-47
Aspirateur Dyson V15,Mode,IKEA,-2.3055873205497477,Aucune,80,Luxe,274
Yaourt Nature,Mode,Lindt,68.76756687866424,Aucune,510,Premium,895
Zara Veste Hiver,Maison,Chanel,533.5676711959779,Aucune,1654,Budget,322
Samsung Galaxy S24,Électronique,Samsung,695.8253601056783,Cyber Monday -35%,197,Premium,1987
Adidas Survêtement,Sport,Philips,19.155187298669997,Soldes -20%,247,Standard,365
Vélo Décathlon,Beauté,H&M,615.2302650316943,Aucune,-1342,Standard,411
Aspirateur Dyson V15,Beauté,Apple,-12.829035280368487,Aucune,2175,Première Commande,506
Ballon Nike,Électronique,Dyson,512.0211721970511,Aucune,907,Premium,779
Canapé IKEA Ektorp,Alimentation,Lindt,41.50421716946548,Aucune,708,Première Commande,486
Canapé IKEA Ektorp,Alimentation,Samsung,117.25919019721226,Aucune,125,Budget,386
Canapé IKEA Ektorp,Électronique,Samsung,19.449233376378185,Aucune,426,Luxe,1103
Yaourt Nature,Mode,Lavazza,258.4630053346531,Aucune,214,Standard,512
PlayStation 5,Électronique,Lindt,3.4529402155840643,Soldes -50%,364,Luxe,515
Vélo Décathlon,Maison,Lavazza,-34.414694798021856,Aucune,373,Luxe,353
Aspirateur Dyson V15,Sport,Apple,4.00331975667018,Aucune,516,Première Commande,400
Yaourt Nature,Sport,Adidas,15.384790147390888,Soldes -20%,393,Standard,82
Canapé IKEA Ektorp,Alimentation,Nike,454.18206239382334,Aucune,263,Luxe,913
Ballon Nike,Mode,Apple,10.981615345138444,2ème à -50%,1911,Standard,76
Crème L'Oréal,Alimentation,Nike,37.70596758622246,Black Friday -40%,1008,Premium,447
Aspirateur Dyson V15,Maison,Sony,10.038565543235904,Aucune,17,Standard,349
Parfum Chanel N°5,Sport,Samsung,327.00441011657506,Soldes -20%,-24,Standard,-11
Lampe Philips Hue,Beauté,L'Oréal,577.5720993499913,Black Friday -40%,720,Premium,943
Zara Veste Hiver,Électronique,Adidas,141.53011352149753,Aucune,208,Luxe,224
Ballon Nike,Mode,Dyson,235.80934295039626,Promo Flash -25%,275,Standard,-17
Nike Air Max,Mode,Samsung,322.5947368181619,Aucune,380,Premium,1703
PlayStation 5,Beauté,Zara,13.108085883489665,Aucune,148,Standard,993
