produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Nike Air Max,Alimentation,Décathlon,91.89808428785649,Aucune,-100,Premium,439
Zara Veste Hiver,Sport,Terra Bio,709.6003059937437,Aucune,289,Luxe,619
Huile d'Olive Bio,Électronique,IKEA,1208.275362208185,Soldes -30%,170,Standard,281
Canapé IKEA Ektorp,Alimentation,Chanel,81.02613788436088,Aucune,195,Budget,1917
Crème L'Oréal,Sport,Apple,1337.9393536011626,Aucune,260,Standard,365
Lampe Philips Hue,Mode,Apple,131.36029305393936,Aucune,923,Premium,236
Crème L'Oréal,Mode,Dyson,137.19329900022473,Aucune,155,Standard,736
Vélo Décathlon,Mode,Chanel,566.6685909478022,Aucune,410,Standard,278
Ballon Nike,Sport,Apple,966.7531001408946,Aucune,364,Standard,45
Samsung Galaxy S24,Alimentation,Zara,417.0373660285703,Aucune,476,Luxe,327
MacBook Air M3,Électronique,IKEA,21.208752964052138,Soldes -50%,114,Luxe,757
Lampe Philips Hue,Mode,Nike,200.39209327051938,Aucune,98,Standard,351
Chocolat Lindt,Alimentation,Lavazza,-45.98091173177011,Aucune,817,Premium,280
iPhone 15 Pro,Maison,Nike,-79.44671790092968,Aucune,126,Standard,412
Crème L'Oréal,Alimentation,Décathlon,38.71309647422811,Soldes -20%,415,Luxe,1108
Yaourt Nature,Sport,Apple,10.417640481561271,3 pour 2,503,Luxe,669
Crème L'Oréal,Mode,Apple,620.1032096453077,Aucune,5,Standard,1012
Aspirateur Dyson V15,Électronique,Lavazza,-18.62062986311595,3 pour 2,1017,Standard,820
PlayStation 5,Maison,IKEA,37.98828310231995,2ème à -50%,82,Standard,413
Aspirateur Dyson V15,Mode,H&M,759.5910589229959,Aucune,319,Luxe,41
Lampe Philips Hue,Mode,Chanel,-64.22294156630358,Black Friday -40%,167,Budget,54
MacBook Air M3,Mode,Zara,1276.367085195054,Aucune,776,Premium,548
Aspirateur Dyson V15,Électronique,Chanel,38.04572743211194,Aucune,239,Premium,207
AirPods Pro,Maison,Terra Bio,78.72643057721673,Promo Flash -25%,418,Standard,628
Adidas Survêtement,Mode,IKEA,1056.4631066635684,Aucune,283,Standard,441
iPhone 15 Pro,Sport,Sony,-16.79994765681581,Aucune,69,Premium,424
H&M T-Shirt,Sport,Sony,165.6317800851133,Soldes -20%,409,Standard,92
Vélo Décathlon,Beauté,Décathlon,280.9690707868737,Aucune,198,Budget,440
Parfum Chanel N°5,Maison,Danone,1.9242017332024375,Aucune,146,Standard,274
Chocolat Lindt,Sport,Adidas,744.221312421914,Aucune,501,Standard,913
Huile d'Olive Bio,Électronique,Lavazza,57.79147468522977,Aucune,455,Première Commande,485
PlayStation 5,Électronique,Danone,-72.76545221430067,Aucune,348,Standard,653
Chocolat Lindt,Mode,H&M,-89.64825388319008,Aucune,492,Standard,290
Café Arabica,Alimentation,Philips,499.55712397656293,Aucune,133,Standard,427
Samsung Galaxy S24,Alimentation,Dyson,451.4321523548517,Black Friday -40%,381,Premium,1013
Samsung Galaxy S24,Maison,Dyson,-4.1187256511685035,Soldes -20%,455,Standard,89
Crème L'Oréal,Mode,Adidas,145.74450537577042,Cyber Monday -35%,344,Budget,129
PlayStation 5,Beauté,Philips,136.68812225951882,3 pour 2,216,Première Commande,309
AirPods Pro,Alimentation,Zara,-200.0681996718609,Aucune,323,Première Commande,518
Aspirateur Dyson V15,Mode,IKEA,1520.7392824418419,Soldes -20%,488,Luxe,449
Zara Veste Hiver,Sport,L'Oréal,20.088688441539773,2ème à -50%,923,Premium,644
Vélo Décathlon,Mode,Lindt,133.18755371449282,Aucune,267,Standard,2084
Vélo Décathlon,Électronique,H&M,-68.62416710063748,Aucune,-73,Budget,1871
Parfum Chanel N°5,Alimentation,Lindt,-16.692413037967192,Aucune,336,Budget,275
Canapé IKEA Ektorp,Sport,Danone,-142.81784272960073,Aucune,288,Budget,334
Parfum Chanel N°5,Maison,H&M,127.45721804346013,Aucune,374,Premium,820
PlayStation 5,Mode,Chanel,118.83600692794016,Aucune,167,Standard,405
Crème L'Oréal,Mode,Zara,-57.25315287772057,Aucune,343,Premium,1065
Chocolat Lindt,Mode,Chanel,310.89760461638593,Aucune,176,Standard,272
Parfum Chanel N°5,Mode,Décathlon,515.3655812944781,Black Friday -40%,791,Standard,766
Adidas Survêtement,Mode,Adidas,75.8980136959143,Soldes -30%,1378,Standard,408
iPhone 15 Pro,Beauté,H&M,605.4733650833978,Aucune,41,Standard,287
Huile d'Olive Bio,Sport,Nike,490.2217300519517,Aucune,455,Première Commande,876
Crème L'Oréal,Beauté,Apple,77.14922823048414,Aucune,148,Budget,154
Lampe Philips Hue,Mode,Samsung,54.55122738674561,Cyber Monday -35%,972,Premium,423
