id,nom,espece,race,age,poids,sexe,couleur_pelage
ANI_000391,Zeus,Cheval,Bengal,2,8.97,mâle,Rayé
ANI_001782,Nala,Chien,Géant des Flandres,2,5.445,mâle,Tricolore
ANI_000223,Bella,Poisson,Angora,18,0.2925,femelle,Noir
ANI_000429,Sunny,Chien,Bulldog Français,5,498.63,femelle,Blanc
ANI_001383,Maya,Poisson,Siamois,11,0.28500000000000003,femelle,Blanc
ANI_001592,Tigrou,Poisson,Carpe Koï,3,43.335,mâle,Beige
ANI_000648,Luna,Cheval,Andalou,5,0.33,mâle,Rayé
ANI_001699,Maya,Chien,Caniche,6,330.93,femelle,Blanc
ANI_000907,Lola,Lapin,Géant des Flandres,0,9.120000000000001,mâle,Tricolore
ANI_000833,Blue,Oiseau,Quarter Horse,3,4.335,mâle,Blanc
ANI_000363,Bunny,Chien,Carpe Koï,4,4.995,mâle,Rayé
ANI_000762,Oreo,Chien,Nain,1,4.485,femelle,Roux
ANI_000889,Leo,Oiseau,Scottish Fold,0,311.0175,femelle,Marron
ANI_001202,Lola,Chien,Betta,7,0.30000000000000004,mâle,Marron
ANI_001006,Whiskers,Poisson,Berger Allemand,2,9.885,mâle,Beige
ANI_000974,Angel,Chien,Husky,6,2.5725000000000002,femelle,Roux
ANI_001718,Spirit,Oiseau,Shetland,11,1.6724999999999999,femelle,Tricolore
ANI_000236,Kiwi,Oiseau,Maine Coon,-1,657.03,mâle,Marron
ANI_000922,Mittens,Cheval,Pur-sang Arabe,10,10.665000000000001,mâle,Rayé
ANI_001902,Lucy,Cheval,Quarter Horse,5,9.18,femelle,Noir
ANI_001791,Mango,Oiseau,Berger Allemand,1,1.785,mâle,Roux
ANI_000443,Coco,Poisson,Calopsitte,2,4.365,mâle,Blanc
ANI_001728,Max,Cheval,Quarter Horse,3,18.36,mâle,Tacheté
ANI_000681,Thumper,Lapin,Yorkshire,2,0.2475,femelle,Rayé
ANI_001939,Star,Cheval,Persan,11,0.165,mâle,Rayé
ANI_000582,Splash,Cheval,Quarter Horse,4,636.54,mâle,Tricolore
ANI_001528,Milo,Lapin,Géant des Flandres,6,0.6525,femelle,Gris
ANI_000174,Apollo,Chat,Carpe Koï,1,14.085,femelle,Tricolore
ANI_001434,Splash,Poisson,Betta,2,20.46,mâle,Blanc
ANI_001821,Cottontail,Cheval,Frison,3,0.54,mâle,Blanc
ANI_000337,Storm,Chat,Calopsitte,11,7.485,femelle,Noir
ANI_001848,Bubbles,Cheval,Nain,0,32.925,femelle,Tacheté
ANI_001322,Tigrou,Poisson,Poisson Rouge,-1,4.65,mâle,Beige
ANI_001778,Rex,Lapin,Nain,1,802.485,mâle,Rayé
ANI_001189,Blue,Oiseau,Perruche,18,403.01250000000005,femelle,Blanc
ANI_001297,Felix,Cheval,Labrador,6,69.405,mâle,Marron
ANI_000043,Sky,Lapin,Bengal,2,0.5475,femelle,Roux
ANI_000880,Bunny,Cheval,Nain,2,0.07500000000000001,femelle,Blanc
ANI_000771,Bunny,Oiseau,Cacatoès,1,3.6975,femelle,Blanc
ANI_001305,Angel,Chat,Persan,10,11.100000000000001,mâle,Blanc
ANI_001618,Peter,Cheval,Inséparable,6,0.21749999999999997,femelle,Blanc
ANI_000579,Clover,Lapin,Calopsitte,3,638.34,mâle,Beige
ANI_001911,Fluffy,Chat,Betta,7,19.5,mâle,Roux
ANI_001386,Bubbles,Chat,Golden Retriever,10,434.49750000000006,femelle,Blanc
ANI_001715,Goldie,Poisson,Poisson Rouge,14,11.565,mâle,Noir
ANI_001582,Lola,Chien,Husky,11,5.3475,femelle,Blanc
ANI_000184,Luna,Poisson,Caniche,23,6.8100000000000005,mâle,Tacheté
ANI_000154,Simba,Lapin,Rex,7,5.76,femelle,Noir
ANI_000291,Simba,Cheval,Chihuahua,5,4.0875,femelle,Blanc
ANI_000560,Cleo,Cheval,Géant des Flandres,3,0.2025,femelle,Blanc
ANI_000036,Nemo,Cheval,Percheron,1,4.0649999999999995,femelle,Roux
ANI_001809,Marshmallow,Cheval,Berger Allemand,7,0.10500000000000001,mâle,Blanc
ANI_001733,Blue,Chien,Scottish Fold,4,4.2524999999999995,femelle,Rayé
ANI_001820,Bella,Lapin,Angora,2,5.5575,femelle,Blanc
ANI_000644,Sky,Poisson,Carpe Koï,9,2.1149999999999998,mâle,Tacheté
ANI_000741,Shadow,Chat,Inséparable,3,8.49,mâle,Blanc
ANI_000791,Pepper,Poisson,Géant des Flandres,3,354.195,femelle,Beige
ANI_000402,Sky,Oiseau,Bélier,4,0.2025,femelle,Rayé
ANI_000797,Splash,Chat,Husky,4,4.9575000000000005,femelle,Gris
ANI_001287,Bella,Oiseau,Nain,9,0.315,femelle,Tacheté
ANI_000841,Peter,Poisson,Carpe Koï,2,8.235,mâle,Beige
ANI_000697,Lucy,Chien,Quarter Horse,12,29.565,femelle,Roux
ANI_000406,Blue,Cheval,Perroquet Ara,4,1.0050000000000001,mâle,Gris
ANI_001897,Shadow,Poisson,Labrador,4,844.4250000000001,mâle,Beige
ANI_000936,Buddy,Poisson,Calopsitte,6,1.02,mâle,Blanc
ANI_000448,Storm,Poisson,Persan,3,71.07000000000001,mâle,Marron
ANI_001583,Luna,Poisson,Nain,5,2.3325,femelle,Roux
ANI_000233,Mittens,Oiseau,Cacatoès,7,8.879999999999999,mâle,Roux
ANI_000371,Flash,Lapin,Scottish Fold,2,4.305,femelle,Blanc
ANI_001591,Gizmo,Chien,Canari,1,0.705,mâle,Marron
ANI_000746,Max,Chat,Chartreux,5,0.18,femelle,Noir
ANI_001300,Tornado,Chien,Rottweiler,0,20.13,mâle,Tacheté
ANI_000626,Bella,Cheval,Nain,4,12.165,mâle,Noir
ANI_001692,Rainbow,Chat,Géant des Flandres,4,23.61,femelle,Blanc
ANI_001880,Blue,Cheval,Husky,4,7.2524999999999995,femelle,Roux
ANI_000937,Oliver,Oiseau,Inséparable,21,0.14250000000000002,femelle,Rayé
ANI_001673,Fluffy,Lapin,Discus,5,0.39,mâle,Beige
ANI_000496,Storm,Chien,Angora,9,5.699999999999999,mâle,Blanc
ANI_001673,Clover,Lapin,Rottweiler,3,0.54,mâle,Gris
ANI_000574,Luna,Chat,Bengal,5,344.46750000000003,femelle,Beige
ANI_001593,Bella,Lapin,Poisson Rouge,4,341.115,femelle,Noir
ANI_001442,Charlie,Oiseau,Bélier,1,51.405,mâle,Roux
ANI_001816,Coco,Cheval,Géant des Flandres,11,319.17,femelle,Blanc
ANI_000673,Bella,Cheval,Perruche,4,27.884999999999998,mâle,Beige
ANI_001695,Goldie,Poisson,Sphynx,0,1.275,mâle,Beige
ANI_000134,Stella,Cheval,Géant des Flandres,3,3.2775,femelle,Rayé
ANI_000628,Max,Cheval,Berger Allemand,0,990.105,mâle,Beige
ANI_001722,Lucy,Poisson,Bengal,4,7.7325,femelle,Tacheté
ANI_001633,Coco,Cheval,Carpe Koï,11,7.86,mâle,Roux
ANI_001184,Bella,Cheval,Pur-sang Arabe,1,3.57,mâle,Beige
ANI_001741,Leo,Poisson,Boxer,2,0.7875000000000001,femelle,Marron
ANI_000689,Rainbow,Cheval,Néon,7,985.6800000000001,mâle,Tricolore
ANI_000680,Luna,Chien,Percheron,5,303.48749999999995,femelle,Roux
ANI_000084,Tornado,Chien,Angora,10,10.86,mâle,Marron
ANI_001180,Clover,Lapin,Berger Allemand,8,32.925,mâle,Marron
ANI_001875,Thumper,Lapin,Appaloosa,5,23.4525,femelle,Roux
ANI_000273,Bubbles,Lapin,Maine Coon,2,3.5999999999999996,mâle,Rayé
ANI_000896,Bubbles,Lapin,Bélier,1,32.925,femelle,Blanc
ANI_000407,Charlie,Cheval,Scottish Fold,2,5.34,mâle,Tacheté
ANI_001292,Snowball,Lapin,Bulldog Français,4,4.485,mâle,Marron
ANI_000828,Rio,Oiseau,Nain,4,30.7425,femelle,Noir
ANI_000500,Marshmallow,Lapin,Poisson Rouge,0,815.895,mâle,Tacheté
ANI_001926,Mango,Cheval,Nain,11,16.215,mâle,Gris
ANI_000207,Bella,Cheval,Pur-sang Arabe,6,10.86,mâle,Gris
ANI_001073,Bunny,Poisson,Angora,6,3.96,mâle,Beige
ANI_000043,Bella,Chien,Husky,5,0.585,mâle,Roux
ANI_001311,Kiwi,Oiseau,Géant des Flandres,6,5.22,femelle,Beige
ANI_000077,Max,Cheval,Andalou,5,454.5525,femelle,Blanc
ANI_000863,Bella,Lapin,Nain,-1,0.24,mâle,Marron
ANI_001011,Rio,Oiseau,Betta,2,754.245,mâle,Roux
ANI_001250,Coco,Oiseau,Shetland,6,0.09,mâle,Rayé
ANI_001488,Ruby,Cheval,Scottish Fold,3,5.505,femelle,Roux
ANI_001716,Rio,Chat,Scottish Fold,5,66.63,mâle,Roux
ANI_000358,Buddy,Lapin,Nain,4,2.145,femelle,Blanc
ANI_000818,Storm,Cheval,Géant des Flandres,6,3.6750000000000003,mâle,Roux
ANI_000044,Luna,Cheval,Bélier,0,382.20000000000005,femelle,Tacheté
ANI_001060,Angel,Cheval,Bengal,10,393.98249999999996,femelle,Noir
ANI_001946,Gizmo,Oiseau,Bélier,2,1.1400000000000001,mâle,Roux
ANI_001464,Fluffy,Poisson,Quarter Horse,1,901.5749999999999,mâle,Noir
ANI_001795,Angel,Cheval,Shetland,15,395.2725,femelle,Roux
ANI_000391,Tigrou,Poisson,Percheron,2,0.12,femelle,Roux
ANI_001275,Coco,Chien,Nain,4,4.62,mâle,Roux
ANI_001399,Bubbles,Cheval,Nain,5,0.24,femelle,Gris
ANI_001920,Stella,Cheval,Husky,4,373.9575,femelle,Roux
ANI_000954,Rainbow,Chien,Husky,4,2.415,femelle,Blanc
ANI_001309,Phoenix,Lapin,Sphynx,4,393.0675,femelle,Roux
ANI_000700,Charlie,Chien,Néon,7,9.899999999999999,mâle,Roux
ANI_001947,Rainbow,Chien,Siamois,2,985.545,mâle,Gris
ANI_001599,Fluffy,Oiseau,Mustang,2,393.0675,femelle,Gris
ANI_001560,Peter,Oiseau,Bengal,3,354.195,femelle,Tacheté
ANI_001806,Bella,Cheval,Sphynx,5,20.0775,femelle,Blanc
ANI_000038,Thor,Poisson,Berger Allemand,3,2.5949999999999998,femelle,Rayé
ANI_000040,Ruby,Chien,Canari,4,1070.28,mâle,Rayé
ANI_001215,Bella,Chat,Andalou,4,7.515,mâle,Gris
ANI_001678,Flash,Poisson,Perroquet Ara,10,4.5600000000000005,mâle,Gris
ANI_000057,Maximus,Cheval,Discus,4,971.115,mâle,Tricolore
ANI_001438,Charlie,Poisson,Poisson Rouge,0,5.91,mâle,Roux
ANI_001352,Nemo,Cheval,Scottish Fold,3,364.4775,femelle,Rayé
ANI_000247,Felix,Chien,Bengal,9,27.6075,femelle,Roux
ANI_001739,Shadow,Oiseau,Guppy,11,998.61,mâle,Rayé
ANI_001111,Felix,Poisson,Andalou,4,7.3500000000000005,mâle,Beige
ANI_000090,Shadow,Poisson,Discus,3,0.63,mâle,Rayé
ANI_001510,Oreo,Cheval,Nain,4,514.215,femelle,Tricolore
ANI_001588,Tigrou,Poisson,Percheron,8,0.3375,femelle,Gris
ANI_001387,Charlie,Poisson,Guppy,2,0.39,mâle,Roux
ANI_001398,Spirit,Oiseau,Berger Allemand,8,20.669999999999998,mâle,Marron
ANI_001827,Finn,Chat,Boxer,1,36.525000000000006,femelle,Blanc
ANI_001089,Oreo,Lapin,Néon,4,0.3225,femelle,Blanc
ANI_000829,Blue,Cheval,Mustang,5,17.145,femelle,Gris
ANI_000264,Coco,Poisson,Betta,1,4.305,femelle,Blanc
ANI_000447,Rocky,Cheval,Yorkshire,6,4.785,mâle,Tricolore
ANI_000558,Simba,Oiseau,Cacatoès,13,11.01,mâle,Blanc
ANI_001414,Nala,Chien,Golden Retriever,3,5.175000000000001,femelle,Roux
ANI_001749,Bugs,Poisson,Bélier,2,317.13,femelle,Blanc
ANI_000563,Cleo,Poisson,Betta,0,13.0275,femelle,Rayé
ANI_000422,Marshmallow,Lapin,Betta,6,2.16,mâle,Blanc
ANI_000615,Shadow,Cheval,Perroquet Ara,23,11.399999999999999,femelle,Tacheté
ANI_001054,Tornado,Chat,Scottish Fold,3,34.980000000000004,mâle,Blanc
ANI_001321,Marshmallow,Cheval,Persan,13,475.68,femelle,Blanc
ANI_000739,Sunny,Chien,Néon,9,574.365,femelle,Tricolore
ANI_001132,Storm,Chat,Betta,2,5.4075,femelle,Roux
ANI_000724,Cotton,Cheval,Bélier,3,0.8025,femelle,Marron
ANI_000720,Cleo,Chat,Mustang,0,32.925,femelle,Gris
ANI_001043,Finn,Chien,Rex,2,6.87,mâle,Roux
ANI_000273,Rio,Oiseau,Angora,21,3.24,femelle,Blanc
ANI_000583,Finn,Poisson,Golden Retriever,4,14.137500000000001,femelle,Rayé
ANI_000637,Bella,Oiseau,Calopsitte,4,36.96,mâle,Rayé
ANI_001527,Cottontail,Cheval,Percheron,2,5.235,femelle,Beige
ANI_000044,Storm,Chien,Siamois,4,70.185,mâle,Marron
ANI_000555,Blaze,Cheval,Angora,7,9.899999999999999,mâle,Tricolore
ANI_001349,Flash,Poisson,Inséparable,0,0.0825,femelle,Marron
ANI_001122,Lola,Oiseau,Bélier,11,594.4275,femelle,Blanc
ANI_001310,Simba,Oiseau,Nain,4,11.535,mâle,Tacheté
ANI_000402,Shadow,Chat,Nain,12,0.9750000000000001,mâle,Marron
ANI_000856,Rio,Poisson,Calopsitte,17,595.5525,femelle,Noir
ANI_001148,Thunder,Cheval,Bengal,10,10.185,mâle,Rayé
ANI_001587,Blaze,Poisson,Boxer,1,826.395,mâle,Tacheté
ANI_000185,Zeus,Chien,Scottish Fold,12,7.26,mâle,Tacheté
ANI_000711,Shadow,Cheval,Cacatoès,2,1.0875,femelle,Blanc
ANI_001593,Kiwi,Chien,Yorkshire,11,6.42,mâle,Noir
ANI_000575,Fluffy,Cheval,Siamois,4,54.045,mâle,Marron
ANI_001635,Gizmo,Poisson,Andalou,3,20.669999999999998,mâle,Beige
ANI_000044,Thunder,Chat,Frison,3,32.925,mâle,Roux
ANI_000532,Nala,Poisson,Angora,3,43.095,mâle,Rayé
ANI_001951,Luna,Oiseau,Appaloosa,2,55.935,mâle,Blanc
ANI_000300,Bunny,Poisson,Scottish Fold,3,0.27749999999999997,femelle,Blanc
ANI_001651,Mittens,Chat,Golden Retriever,1,0.10500000000000001,mâle,Marron
ANI_000980,Lucy,Lapin,Angora,3,0.5700000000000001,mâle,Blanc
ANI_000016,Bella,Poisson,Rex,0,8.790000000000001,mâle,Rayé
ANI_001247,Pegasus,Cheval,Betta,3,0.43499999999999994,mâle,Roux
ANI_001451,Tweety,Chat,Sphynx,4,0.09,femelle,Marron
ANI_000121,Max,Poisson,Berger Allemand,-1,476.3325,femelle,Blanc
ANI_001795,Pepper,Chat,Angora,5,15.067499999999999,femelle,Blanc
ANI_001419,Fluffy,Oiseau,Labrador,1,1.6949999999999998,mâle,Blanc
ANI_000510,Splash,Chat,Andalou,6,1.455,mâle,Gris
ANI_000621,Nemo,Lapin,Nain,9,1.77,mâle,Noir
ANI_001463,Splash,Cheval,Nain,1,0.21749999999999997,femelle,Marron
ANI_001250,Cleo,Poisson,Cacatoès,1,7.02,mâle,Roux
ANI_000589,Charlie,Cheval,Rex,5,0.5549999999999999,femelle,Blanc
ANI_001832,Luna,Lapin,Betta,4,34.769999999999996,mâle,Roux
ANI_000422,Flash,Oiseau,Bélier,0,24.165,femelle,Blanc
ANI_001499,Duke,Oiseau,Chartreux,4,65.865,mâle,Roux
ANI_000637,Tigrou,Chien,Bélier,4,6.779999999999999,mâle,Blanc
ANI_000324,Goldie,Poisson,Géant des Flandres,-1,5.550000000000001,mâle,Gris
ANI_000101,Phoenix,Chien,Percheron,4,10.17,mâle,Roux
ANI_001181,Blaze,Cheval,Guppy,6,1111.875,mâle,Rayé
ANI_001539,Kiwi,Chien,Néon,3,0.18,femelle,Roux
ANI_000147,Daisy,Poisson,Sphynx,8,5.535,femelle,Noir
ANI_000179,Fluffy,Cheval,Guppy,6,58.065,mâle,Rayé
ANI_000291,Marshmallow,Poisson,Mustang,4,1084.77,mâle,Beige
ANI_001478,Cottontail,Chat,Persan,1,52.515,mâle,Blanc
ANI_000341,Peter,Cheval,Bengal,4,5.58,mâle,Beige
ANI_001324,Maximus,Lapin,Bélier,3,27.884999999999998,mâle,Marron
ANI_001609,Peter,Chien,British Shorthair,3,3.0525,femelle,Roux
ANI_000731,Goldie,Poisson,Inséparable,1,2.9175,femelle,Blanc
ANI_001728,Cottontail,Oiseau,Perroquet Ara,3,812.0699999999999,mâle,Blanc
ANI_000680,Luna,Chien,Calopsitte,5,937.1999999999999,mâle,Rayé
ANI_000363,Bella,Cheval,Bélier,3,37.86,mâle,Blanc
ANI_001575,Charlie,Chat,Andalou,6,8.834999999999999,mâle,Gris
ANI_000912,Whiskers,Cheval,Scottish Fold,2,3.66,mâle,Roux
ANI_000205,Nala,Cheval,Mustang,3,1081.905,mâle,Noir
ANI_001499,Flash,Poisson,Chartreux,4,0.75,mâle,Marron
ANI_000919,Clover,Cheval,Angora,5,0.9825,femelle,Blanc
ANI_000425,Nemo,Chat,Bengal,10,5.9625,femelle,Rayé
ANI_001841,Cottontail,Cheval,Pur-sang Arabe,5,2.25,femelle,Noir
ANI_001679,Kiwi,Chien,Betta,4,9.675,mâle,Marron
ANI_000659,Daisy,Chien,Discus,17,712.23,mâle,Roux
ANI_001583,Cottontail,Chat,Néon,1,4.949999999999999,femelle,Blanc
ANI_001608,Gizmo,Poisson,Maine Coon,1,10.1175,femelle,Beige
ANI_000179,Stella,Oiseau,Bélier,10,41.82,mâle,Noir
ANI_000944,Marshmallow,Cheval,Frison,8,53.864999999999995,mâle,Rayé
ANI_001811,Bella,Poisson,Calopsitte,1,51.405,mâle,Noir
ANI_001563,Blue,Lapin,Guppy,1,4.0275,femelle,Blanc
ANI_001873,Mango,Oiseau,Scottish Fold,5,0.495,mâle,Blanc
ANI_000343,Nala,Poisson,Angora,3,5.5200000000000005,mâle,Marron
ANI_001827,Apollo,Chien,Nain,3,2.3024999999999998,femelle,Rayé
ANI_001237,Goldie,Cheval,Angora,6,2.0625,femelle,Noir
ANI_001878,Bella,Cheval,Angora,5,0.75,mâle,Marron
ANI_000271,Bugs,Chien,Bengal,22,0.885,femelle,Beige
ANI_000224,Lola,Poisson,Perroquet Ara,7,998.61,mâle,Beige
ANI_001144,Fluffy,Oiseau,Carpe Koï,2,557.9399999999999,femelle,Roux
ANI_001438,Spirit,Poisson,Nain,11,2.3024999999999998,femelle,Rayé
ANI_001140,Shadow,Lapin,Carpe Koï,4,601.41,mâle,Tricolore
ANI_000944,Bella,Oiseau,Néon,9,22.14,mâle,Rayé
ANI_000320,Sunny,Chien,Rex,7,32.37,mâle,Marron
ANI_001283,Bella,Poisson,Guppy,3,5.79,mâle,Beige
ANI_001951,Bella,Cheval,Persan,7,0.5175,femelle,Gris
ANI_001524,Leo,Poisson,Scottish Fold,2,0.06,femelle,Tacheté
ANI_000917,Bella,Chat,Rex,0,0.75,mâle,Blanc
ANI_001093,Luna,Lapin,Berger Allemand,2,366.09749999999997,femelle,Roux
ANI_000710,Rainbow,Oiseau,Inséparable,3,39.135,mâle,Blanc
ANI_001689,Bugs,Chien,Angora,12,1098.3899999999999,mâle,Roux
ANI_000314,Bella,Cheval,Persan,1,7.02,mâle,Blanc
ANI_001449,Lola,Lapin,Guppy,4,1.785,mâle,Beige
ANI_001776,Gizmo,Oiseau,Bengal,9,529.905,femelle,Beige
ANI_001192,Pegasus,Poisson,Mustang,3,0.5249999999999999,mâle,Beige
ANI_001050,Storm,Cheval,Perruche,5,311.0175,femelle,Tricolore
ANI_001073,Bella,Cheval,Canari,5,1016.1750000000001,mâle,Roux
ANI_000461,Bella,Cheval,Sphynx,4,0.015,femelle,Blanc
ANI_001834,Lola,Oiseau,Perruche,5,1.1099999999999999,mâle,Marron
ANI_001781,Buddy,Chat,Rottweiler,7,5.3175,femelle,Blanc
ANI_001527,Oscar,Poisson,Discus,4,0.255,femelle,Gris
ANI_000284,Phoenix,Oiseau,Betta,7,0.5925,femelle,Rayé
ANI_000909,Nemo,Chat,Betta,4,0.27,mâle,Blanc
ANI_000184,Marshmallow,Poisson,Cacatoès,1,0.315,mâle,Blanc
ANI_000526,Cottontail,Cheval,Appaloosa,4,1.0499999999999998,femelle,Roux
ANI_000665,Felix,Lapin,Discus,3,9.615,mâle,Roux
ANI_001423,Luna,Cheval,Percheron,10,10.26,mâle,Rayé
ANI_001515,Storm,Poisson,Quarter Horse,2,74.78999999999999,mâle,Beige
ANI_000349,Star,Lapin,Rex,2,0.375,femelle,Rayé
ANI_000273,Apollo,Oiseau,Guppy,11,4.2975,femelle,Marron
ANI_001238,Nemo,Poisson,Bélier,12,2.445,femelle,Blanc
ANI_001364,Spirit,Chien,Quarter Horse,5,0.5549999999999999,mâle,Noir
ANI_001501,Bubbles,Poisson,Inséparable,1,11.175,mâle,Noir
ANI_001718,Tigrou,Chien,Betta,0,33.974999999999994,mâle,Rayé
ANI_001229,Oreo,Cheval,Mustang,3,0.41250000000000003,femelle,Noir
ANI_001300,Cotton,Lapin,Maine Coon,5,29.355,mâle,Beige
ANI_000508,Leo,Cheval,Maine Coon,3,0.99,femelle,Blanc
ANI_001109,Buddy,Lapin,Rex,1,7.9350000000000005,mâle,Blanc
ANI_001372,Blaze,Oiseau,Scottish Fold,11,4.455,femelle,Tacheté
ANI_000098,Buddy,Cheval,Husky,13,788.76,mâle,Blanc
ANI_001634,Luna,Poisson,Cacatoès,2,0.5249999999999999,mâle,Tacheté
ANI_000953,Stella,Poisson,Maine Coon,0,25.214999999999996,mâle,Noir
ANI_001985,Finn,Lapin,Betta,2,1084.77,mâle,Gris
ANI_000105,Oliver,Poisson,Maine Coon,5,20.91,femelle,Roux
ANI_000624,Bella,Cheval,Calopsitte,4,1.5750000000000002,mâle,Rayé
ANI_000002,Thunder,Cheval,Géant des Flandres,3,5.3100000000000005,mâle,Blanc
ANI_000504,Rex,Cheval,Perroquet Ara,15,0.8250000000000001,mâle,Tricolore
ANI_000264,Leo,Poisson,Néon,-1,866.0699999999999,mâle,Roux
ANI_001086,Sky,Lapin,Bélier,0,43.56,mâle,Rayé
ANI_000135,Shadow,Poisson,Discus,20,0.51,mâle,Beige
ANI_000478,Luna,Oiseau,Nain,5,0.585,mâle,Noir
ANI_001152,Luna,Chien,Ragdoll,1,0.0825,femelle,Tacheté
ANI_000773,Oscar,Poisson,British Shorthair,4,5.1975,femelle,Tricolore
ANI_001153,Maximus,Chien,Chartreux,4,5.4975000000000005,femelle,Beige
ANI_000808,Shadow,Cheval,Bengal,6,858.21,mâle,Tacheté
ANI_001552,Minou,Chien,Chartreux,1,731.4749999999999,mâle,Marron
ANI_000445,Cottontail,Lapin,Rex,0,4.0649999999999995,femelle,Tricolore
ANI_000154,Nemo,Poisson,Persan,0,4.125,mâle,Marron
ANI_000295,Sky,Chat,Angora,5,12.877500000000001,femelle,Noir
ANI_001892,Honey,Oiseau,Bélier,9,1.6500000000000001,mâle,Roux
ANI_000428,Tigrou,Poisson,Maine Coon,4,24.472500000000004,femelle,Blanc
ANI_001290,Zeus,Lapin,Poisson Rouge,4,0.78,mâle,Tacheté
ANI_000482,Buddy,Chien,Guppy,4,69.225,mâle,Gris
ANI_001644,Bella,Poisson,Calopsitte,3,0.15000000000000002,femelle,Blanc
ANI_001108,Kiwi,Poisson,Rottweiler,1,6.195,mâle,Noir
ANI_000406,Flash,Chat,Discus,4,329.745,femelle,Blanc
ANI_000738,Mango,Cheval,Appaloosa,1,574.365,femelle,Tricolore
ANI_001786,Honey,Chien,Andalou,10,4.29,mâle,Tacheté
ANI_001400,Sunny,Poisson,Chartreux,2,0.195,mâle,Beige
ANI_001583,Clover,Poisson,Carpe Koï,1,6.959999999999999,mâle,Marron
ANI_000483,Lucy,Lapin,Persan,6,4.095,femelle,Gris
ANI_001591,Apollo,Chien,Perruche,16,32.2425,femelle,Blanc
ANI_001751,Fluffy,Lapin,Bélier,2,0.23249999999999998,femelle,Rayé
ANI_000547,Sunny,Cheval,Appaloosa,4,5.1899999999999995,femelle,Tacheté
ANI_000643,Tigrou,Lapin,Boxer,6,8.61,mâle,Roux
ANI_001604,Felix,Chien,Inséparable,8,731.4749999999999,mâle,Gris
ANI_000754,Leo,Chien,Discus,5,0.63,mâle,Roux
ANI_001010,Mango,Cheval,Guppy,3,5.865,mâle,Blanc
ANI_000996,Cleo,Oiseau,Scottish Fold,11,17.145,mâle,Tacheté
ANI_001984,Pegasus,Poisson,Scottish Fold,6,17.535,femelle,Roux
ANI_001763,Whiskers,Cheval,Scottish Fold,2,5.505,mâle,Marron
ANI_001800,Nala,Chien,Géant des Flandres,3,1.6350000000000002,femelle,Roux
ANI_001745,Bella,Cheval,Rex,6,0.195,mâle,Blanc
ANI_000529,Oreo,Oiseau,Guppy,9,4.485,femelle,Roux
ANI_000626,Luna,Oiseau,Pur-sang Arabe,4,8.73,mâle,Tricolore
ANI_000625,Nala,Chien,Géant des Flandres,3,338.415,femelle,Rayé
ANI_001515,Sunny,Chien,Andalou,3,9.885,mâle,Roux
ANI_001622,Nemo,Chien,Angora,6,7.14,mâle,Tricolore
