id,nom,espece,race,age,poids,sexe,couleur_pelage
ANI_000976,Bella,Cheval,Calopsitte,3,688.45,Femelle,Blanc
ANI_001281,Simba,Oiseau,Géant des Flandres,5,3.19,Femelle,Gris
ANI_001434,Gizmo,Lapin,Rex,1,4.37,Mâle,Marron
ANI_001490,Bugs,Poisson,Poisson Rouge,3,33.58,Mâle,Beige
ANI_000299,Shadow,Cheval,Andalou,3,0.42,Femelle,Tacheté
ANI_001490,Felix,Poisson,Néon,1,657.12,Mâle,Tacheté
ANI_000868,Tweety,Cheval,Ragdoll,6,4.23,Femelle,Roux
ANI_000528,Minou,Chat,Rex,3,7.64,Mâle,Noir
ANI_000822,Charlie,Chat,Frison,8,0.85,Femelle,Roux
ANI_000749,Cleo,Cheval,Mustang,9,497.6,Femelle,Rayé
ANI_001434,Clover,Poisson,Poisson Rouge,6,0.21,Mâle,Beige
ANI_001596,Thor,Chien,Berger Allemand,2,20.35,Mâle,Roux
ANI_000763,Nemo,Chat,Inséparable,5,472.75,Femelle,Rayé
ANI_001247,Cleo,Chat,Mustang,20,7.64,Femelle,Tricolore
ANI_001208,Oreo,Chat,Yorkshire,10,1.16,Mâle,Roux
ANI_001800,Rex,Oiseau,Maine Coon,4,0.47,Mâle,Marron
ANI_000266,Kiwi,Cheval,Quarter Horse,1,3.33,Mâle,Marron
ANI_000409,Bella,Lapin,Scottish Fold,9,2.06,Femelle,Roux
ANI_001207,Rocky,Chat,Betta,3,1.39,Mâle,Marron
ANI_001287,Lucy,Chien,Maine Coon,2,0.85,Femelle,Roux
ANI_001474,Ruby,Chien,Discus,11,0.3,Mâle,Marron
ANI_000479,Luna,Cheval,Sphynx,7,6.21,Femelle,Tacheté
ANI_000158,Bella,Cheval,Shetland,5,1.11,Femelle,Roux
ANI_000413,Nemo,Chat,British Shorthair,1,47.78,Femelle,Blanc
ANI_000335,Bella,Poisson,Scottish Fold,2,5.82,Femelle,Noir
ANI_000210,Bella,Chat,Géant des Flandres,1,1.93,Mâle,Blanc
ANI_001627,Minou,Cheval,Quarter Horse,6,0.43,Mâle,Gris
ANI_001376,Peter,Cheval,Bélier,3,624.77,Femelle,Beige
ANI_001856,Snowball,Chien,Betta,4,0.13,Mâle,Blanc
ANI_001376,Max,Cheval,Bengal,0,0.72,Mâle,Roux
ANI_001298,Charlie,Poisson,Guppy,1,35.61,Femelle,Roux
ANI_000046,Angel,Chien,Néon,5,3.37,Mâle,Roux
ANI_000112,Bubbles,Poisson,Calopsitte,0,3.63,Mâle,Tricolore
ANI_000332,Peter,Lapin,Discus,0,7.81,Mâle,Rayé
ANI_001394,Minou,Chat,Bengal,1,0.07,Femelle,Blanc
ANI_000853,Mittens,Chien,Scottish Fold,4,1.05,Femelle,Roux
ANI_001713,Blue,Chien,Beagle,2,1.52,Mâle,Tricolore
ANI_001893,Coco,Cheval,Persan,4,3.8,Mâle,Roux
ANI_001880,Pegasus,Oiseau,Rottweiler,4,558.53,Mâle,Blanc
ANI_000653,Maya,Cheval,Shetland,4,32.61,Femelle,Marron
ANI_001331,Blue,Chien,Appaloosa,3,0.96,Mâle,Roux
ANI_002000,Bella,Chien,Inséparable,4,572.34,Femelle,Blanc
ANI_001557,Bella,Cheval,Mustang,4,22.91,Mâle,Beige
ANI_001247,Cotton,Poisson,Poisson Rouge,4,3.72,Mâle,Marron
ANI_000338,Lola,Oiseau,Guppy,13,5.4,Femelle,Rayé
ANI_001535,Minou,Cheval,Rottweiler,10,0.19,Mâle,Tricolore
ANI_001305,Lucy,Poisson,Européen,4,757.59,Mâle,Beige
ANI_001603,Star,Lapin,Mustang,3,21.14,Femelle,Blanc
ANI_000908,Clover,Poisson,Inséparable,3,454.82,Mâle,Marron
ANI_000815,Cottontail,Cheval,Boxer,4,24.8,Mâle,Roux
ANI_000617,Marshmallow,Poisson,Shetland,8,691.51,Mâle,Beige
ANI_001734,Milo,Cheval,Nain,3,4.15,Mâle,Rayé
ANI_001166,Luna,Chien,Beagle,8,22.86,Mâle,Rayé
ANI_000050,Shadow,Cheval,Géant des Flandres,3,3.01,Mâle,Blanc
ANI_001011,Blue,Chat,Carpe Koï,2,608.18,Femelle,Blanc
