id,athlete,sport,pays,resultat,date
id_00000351,Giannis Antetokounmpo,Athlétisme,Allemagne,Défaite,2020-04-06
id_00000998,Hakim Ziyech,Rugby,USA,Victoire,2021-02-10
id_00000667,Usain Bolt,Athlétisme,USA,Victoire,2023-03-27
id_00000434,Stephen Curry,Athlétisme,Allemagne,Nul,2023-08-22
id_00000448,Usain Bolt,Football,Maroc,Nul,2022-07-03
id_00000754,Novak Djokovic,Football,Nouvelle-Zélande,Victoire,2021-11-03
id_00000567,Hakim Ziyech,Rugby,USA,Victoire,2022-01-22
id_00000074,Mohamed Salah,Athlétisme,Angleterre,Nul,2021-05-31
id_00000383,Erling Haaland,Football,Angleterre,Victoire,2021-05-09
id_00000528,Stephen Curry,Basketball,USA,Défaite,2021-04-05
id_00000860,Hakim Ziyech,Football,Maroc,Nul,2022-07-07
id_00000232,Iga Świątek,Tennis,USA,Victoire,2020-08-10
id_00000546,Carlos Alcaraz,Tennis,USA,Victoire,2021-10-02
id_00000315,Achraf Hakimi,Tennis,Nouvelle-Zélande,Défaite,2020-06-25
id_00000433,Faith Kipyegon,Athlétisme,Angleterre,Défaite,2020-12-20
id_00000542,Carlos Alcaraz,Football,USA,Victoire,2021-08-12
id_00000417,Kylian Mbappé,Basketball,Espagne,Victoire,2021-05-29
id_00000494,Achraf Hakimi,Football,Allemagne,Défaite,2021-08-08
id_00000029,Erling Haaland,Tennis,Nouvelle-Zélande,Défaite,2021-02-05
id_00000993,Kylian Mbappé,Football,Angleterre,Nul,2021-08-13
id_00000096,Mohamed Salah,Football,Angleterre,Défaite,2021-06-25
id_00000586,Novak Djokovic,Tennis,Espagne,Défaite,2023-04-26
id_00000720,Mohamed Salah,Tennis,France,Défaite,2021-05-05
id_00000113,Erling Haaland,Basketball,USA,Défaite,2021-11-10
id_00000560,Carlos Alcaraz,Tennis,USA,Victoire,2023-11-05
id_00000325,Erling Haaland,Football,Espagne,Nul,2021-01-03
id_00000227,Giannis Antetokounmpo,Basketball,Espagne,Défaite,2023-08-23
id_00000930,LeBron James,Tennis,France,Victoire,2020-04-01
id_00000533,Antoine Dupont,Tennis,Angleterre,Nul,2023-05-15
id_00000908,Mohamed Salah,Tennis,USA,Nul,2021-03-18
id_00000646,Kevin Durant,Athlétisme,Maroc,Défaite,2020-07-11
id_00000568,LeBron James,Basketball,USA,Défaite,2022-02-26
id_00000721,Erling Haaland,Athlétisme,Espagne,Victoire,2021-03-18
id_00000314,Kylian Mbappé,Football,Maroc,Nul,2023-01-30
id_00000705,Antoine Dupont,Rugby,USA,Défaite,2023-11-23
id_00000372,Kevin Durant,Tennis,USA,Défaite,2023-07-12
id_00000963,LeBron James,Tennis,Afrique du Sud,Victoire,2021-04-08
id_00000168,Mohamed Salah,Rugby,Afrique du Sud,Victoire,2022-09-25
id_00000462,Achraf Hakimi,Football,Espagne,Nul,2020-08-18
id_00000025,Antoine Dupont,Rugby,USA,Victoire,2020-06-20
id_00000746,Mohamed Salah,Tennis,France,Défaite,2022-08-27
id_00000087,Kylian Mbappé,Rugby,Espagne,Victoire,2023-01-18
id_00000199,Kevin Durant,Football,Espagne,Nul,2020-05-03
id_00000619,Usain Bolt,Tennis,USA,Victoire,2020-06-08
id_00000055,Faith Kipyegon,Athlétisme,Nouvelle-Zélande,Défaite,2020-05-08
id_00000844,Achraf Hakimi,Tennis,USA,Défaite,2023-08-01
id_00000155,Kevin Durant,Football,USA,Victoire,2022-11-25
id_00000068,Mohamed Salah,Football,France,Nul,2021-08-01
id_00000396,Iga Świątek,Athlétisme,Afrique du Sud,Défaite,2021-06-26
id_00000442,Mohamed Salah,Basketball,USA,Victoire,2020-07-30
id_00000571,Giannis Antetokounmpo,Basketball,Espagne,Nul,2023-06-06
id_00000874,Cheslin Kolbe,Rugby,France,Victoire,2023-06-09
id_00000281,Kevin Durant,Athlétisme,France,Défaite,2022-10-06
id_00000122,Hakim Ziyech,Football,USA,Défaite,2022-09-14
id_00000321,Beauden Barrett,Tennis,USA,Victoire,2023-05-24
id_00000826,Achraf Hakimi,Football,Allemagne,Nul,2020-08-19
id_00000594,Mondo Duplantis,Tennis,USA,Défaite,2023-04-21
id_00000350,Antoine Dupont,Football,Espagne,Nul,2022-06-28
id_00000396,LeBron James,Tennis,Espagne,Victoire,2022-08-16
id_00000793,LeBron James,Rugby,Afrique du Sud,Défaite,2020-08-17
id_00000492,Antoine Dupont,Tennis,France,Défaite,2023-11-16
id_00000588,Mohamed Salah,Basketball,USA,Victoire,2022-10-27
id_00000708,Hakim Ziyech,Football,USA,Défaite,2020-12-18
id_00000306,Cheslin Kolbe,Tennis,Allemagne,Nul,2020-01-19
id_00000535,LeBron James,Rugby,Angleterre,Victoire,2023-08-02
id_00000824,Cheslin Kolbe,Rugby,USA,Victoire,2020-10-02
id_00000809,Eliud Kipchoge,Basketball,Afrique du Sud,Défaite,2021-07-24
id_00000101,LeBron James,Basketball,USA,Défaite,2023-03-22
id_00000451,LeBron James,Athlétisme,Afrique du Sud,Nul,2021-05-22
id_00000859,Kylian Mbappé,Football,Espagne,Victoire,2020-03-16
id_00000930,LeBron James,Tennis,Allemagne,Défaite,2022-02-01
id_00000703,LeBron James,Rugby,USA,Victoire,2022-08-26
id_00000403,Mohamed Salah,Basketball,USA,Victoire,2022-10-08
id_00000376,Achraf Hakimi,Athlétisme,USA,Défaite,2021-06-27
id_00000513,Kylian Mbappé,Tennis,Espagne,Nul,2023-10-01
id_00000281,Hakim Ziyech,Rugby,USA,Défaite,2021-08-31
id_00000301,Hakim Ziyech,Tennis,USA,Défaite,2020-01-04
id_00000104,Mohamed Salah,Tennis,France,Défaite,2023-10-05
id_00000775,Cheslin Kolbe,Tennis,USA,Défaite,2022-08-15
id_00000763,Giannis Antetokounmpo,Athlétisme,USA,Défaite,2020-12-25
id_00000278,Antoine Dupont,Tennis,Espagne,Nul,2022-03-01
id_00000574,Hakim Ziyech,Tennis,Afrique du Sud,Nul,2020-08-13
id_00000634,LeBron James,Football,USA,Victoire,2023-07-24
id_00000282,Carlos Alcaraz,Tennis,Afrique du Sud,Défaite,2022-07-03
id_00000457,Mondo Duplantis,Tennis,USA,Défaite,2022-04-05
id_00000750,Stephen Curry,Football,France,Défaite,2020-12-08
id_00000653,Mondo Duplantis,Tennis,Nouvelle-Zélande,Défaite,2022-05-19
id_00000551,Novak Djokovic,Athlétisme,Nouvelle-Zélande,Défaite,2020-01-02
id_00000892,Mohamed Salah,Tennis,USA,Défaite,2023-07-29
id_00000110,Novak Djokovic,Football,Espagne,Nul,2021-05-21
id_00000913,Stephen Curry,Basketball,USA,Défaite,2023-02-10
id_00000483,Beauden Barrett,Tennis,USA,Victoire,2021-09-27
id_00000414,Hakim Ziyech,Football,Maroc,Nul,2021-10-11
id_00000092,Carlos Alcaraz,Tennis,France,Victoire,2021-10-31
id_00000076,Kevin Durant,Athlétisme,USA,Défaite,2022-09-18
id_00000723,Carlos Alcaraz,Tennis,Nouvelle-Zélande,Défaite,2023-06-21
id_00000303,Mohamed Salah,Athlétisme,France,Nul,2021-10-17
id_00000519,Antoine Dupont,Athlétisme,USA,Victoire,2021-08-21
id_00000801,Beauden Barrett,Athlétisme,Angleterre,Défaite,2020-04-09
id_00000567,Cheslin Kolbe,Basketball,USA,Défaite,2023-03-22
id_00000665,LeBron James,Football,USA,Nul,2020-08-08
id_00000933,Cheslin Kolbe,Tennis,USA,Victoire,2023-05-06
id_00000913,Kevin Durant,Football,Angleterre,Défaite,2023-01-27
id_00000472,Eliud Kipchoge,Basketball,USA,Défaite,2021-07-11
id_00000595,Cheslin Kolbe,Tennis,Angleterre,Victoire,2022-10-23
id_00000904,Cheslin Kolbe,Tennis,Allemagne,Défaite,2020-11-15
id_00000084,LeBron James,Tennis,USA,Victoire,2022-11-20
id_00000314,Cheslin Kolbe,Basketball,Espagne,Défaite,2020-06-23
id_00000596,Stephen Curry,Football,France,Nul,2021-05-19
id_00000613,Kylian Mbappé,Tennis,USA,Défaite,2023-03-06
id_00000437,Beauden Barrett,Football,Espagne,Nul,2021-08-21
id_00000802,Hakim Ziyech,Tennis,Angleterre,Victoire,2021-06-28
id_00000093,LeBron James,Football,Nouvelle-Zélande,Nul,2021-12-01
id_00000110,Hakim Ziyech,Basketball,USA,Défaite,2023-02-11
id_00000044,Giannis Antetokounmpo,Football,USA,Défaite,2023-06-15
id_00000913,Antoine Dupont,Tennis,USA,Victoire,2021-03-08
id_00000155,Kevin Durant,Rugby,Espagne,Victoire,2023-10-09
id_00000306,Erling Haaland,Tennis,Espagne,Défaite,2023-09-13
id_00000636,Erling Haaland,Football,Espagne,Victoire,2022-01-02
id_00000180,Beauden Barrett,Football,France,Défaite,2021-06-11
id_00000667,Cheslin Kolbe,Tennis,Nouvelle-Zélande,Nul,2021-06-09
id_00000217,Achraf Hakimi,Rugby,USA,Défaite,2022-09-21
id_00000512,Carlos Alcaraz,Tennis,Nouvelle-Zélande,Défaite,2022-06-24
id_00000357,Cheslin Kolbe,Football,Nouvelle-Zélande,Victoire,2022-09-11
