id,athlete,sport,pays,resultat,date
id_00000572,Kylian Mbappé,Tennis,Maroc,Nul,2021-12-06
id_00000631,Erling Haaland,Football,USA,Nul,2022-02-26
id_00000265,Achraf Hakimi,Tennis,USA,Victoire,2020-02-27
id_00000720,Kylian Mbappé,Football,Espagne,Défaite,2023-06-28
id_00000041,Antoine Dupont,Tennis,France,Défaite,2022-11-16
id_00000804,Achraf Hakimi,Tennis,Espagne,Défaite,2020-03-19
id_00000069,Eliud Kipchoge,Tennis,Afrique du Sud,Victoire,2021-01-14
id_00000325,Cheslin Kolbe,Football,Afrique du Sud,Défaite,2022-10-10
id_00000916,Beauden Barrett,Athlétisme,USA,Défaite,2022-03-18
id_00000961,Carlos Alcaraz,Tennis,Angleterre,Nul,2023-05-29
id_00000871,Carlos Alcaraz,Tennis,Espagne,Victoire,2020-03-05
id_00000815,Mohamed Salah,Football,Espagne,Victoire,2023-02-03
id_00000088,Stephen Curry,Rugby,USA,Défaite,2020-06-14
id_00000349,Aryna Sabalenka,Football,Espagne,Nul,2020-10-08
id_00000355,Achraf Hakimi,Tennis,Espagne,Victoire,2021-07-22
id_00000547,Achraf Hakimi,Tennis,USA,Victoire,2021-09-07
id_00000479,Stephen Curry,Rugby,USA,Victoire,2022-11-03
id_00000804,Hakim Ziyech,Football,Allemagne,Défaite,2020-05-26
id_00000957,Achraf Hakimi,Tennis,Allemagne,Nul,2021-05-16
id_00000303,LeBron James,Tennis,USA,Nul,2022-06-22
id_00000763,Novak Djokovic,Basketball,USA,Nul,2021-06-18
id_00000126,Carlos Alcaraz,Tennis,USA,Victoire,2021-02-16
id_00000169,Kevin Durant,Tennis,USA,Victoire,2023-08-20
id_00000595,Achraf Hakimi,Football,Espagne,Nul,2020-06-08
id_00000786,Novak Djokovic,Football,Angleterre,Victoire,2021-01-16
id_00000122,Achraf Hakimi,Football,Espagne,Nul,2021-04-08
id_00000504,Stephen Curry,Tennis,Espagne,Défaite,2021-09-19
id_00000924,Stephen Curry,Rugby,Nouvelle-Zélande,Victoire,2021-12-24
id_00000278,Mondo Duplantis,Tennis,Espagne,Défaite,2023-06-16
id_00000384,Giannis Antetokounmpo,Football,USA,Victoire,2021-03-13
id_00000721,Erling Haaland,Basketball,Espagne,Victoire,2022-02-04
id_00000543,Mohamed Salah,Rugby,Espagne,Victoire,2021-06-12
id_00000867,Antoine Dupont,Tennis,France,Défaite,2021-06-05
id_00000816,Kylian Mbappé,Tennis,USA,Victoire,2020-03-12
id_00000681,Hakim Ziyech,Football,Nouvelle-Zélande,Nul,2023-05-03
id_00000516,LeBron James,Football,USA,Défaite,2022-12-22
id_00000265,LeBron James,Basketball,Espagne,Défaite,2022-05-02
id_00000987,Cheslin Kolbe,Basketball,Maroc,Défaite,2023-04-20
id_00000340,Iga Świątek,Tennis,Maroc,Victoire,2022-04-21
id_00000972,Antoine Dupont,Football,USA,Victoire,2022-11-02
id_00000920,Hakim Ziyech,Tennis,Angleterre,Victoire,2022-03-18
id_00000731,Mohamed Salah,Basketball,Espagne,Victoire,2022-03-13
id_00000469,Kevin Durant,Football,USA,Victoire,2022-03-31
id_00000075,Hakim Ziyech,Tennis,Angleterre,Nul,2020-01-06
id_00000046,Carlos Alcaraz,Rugby,Afrique du Sud,Défaite,2021-10-18
id_00000889,Achraf Hakimi,Tennis,France,Victoire,2020-03-12
id_00000246,LeBron James,Rugby,USA,Victoire,2020-08-25
id_00000390,Stephen Curry,Rugby,Angleterre,Victoire,2023-10-28
id_00000996,Novak Djokovic,Basketball,Nouvelle-Zélande,Nul,2021-04-19
id_00000296,Aryna Sabalenka,Football,Espagne,Victoire,2022-11-04
id_00000504,Erling Haaland,Football,Espagne,Défaite,2021-12-26
id_00000611,Novak Djokovic,Tennis,France,Victoire,2021-05-16
id_00000967,Stephen Curry,Tennis,USA,Victoire,2023-03-23
id_00000905,Antoine Dupont,Basketball,Espagne,Victoire,2023-03-24
id_00000258,Achraf Hakimi,Football,USA,Défaite,2021-07-31
id_00000677,Antoine Dupont,Tennis,Nouvelle-Zélande,Victoire,2023-04-28
id_00000384,Eliud Kipchoge,Basketball,Angleterre,Défaite,2021-07-12
id_00000677,Stephen Curry,Athlétisme,Espagne,Défaite,2020-10-09
id_00000184,Kylian Mbappé,Athlétisme,Espagne,Défaite,2020-11-03
id_00000500,Giannis Antetokounmpo,Tennis,USA,Défaite,2023-03-16
id_00000021,Antoine Dupont,Football,Allemagne,Nul,2020-08-21
id_00000325,Giannis Antetokounmpo,Tennis,USA,Nul,2021-12-21
id_00000309,Novak Djokovic,Tennis,France,Victoire,2022-07-07
id_00000338,LeBron James,Tennis,USA,Défaite,2021-11-19
id_00000793,Novak Djokovic,Athlétisme,USA,Défaite,2023-08-24
id_00000250,Cheslin Kolbe,Rugby,Nouvelle-Zélande,Victoire,2022-12-21
id_00000944,Novak Djokovic,Football,USA,Victoire,2020-04-03
id_00000279,Hakim Ziyech,Football,USA,Défaite,2020-11-04
id_00000399,LeBron James,Football,USA,Défaite,2023-02-06
id_00000923,Aryna Sabalenka,Football,Allemagne,Victoire,2022-11-24
