id,type_vehicule,marque_voiture,modele,annee_fabrication,prix,kilometrage
VEH_000802,Bus,Mercedes,777,1970-01-01 00:00:00.000002022,-3472938,38009
VEH_000223,Moto,Alstom,Interlink,1970-01-01 00:00:00.000002023,-785414,192103
VEH_000435,Bus,Volvo,9700,1970-01-01 00:00:00.000002023,4627235,106141
VEH_000930,Bus,Mercedes,7900,1970-01-01 00:00:00.000002024,-1499186,168475
VEH_000341,Moto,Iveco,Captur,1970-01-01 00:00:00.000002024,6748849,62581
VEH_000014,Avion,Audi,Monster,1970-01-01 00:00:00.000002025,-1666461,151600
VEH_000187,Camion,BMW,A4,1970-01-01 00:00:00.000002025,96485,24564
VEH_000376,Train,Peugeot,Urbanway,1970-01-01 00:00:00.000002024,-531911,67938
VEH_000172,Voiture,Suzuki,FH,1970-01-01 00:00:00.000002024,2400657,19433
VEH_000897,Train,Volkswagen,Classe C,1970-01-01 00:00:00.000002022,830858,-7701
VEH_000505,Bus,Scania,Q5,1970-01-01 00:00:00.000002025,1950813,39360
VEH_000612,Moto,Scania,Talent,1970-01-01 00:00:00.000002023,3307409,135083
VEH_000897,Train,Boeing,Z900,1970-01-01 00:00:00.000002024,4119418,50600
VEH_000676,Camion,Alstom,Urbanway,1970-01-01 00:00:00.000002025,-1423423,133460
VEH_000921,Voiture,Boeing,CRJ1000,1970-01-01 00:00:00.000002023,-1713340,-9110
VEH_000174,Bus,CAF,FMX,1970-01-01 00:00:00.000002022,-2246955,-5357
VEH_000542,Bus,BMW,Atego,1970-01-01 00:00:00.000002022,576529,30159
VEH_000111,Train,Boeing,Duster,1970-01-01 00:00:00.000002023,-337259,15621
VEH_000728,Train,Scania,9900,1970-01-01 00:00:00.000002023,259709753,158606
VEH_000529,Bus,Audi,Land Cruiser,1970-01-01 00:00:00.000002025,703904,37947
VEH_000380,Moto,Renault,TMAX,1970-01-01 00:00:00.000002024,79854161,15920
VEH_000268,Moto,Dacia,Corolla,1970-01-01 00:00:00.000002023,-4454219,36645
VEH_000643,Voiture,Suzuki,208,1970-01-01 00:00:00.000002026,-4764251,55225
VEH_000320,Voiture,Honda,Land Cruiser,1970-01-01 00:00:00.000002024,566007,118503
VEH_000009,Moto,Bombardier,Polo,1970-01-01 00:00:00.000002023,150528264,18532
VEH_000999,Avion,Siemens,Ninja 650,1970-01-01 00:00:00.000002024,31586564,189357
VEH_000038,Moto,Dacia,737,1970-01-01 00:00:00.000002022,277340841,129833
VEH_000818,Camion,Volvo,FMX,1970-01-01 00:00:00.000002023,-493851,171567
VEH_000623,Train,BMW,E190,1970-01-01 00:00:00.000002024,-1837209,-1220
VEH_000821,Voiture,Bombardier,308,1970-01-01 00:00:00.000002023,-25195,112595
VEH_000258,Avion,Bombardier,Corolla,1970-01-01 00:00:00.000002025,-4364319,116
VEH_000223,Bus,Airbus,e-tron,1970-01-01 00:00:00.000002022,593626,37245
VEH_000531,Camion,Audi,3008,1970-01-01 00:00:00.000002024,2234134,13916
VEH_000754,Train,Siemens,Stralis,1970-01-01 00:00:00.000002022,1935460,50109
VEH_000620,Camion,BMW,Classe C,1970-01-01 00:00:00.000002022,2841803,47641
VEH_000949,Camion,Peugeot,CRJ1000,1970-01-01 00:00:00.000002023,8873734,64144
VEH_000134,Camion,Volvo,E175,1970-01-01 00:00:00.000002024,27940715,99470
VEH_000543,Moto,Iveco,Captur,1970-01-01 00:00:00.000002024,20545426,42644
VEH_000568,Moto,Iveco,Q3,1970-01-01 00:00:00.000002023,-4460352,46586
VEH_000127,Voiture,CAF,Daily,1970-01-01 00:00:00.000002025,-497372,268780
VEH_000432,Moto,Audi,Tiguan,1970-01-01 00:00:00.000002025,-4666507,41742
VEH_000654,Camion,Bombardier,Stralis,1970-01-01 00:00:00.000002022,2288237,42195
VEH_000736,Bus,Honda,Golf,1970-01-01 00:00:00.000002024,-793195,21158
VEH_000723,Bus,Embraer,7900,1970-01-01 00:00:00.000002022,-2641830,35246
VEH_000714,Moto,Siemens,Burgman,1970-01-01 00:00:00.000002023,-6153634,81067
VEH_000654,Bus,Iveco,GSX-R,1970-01-01 00:00:00.000002024,-1496484,20249
VEH_000161,Voiture,Mercedes,FMX,1970-01-01 00:00:00.000002023,-1079190,29280
