id,type_vehicule,marque_voiture,modele,annee_fabrication,prix,kilometrage
VEH_000922,Avion,Dacia,CB 500,2023,52108462,215419
VEH_000079,Train,Embraer,Africa Twin,2021,19573838,2528
VEH_000860,Moto,MAN,Panigale,2022,134752459,20893
VEH_000947,Train,Siemens,FMX,2021,-895120,18657
VEH_000343,Camion,Airbus,Classe A,2025,1066945,186063
VEH_000237,Avion,Toyota,FM,2022,-2865122,81205
VEH_000498,Camion,BMW,GLE,2016,1553293,57880
VEH_000380,Train,MAN,AGV,2022,-1193568,261652
VEH_000465,Moto,Siemens,Talent,2013,2027905,-4687
VEH_000139,Moto,Scania,Golf,2025,-5806619,24382
VEH_000622,Avion,BMW,Z900,2020,11354714,91111
VEH_000452,Moto,Kawasaki,9700,2019,3938108,109469
VEH_000354,Moto,Siemens,Atego,2019,3217912,-16322
VEH_000002,Moto,Yamaha,P Series,2025,-4119082,11164
VEH_000177,Voiture,BMW,PCX,2025,-434552,29041
VEH_000840,Train,Iveco,777,2018,-5082681,89642
VEH_000304,Bus,Scania,Crossway,2021,7934743,4607
VEH_000019,Avion,Bombardier,R Series,2026,176831236,22004
VEH_000361,Bus,Volvo,A330,2024,16774974,11821
VEH_000856,Voiture,Yamaha,TMAX,2026,882700,139996
VEH_000209,Train,Alstom,Eurocargo,2022,-2494954,125891
VEH_000630,Moto,Mercedes,FH,2023,-4162695,-7411
VEH_000444,Voiture,Bombardier,Lion's City,2020,1074218,24725
VEH_000352,Avion,Dacia,Actros,2023,30618856,55134
VEH_000255,Bus,Siemens,Camry,2017,2424975,37817
VEH_000327,Voiture,Toyota,Ninja 650,2018,-3305801,43656
VEH_000652,Moto,Audi,Lion's City,2020,211337,152583
VEH_000453,Avion,Audi,Velaro,2023,219672035,45012
VEH_000008,Voiture,BMW,E190,2024,97913,182631
VEH_000104,Moto,Iveco,Tiguan,2026,-2246116,99203
VEH_000205,Camion,BMW,P Series,2022,881025,19620
VEH_000438,Moto,Yamaha,E195,2023,2306611,134549
VEH_000351,Train,Volkswagen,Q3,2013,57052219,311750
VEH_000111,Bus,Mercedes,9700,2018,-676940,10758
VEH_000647,Bus,Scania,Evadys,2022,2374772,50273
VEH_000912,Camion,Embraer,Corolla,2022,100037,153029
VEH_000286,Moto,Kawasaki,Série 3,2022,985085,33199
VEH_000159,Train,MAN,T High,2021,80531585,158567
VEH_000570,Train,Siemens,9700,2018,11247129,17919
VEH_000096,Avion,Bombardier,RAV4,2023,152078819,136061
VEH_000348,Moto,Suzuki,R1,2021,2007314,141591
VEH_000016,Moto,Airbus,9700,2025,-31114,123892
VEH_000433,Moto,Airbus,208,2023,-4100080,66059
VEH_000925,Avion,Toyota,CRJ900,2011,52544335,205838
VEH_000635,Camion,Alstom,T-Roc,2026,-2970890,55559
VEH_000791,Voiture,Iveco,Atego,2023,10961042,129348
VEH_000959,Bus,Mercedes,TGL,2016,2138413,14252
VEH_000296,Bus,Iveco,CRJ900,2023,857510,143594
VEH_000928,Train,Boeing,3008,2014,1364585,128565
VEH_000193,Train,Airbus,CRJ1000,2025,2555372,57427
VEH_000948,Moto,Iveco,Lion's Coach,2018,-1892544,106172
VEH_000060,Moto,Ducati,Talent,2021,194176,32324
VEH_000067,Bus,Embraer,Actros,2013,3047598,34996
VEH_000078,Moto,Iveco,FMX,2023,-727269,65424
VEH_000728,Moto,Mercedes,Lion's City,2019,-1654769,65389
VEH_000152,Voiture,Embraer,A3,2018,-5652120,30947
VEH_000355,Moto,Suzuki,Touring,2022,-1342717,197307
VEH_000673,Train,Kawasaki,CRJ900,2019,1482604,60441
VEH_000734,Voiture,Mercedes,A3,2022,-2231770,171804
VEH_000741,Voiture,Scania,T High,2022,2471165,-689
VEH_000603,Train,Bombardier,Burgman,2022,138054323,111553
VEH_000757,Camion,Alstom,Velaro,2023,-2029528,32743
VEH_000629,Bus,Airbus,308,2025,-943466,39689
VEH_000459,Camion,Bombardier,5008,2023,1071432,108390
VEH_000961,Bus,MAN,Daily,2018,10912942,30766
VEH_000138,Moto,Dacia,F 850 GS,2018,83073869,30553
VEH_000644,Camion,BMW,YZF-R6,2022,-2265955,132835
VEH_000767,Train,MAN,Z900,2019,1464588,122252
VEH_000953,Train,MAN,CRJ1000,2024,3832336,251625
VEH_000133,Voiture,Alstom,Velaro,2024,583828,26825
VEH_000754,Train,Bombardier,A320,2022,62151090,266804
VEH_000635,Bus,Ducati,Talent,2020,-2018694,28700
VEH_000961,Moto,Mercedes,Panigale,2017,16250671,32432
VEH_000776,Camion,Bombardier,Interlink,2021,-1401424,145552
VEH_000053,Bus,MAN,Polo,2022,3569713,129890
VEH_000009,Train,Suzuki,Touring,2024,-3824118,61200
VEH_000448,Moto,Volvo,V-Strom,2025,-2413487,40684
VEH_000308,Camion,Airbus,Eurocargo,2023,2173371,147334
VEH_000721,Train,Volkswagen,Vectron,2025,-2700646,106686
VEH_000773,Moto,Peugeot,Burgman,2020,720121,160825
VEH_000171,Bus,Iveco,A350,2025,2133182,242136
VEH_000835,Camion,BMW,Desiro,2023,11563545,158953
VEH_000805,Camion,BMW,TGL,2023,312244,36381
VEH_000386,Camion,Suzuki,Touring,2023,241486008,57901
VEH_000472,Bus,Bombardier,E175,2019,-4936916,4964
VEH_000780,Voiture,Bombardier,Sprinter,2025,-1125996,20522
VEH_000561,Bus,Embraer,Captur,2023,-3796178,125829
VEH_000019,Bus,Airbus,Spring,2022,-1797729,115699
VEH_000545,Moto,Renault,Golf,2025,-4926276,221085
VEH_000747,Moto,MAN,A320,2021,1737659,56791
VEH_000081,Avion,Yamaha,Burgman,2024,1620626,139457
VEH_000129,Camion,Embraer,Desiro,2025,-838405,103115
VEH_000384,Bus,Boeing,Atego,2018,99198240,31733
VEH_000044,Camion,Airbus,Monster,2019,-478440,33871
VEH_000392,Avion,Dacia,E195,2018,804875,154227
VEH_000546,Train,Toyota,A350,2024,877542,187118
VEH_000045,Voiture,Audi,R Series,2015,-962197,44478
VEH_000687,Train,Audi,A320,2017,85309,118002
VEH_000819,Avion,Dacia,9900,2023,798433,70065
VEH_000235,Camion,Ducati,CRJ900,2013,3159463,147183
VEH_000697,Train,Volvo,Crossway,2023,-1142287,99258
VEH_000262,Train,Bombardier,Classe A,2024,350962895,105072
