id,type_vehicule,marque_voiture,modele,annee_fabrication,prix,kilometrage
VEH_000138,Moto,Ducati,777,2014,3839218,203427
VEH_000271,Train,Dacia,TGV,2023,-549422,35966
VEH_000064,Moto,Scania,Multistrada,2022,6203219,179429
VEH_000344,Avion,Suzuki,CRJ900,2018,-529871,104006
VEH_000066,Train,Boeing,Logan,2015,26267777,128070
VEH_000346,Bus,CAF,C,2024,-454724,32445
VEH_000439,Camion,Toyota,Classe A,2021,4547846,54538
VEH_000802,Avion,Volvo,TGL,2016,1245125,71485
VEH_000212,Train,Bombardier,Classe C,2019,3306917,45475
VEH_000373,Bus,Volvo,FM,2017,-2210150,170938
VEH_000747,Voiture,Mercedes,PCX,2017,-2222398,90887
VEH_000875,Moto,Bombardier,Lion's Coach,2024,4602416,39113
VEH_000760,Moto,Suzuki,Talent,2023,2720711,23973
VEH_000777,Voiture,Bombardier,GLA,2021,3282763,34368
VEH_000059,Voiture,Volkswagen,C,2023,8939886,38802
VEH_000409,Camion,Iveco,R1,2022,9031063,155876
VEH_000768,Train,Suzuki,A320,2013,3995069,119922
VEH_000284,Moto,Bombardier,Yaris,2017,2025719,8547
VEH_000123,Moto,Mercedes,Coradia,2020,-4383664,153024
VEH_000786,Camion,Bombardier,Coradia,2023,37455865,64401
VEH_000170,Moto,Ducati,Desiro,2021,111170253,39487
VEH_000306,Train,CAF,Vectron,2022,51576,51173
VEH_000623,Camion,Renault,Série 3,2024,44062298,32030
VEH_000504,Train,BMW,A350,2015,1433419,111329
VEH_000960,Voiture,Audi,Touring,2024,-3071784,4738
VEH_000224,Voiture,Airbus,R 1250 GS,2015,-105535,196923
VEH_000798,Avion,Toyota,Eurocargo,2011,3588634,97646
VEH_000367,Train,Mercedes,9700,2022,-2757423,175884
VEH_000724,Moto,Yamaha,9700,2021,-255963,128858
VEH_000075,Train,Scania,MT-07,2023,-1377313,107475
VEH_000556,Camion,Siemens,FMX,2025,94702428,111748
VEH_000058,Train,CAF,777,2021,7593316,107448
VEH_000092,Moto,MAN,E195,2018,-1124196,108626
VEH_000351,Camion,MAN,Logan,2023,61367881,86069
VEH_000771,Moto,Embraer,747,2018,218144527,159439
VEH_000898,Avion,Toyota,Velaro,2020,3087668,76700
VEH_000253,Bus,Airbus,Desiro,2022,-508761,134996
VEH_000776,Train,Siemens,Coradia,2024,3146544,49845
VEH_000838,Moto,Scania,3008,2024,33837496,67834
VEH_000804,Avion,BMW,X3,2018,-3332344,36471
VEH_000391,Train,CAF,Talent,2022,2466470,101582
VEH_000799,Train,Mercedes,737,2021,-755467,85239
VEH_000330,Bus,MAN,Q5,2025,151450029,119802
VEH_000413,Moto,Dacia,Citywide,2025,-4263471,159618
VEH_000720,Avion,Mercedes,Kadjar,2024,14426582,145725
VEH_000099,Voiture,BMW,Tiguan,2019,5443174,89640
VEH_000742,Train,Iveco,Duster,2024,1029999,36751
VEH_000491,Voiture,Yamaha,CBR 600,2023,-1648658,67668
VEH_000013,Bus,Iveco,5008,2023,-2569629,12990
VEH_000610,Train,Siemens,Zefiro,2022,19937800,74437
VEH_000362,Bus,Volvo,Multistrada,2016,-1651514,41649
VEH_000912,Avion,BMW,P Series,2022,369377,121477
VEH_000855,Train,Yamaha,Q3,2022,-2609580,48043
VEH_000164,Bus,Toyota,Classe A,2024,303617,47189
VEH_000125,Moto,Boeing,A330,2022,-5475233,119379
VEH_000936,Voiture,MAN,CB 500,2024,-3279112,189361
VEH_000628,Moto,Peugeot,Lion's City,2022,-1717895,100126
VEH_000144,Camion,Volvo,Monster,2018,242434344,136887
VEH_000080,Camion,Iveco,A320,2021,2332079,142211
VEH_000587,Moto,CAF,777,2025,85766,141303
VEH_000159,Bus,Mercedes,Lion's Coach,2023,-3314959,78812
VEH_000175,Avion,Toyota,i4,2026,-1411901,53017
VEH_000767,Train,Peugeot,Crossway,2013,220066381,-8190
VEH_000463,Moto,Mercedes,777,2023,-1740939,281750
VEH_000192,Bus,Iveco,Lion's City,2025,2274359,149443
VEH_000157,Bus,BMW,Interlink,2022,73023662,72425
VEH_000556,Voiture,MAN,Lion's City,2023,-2379757,128054
VEH_000803,Camion,Mercedes,A350,2026,-710264,160092
VEH_000619,Voiture,Audi,Sandero,2022,93185,24626
VEH_000021,Bus,Mercedes,Q5,2025,-3738840,-30755
VEH_000809,Moto,MAN,CRJ900,2017,28986384,34258
VEH_000319,Moto,Embraer,CB 500,2022,-1427983,103705
VEH_000930,Train,Peugeot,9900,2017,133582,136631
VEH_000759,Voiture,Iveco,TGS,2023,1010537,43738
VEH_000844,Avion,Volvo,Velaro,2020,-2658524,49809
VEH_000196,Voiture,Alstom,E195,2016,799844,55006
VEH_000235,Bus,Mercedes,K,2024,8701888,222646
VEH_000944,Camion,BMW,C,2017,-761318,120663
VEH_000901,Train,Yamaha,Panigale,2017,1480288,32754
VEH_000006,Moto,Bombardier,Atego,2017,2052329,52216
VEH_000725,Bus,Embraer,Urbos,2024,-3305888,138144
VEH_000477,Train,CAF,Burgman,2015,-2271179,12716
VEH_000567,Voiture,Mercedes,Vectron,2019,-3968301,-1989
VEH_000567,Train,MAN,CB 500,2024,5127658,92750
VEH_000164,Moto,Bombardier,Crossway,2017,3624231,49860
VEH_000966,Voiture,Mercedes,Panigale,2024,-556931,-12778
VEH_000366,Bus,Peugeot,Desiro,2022,-1945336,32832
VEH_000184,Train,Scania,Coradia,2022,24710448,279329
VEH_000775,Avion,Mercedes,R 1250 GS,2022,13588710,32268
VEH_000489,Avion,Volkswagen,Stralis,2023,-2430958,50432
VEH_000983,Moto,Embraer,A350,2025,-230846,128014
VEH_000291,Camion,Suzuki,Megane,2024,146617,153106
VEH_000446,Camion,Scania,Vectron,2014,-196539,92378
VEH_000848,Moto,Dacia,Civity,2021,521761,26481
VEH_000661,Train,Alstom,A320,2024,239486338,45427
VEH_000118,Moto,Toyota,Land Cruiser,2019,12406885,71802
VEH_000063,Moto,Mercedes,Q3,2023,14133848,111769
VEH_000579,Avion,CAF,C,2021,-2526141,236724
VEH_000921,Bus,Peugeot,777,2016,-3429141,125742
VEH_000147,Moto,Bombardier,Vectron,2025,-3332551,64427
VEH_000007,Voiture,Honda,Tourismo,2017,-792272,50744
VEH_000022,Bus,MAN,A3,2017,-1054363,162591
VEH_000853,Train,Renault,CB 500,2011,609571,106259
VEH_000442,Train,Dacia,Versys,2023,5294555,330983
VEH_000481,Moto,Kawasaki,Desiro,2018,-96567,72534
VEH_000023,Moto,Scania,208,2021,136262064,183012
VEH_000713,Bus,Mercedes,FH,2018,1585700,30230
VEH_000537,Moto,Kawasaki,Talent,2019,3561148,24102
VEH_000151,Voiture,Peugeot,A350,2017,493566,-10461
VEH_000591,Train,Volkswagen,E190,2020,1831500,308595
VEH_000672,Camion,Iveco,Monster,2023,1617468,-13839
VEH_000613,Avion,CAF,Corolla,2012,10130819,39415
VEH_000805,Moto,Audi,S Series,2020,243303097,-31031
VEH_000577,Voiture,Iveco,Crossway,2019,-3132675,12078
VEH_000499,Camion,BMW,Monster,2022,-2193732,83410
VEH_000942,Moto,Embraer,Zefiro,2021,23863459,-8473
VEH_000268,Moto,Bombardier,TGV,2017,-723757,118810
VEH_000205,Avion,Alstom,Burgman,2025,-316800,51228
VEH_000421,Avion,Ducati,R 1250 GS,2022,86696812,4091
VEH_000062,Voiture,Scania,Atego,2025,4801389,15738
VEH_000716,Bus,Embraer,CRJ1000,2021,71464093,104095
VEH_000919,Moto,Alstom,Duster,2023,244420,183593
VEH_000588,Bus,Renault,i4,2025,3497040,28160
VEH_000054,Bus,CAF,TMAX,2020,24432168,146596
VEH_000138,Moto,Mercedes,Interlink,2011,-22570,22641
VEH_000210,Camion,Alstom,T High,2020,2276957,42651
VEH_000992,Moto,Yamaha,Atego,2021,5704782,103942
VEH_000097,Avion,Siemens,R 1250 GS,2019,4324388,114014
VEH_000515,Voiture,Boeing,Talent,2020,77432,43671
VEH_000713,Train,Boeing,Talent,2017,-2924457,62919
VEH_000901,Voiture,Boeing,Civity,2018,-1150190,138118
VEH_000052,Camion,Volvo,Talent,2023,54708839,28422
VEH_000345,Camion,CAF,Vectron,2022,111809,39102
VEH_000880,Avion,Volvo,C,2024,-1677835,51833
VEH_000932,Voiture,Bombardier,A380,2017,-1948504,104689
VEH_001000,Voiture,Iveco,R Series,2022,-2242521,40017
VEH_000913,Moto,Audi,737,2024,-4155785,-13690
VEH_000369,Voiture,Mercedes,TGS,2018,-335899,55013
VEH_000204,Moto,Scania,Vectron,2021,76656165,35741
VEH_000864,Voiture,Renault,787 Dreamliner,2015,2035820,29354
VEH_000559,Avion,Mercedes,Versys,2023,-3199985,8928
VEH_000588,Bus,Mercedes,E190,2025,651183,52905
VEH_000418,Moto,Siemens,CB 500,2025,8145115,-12192
VEH_000313,Train,Peugeot,Citywide,2024,-6851156,102116
VEH_000051,Moto,Ducati,Lion's City,2023,3665092,78454
VEH_000230,Camion,Bombardier,Megane,2024,171943632,53914
VEH_000829,Avion,Embraer,TGS,2025,1334382,151928
VEH_000245,Bus,Alstom,A320,2024,-825597,53343
VEH_000590,Avion,MAN,Coradia,2022,24131483,155688
VEH_000496,Voiture,Siemens,Urbanway,2016,346213,103712
VEH_000321,Moto,MAN,208,2015,120839869,106984
VEH_000942,Bus,MAN,Camry,2024,1063271,135657
VEH_000176,Avion,MAN,Série 5,2021,739103,49702
VEH_000019,Avion,Airbus,Citywide,2025,-965260,67151
VEH_000734,Train,Volvo,777,2020,4363790,4254
VEH_000806,Camion,Volkswagen,T High,2020,-40071,45703
VEH_000299,Train,Siemens,Eurocargo,2023,-1283858,50845
VEH_000987,Train,Embraer,TGX,2025,226800639,150433
VEH_000004,Voiture,Embraer,FH,2015,-408461,36700
VEH_000393,Moto,Suzuki,Talent,2026,-2774626,109545
VEH_000522,Train,Siemens,Série 3,2022,18033884,42204
VEH_000812,Voiture,Mercedes,3008,2019,1799974,60311
VEH_000903,Avion,Renault,Z900,2025,29917037,63968
VEH_000643,Bus,Peugeot,CRJ900,2025,1069788,222513
VEH_000329,Moto,BMW,9700,2019,1588024,79680
VEH_000113,Moto,Suzuki,A350,2026,-1192283,45776
VEH_000425,Voiture,Airbus,TGX,2024,153322,173342
VEH_000021,Camion,Bombardier,Burgman,2017,22668778,333037
VEH_000297,Camion,Volvo,CB 500,2023,3350850,142910
VEH_000610,Bus,Airbus,Atego,2018,1187238,121597
VEH_000587,Bus,Yamaha,Camry,2024,2041676,34215
VEH_000087,Avion,Siemens,Eurocargo,2022,1887170,28661
VEH_000128,Moto,BMW,RAV4,2019,12433478,26783
VEH_000382,Train,Toyota,MT-07,2023,180525559,38744
VEH_000842,Moto,Scania,Atego,2014,142809580,51220
VEH_000942,Camion,Mercedes,CRJ1000,2023,-260724,66757
VEH_000824,Voiture,Volvo,Panigale,2025,-479255,73249
VEH_000555,Avion,BMW,C,2024,-1776888,79478
VEH_000248,Moto,Bombardier,Civity,2014,3222459,42102
VEH_000799,Bus,Mercedes,e-tron,2023,-647859,76917
VEH_000620,Voiture,Honda,Urbanway,2021,13296418,35283
VEH_000275,Bus,Yamaha,R 1250 GS,2023,741016,26820
VEH_000859,Avion,Volvo,Polo,2025,-1155083,117899
VEH_000792,Moto,Audi,Atego,2023,32581875,-131
VEH_000427,Bus,MAN,7900,2025,15264379,214561
VEH_000099,Bus,CAF,777,2021,2916737,-14059
VEH_000708,Bus,Iveco,E195,2021,-1121212,75905
VEH_000624,Avion,Volvo,Axor,2024,15411575,214811
VEH_000849,Voiture,Suzuki,Talent,2022,27495620,97504
VEH_000151,Bus,Toyota,Touring,2022,19832971,154179
VEH_000506,Bus,Iveco,A350,2023,4583555,103608
VEH_000328,Avion,BMW,Daily,2019,30451020,163781
VEH_000049,Avion,Volkswagen,747,2022,-1211724,44712
VEH_000651,Train,Alstom,A350,2025,-3142405,142788
VEH_000691,Bus,Ducati,Urbos,2022,4656267,183196
VEH_000961,Moto,Mercedes,Q3,2020,-3462588,185443
VEH_000119,Bus,Honda,PCX,2023,5174230,125347
VEH_000238,Train,Mercedes,S Series,2020,-4145770,42255
VEH_000195,Camion,Airbus,Classe E,2017,432323,15672
VEH_000604,Train,Siemens,Lion's City,2020,23915896,124911
VEH_000618,Voiture,Boeing,Ninja 650,2022,102468,82903
VEH_000574,Voiture,Bombardier,CBR 600,2024,-4511499,22912
VEH_000544,Avion,BMW,Passat,2020,120504,89861
VEH_000063,Camion,Honda,e-tron,2022,194646585,83339
VEH_000417,Bus,Volvo,Q3,2023,-2073421,43071
VEH_000893,Camion,Honda,7900,2024,-1644348,136321
VEH_000719,Train,Dacia,Crossway,2025,1464374,38514
VEH_000859,Bus,Honda,Crossway,2023,4017757,62694
VEH_000824,Moto,Suzuki,S 1000 RR,2015,262598,23252
VEH_000323,Moto,Alstom,K,2015,-3307302,173041
VEH_000246,Voiture,Embraer,Classe C,2025,-319959,39143
VEH_000707,Voiture,Volvo,Corolla,2020,196098,22750
VEH_000088,Train,Dacia,A3,2018,558045,236129
VEH_000710,Moto,Dacia,5008,2022,2042751,12437
VEH_000487,Camion,BMW,A330,2024,-3138588,37377
VEH_000508,Avion,Airbus,Série 3,2014,6860353,168811
VEH_000540,Moto,Suzuki,Evadys,2022,902953,136159
VEH_000236,Train,Boeing,Talent,2020,258312139,225885
VEH_000105,Bus,Iveco,TGV,2019,-2146661,135455
VEH_000677,Camion,BMW,Interlink,2021,1016063,136429
VEH_000944,Avion,Iveco,Lion's Coach,2015,4428983,45162
VEH_000348,Bus,Honda,5008,2021,1366145,209662
VEH_000512,Voiture,Mercedes,Urbanway,2023,8536869,88958
VEH_000783,Bus,Mercedes,X5,2026,316157,114091
VEH_000748,Moto,Ducati,E195,2021,297408473,147589
VEH_000358,Camion,Dacia,Coradia,2022,20584694,44884
VEH_000824,Train,Bombardier,MT-07,2016,-335191,44574
VEH_000027,Train,Toyota,7900,2017,-3912471,9804
VEH_000550,Voiture,Bombardier,P Series,2023,378312197,60781
VEH_000112,Camion,Volvo,737,2022,3505662,227565
VEH_000376,Bus,Ducati,Lion's Coach,2021,110669472,21928
VEH_000657,Voiture,Mercedes,S 1000 RR,2021,-100443,318766
VEH_000164,Avion,Bombardier,Vectron,2018,284759,-10900
VEH_000889,Moto,Airbus,P Series,2022,7470870,54378
VEH_000234,Avion,Airbus,308,2023,8941824,92173
VEH_000160,Avion,Mercedes,R1,2019,450471,286043
VEH_000327,Train,Bombardier,Corolla,2018,3766094,163861
VEH_000028,Moto,BMW,CRJ1000,2021,11689938,28199
VEH_000867,Camion,Alstom,A350,2020,75795839,120099
VEH_000756,Bus,Yamaha,A3,2022,-3098991,25957
VEH_000751,Voiture,Airbus,Série 3,2023,-1103043,28250
VEH_000176,Moto,Renault,YZF-R6,2015,-2004342,12410
VEH_000573,Voiture,Kawasaki,PCX,2025,3056622,42027
VEH_000499,Voiture,Siemens,TGV,2019,31299255,49408
VEH_000012,Voiture,Dacia,5008,2023,9108215,96986
VEH_000427,Bus,Airbus,FMX,2021,3531202,55312
VEH_000724,Avion,Yamaha,TGX,2021,1209163,159449
VEH_000276,Train,CAF,A320,2024,1005062,55896
VEH_000152,Train,Toyota,R 1250 GS,2024,-706181,38701
VEH_000284,Train,Scania,Panigale,2023,1184230,130029
VEH_000553,Bus,BMW,RAV4,2025,-1390886,122289
VEH_000875,Camion,Ducati,9700,2024,-1758021,116495
VEH_000626,Bus,Bombardier,MT-07,2019,-4586905,145656
VEH_000481,Camion,Embraer,E195,2022,5440556,50872
VEH_000510,Train,Iveco,Land Cruiser,2023,-323017,27171
VEH_000528,Voiture,Toyota,7900,2016,11007159,199772
VEH_000695,Train,Boeing,Civity,2022,24507997,26543
VEH_000467,Train,Iveco,Spring,2025,1164149,109518
VEH_000593,Avion,Yamaha,Polo,2020,-1459634,28898
VEH_000219,Train,Airbus,Lion's City,2024,20892032,171914
VEH_000522,Voiture,Kawasaki,787 Dreamliner,2026,393062,109809
VEH_000798,Moto,Bombardier,R 1250 GS,2025,-2165986,35812
VEH_000605,Train,MAN,Clio,2018,2613351,126025
VEH_000080,Voiture,Siemens,Logan,2017,48087188,22706
VEH_000656,Bus,MAN,TGX,2025,-1013624,251762
VEH_000897,Bus,Ducati,Coradia,2023,204395937,166643
VEH_000846,Voiture,Mercedes,Clio,2020,30408404,45453
VEH_000911,Camion,Scania,Q5,2023,17571768,169609
VEH_000086,Avion,Honda,3008,2025,161491,18903
VEH_000636,Avion,Alstom,Passat,2012,6432282,213828
VEH_000732,Bus,Mercedes,S Series,2015,-744436,156925
VEH_000371,Train,Yamaha,Sandero,2018,3294749,50079
VEH_000921,Bus,BMW,Citywide,2024,798358,145283
VEH_000607,Voiture,Toyota,Eurocargo,2026,-168861,48366
VEH_000500,Voiture,Suzuki,A380,2018,-648435,111108
VEH_000153,Avion,BMW,FMX,2018,57330892,121012
VEH_000478,Voiture,Honda,Civity,2024,901281,44005
VEH_000532,Voiture,Ducati,Z900,2025,-138174,35012
VEH_000202,Moto,MAN,777,2025,-3447750,129093
VEH_000585,Bus,Dacia,747,2024,-2028691,129506
VEH_000423,Bus,Iveco,Urbanway,2025,-1103661,49531
VEH_000258,Camion,CAF,5008,2021,49896194,101402
VEH_000624,Avion,Airbus,C,2018,29609027,133597
VEH_000442,Moto,Ducati,787 Dreamliner,2019,737119,188728
VEH_000899,Moto,Mercedes,CB 500,2021,-3482,25021
VEH_000792,Camion,Airbus,208,2024,-3833485,87452
VEH_000594,Bus,Ducati,Megane,2022,-508396,103182
VEH_000092,Moto,Renault,CRJ900,2025,-1578202,8860
VEH_000371,Avion,Audi,Monster,2022,-4822235,33320
VEH_000524,Avion,Airbus,CRJ900,2017,35135542,179723
VEH_000792,Camion,Airbus,TMAX,2023,129080586,201741
VEH_000217,Voiture,MAN,Sprinter,2024,-331443,8510
VEH_000266,Train,Embraer,YZF-R6,2017,-2063119,74157
VEH_000639,Camion,Yamaha,777,2017,13044691,135110
VEH_000075,Bus,Bombardier,Citywide,2022,412404,84822
VEH_000174,Moto,Embraer,A350,2026,257766,111885
VEH_000014,Moto,Renault,777,2023,-4717529,20102
VEH_000389,Avion,Renault,TMAX,2017,140267644,179576
VEH_000290,Bus,Audi,A320,2020,854283,32385
VEH_000514,Train,Boeing,Monster,2025,3959065,-10147
VEH_000460,Camion,Kawasaki,Ninja 650,2024,5977300,52926
