nom_molecule,formule_chimique,masse_molaire,categorie,concentration
Paracétamol,C8H9NO2,151.16,Médicament,816.89
Benzène,C6H6,78.11,Hydrocarbure Aromatique,7.32
Oxygène,O2,32.0,Gaz,16.45
PVC,(C2H3Cl)n,62.5,Polymère,19.0
Acide Chlorhydrique,HCl,36.46,Acide Fort,10.41
Glucose,C6H12O6,180.16,Glucide,1.44
Éthanol,C2H5OH,46.07,Alcool,0.22
Méthane,CH4,16.04,Hydrocarbure,7.22
Aspirine,C9H8O4,180.16,Médicament,100.7
Oxygène,O2,32.0,Gaz,62.13
Azote,N2,28.01,Gaz,1.7
Polyéthylène,(C2H4)n,28.05,Polymère,57.23
Acide Sulfurique,H2SO4,98.08,Acide Fort,0.66
Toluène,C7H8,92.14,Hydrocarbure Aromatique,2.34
Benzène,C6H6,78.11,Hydrocarbure Aromatique,6.19
Hydroxyde de Sodium,NaOH,40.0,Base Forte,6.22
Éthanol,C2H5OH,46.07,Alcool,8.6
Paracétamol,C8H9NO2,151.16,Médicament,253.47
Paracétamol,C8H9NO2,151.16,Médicament,111.94
Acétone,C3H6O,58.08,Cétone,8.09
Caféine,C8H10N4O2,194.19,Alcaloïde,0.17
Méthane,CH4,16.04,Hydrocarbure,6.85
Benzène,C6H6,78.11,Hydrocarbure Aromatique,6.84
Hydroxyde de Sodium,NaOH,40.0,Base Forte,5.99
Benzène,C6H6,78.11,Hydrocarbure Aromatique,1.74
Polyéthylène,(C2H4)n,28.05,Polymère,33.29
Ibuprofène,C13H18O2,206.28,Médicament,779.83
Aspirine,C9H8O4,180.16,Médicament,287.15
Glucose,C6H12O6,180.16,Glucide,1.86
Polypropylène,(C3H6)n,42.08,Polymère,79.76
Méthane,CH4,16.04,Hydrocarbure,3.96
Glucose,C6H12O6,180.16,Glucide,5.98
Toluène,C7H8,92.14,Hydrocarbure Aromatique,3.27
Acétone,C3H6O,58.08,Cétone,1.97
Ibuprofène,C13H18O2,206.28,Médicament,860.08
Ammoniaque,NH3,17.03,Base Faible,2.72
Oxygène,O2,32.0,Gaz,59.09
Ammoniaque,NH3,17.03,Base Faible,1.42
Benzène,C6H6,78.11,Hydrocarbure Aromatique,1.66
Paracétamol,C8H9NO2,151.16,Médicament,481.06
Eau,H2O,18.015,Inorganique,2.0
Cholestérol,C27H46O,386.65,Stéroïde,0.15
PVC,(C2H3Cl)n,62.5,Polymère,73.62
Éthanol,C2H5OH,46.07,Alcool,7.9
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,9.26
Caféine,C8H10N4O2,194.19,Alcaloïde,9.15
Caféine,C8H10N4O2,194.19,Alcaloïde,6.24
Méthane,CH4,16.04,Hydrocarbure,0.96
Vitamine C,C6H8O6,176.12,Vitamine,3.12
Cholestérol,C27H46O,386.65,Stéroïde,6.66
Hydroxyde de Sodium,NaOH,40.0,Base Forte,7.69
Éthanol,C2H5OH,46.07,Alcool,4.73
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,9.72
Éthanol,C2H5OH,46.07,Alcool,7.61
Vitamine C,C6H8O6,176.12,Vitamine,7.71
Paracétamol,C8H9NO2,151.16,Médicament,136.39
Benzène,C6H6,78.11,Hydrocarbure Aromatique,4.28
Acide Sulfurique,H2SO4,98.08,Acide Fort,5.33
PVC,(C2H3Cl)n,62.5,Polymère,12.83
Paracétamol,C8H9NO2,151.16,Médicament,527.83
Glucose,C6H12O6,180.16,Glucide,9.08
Vitamine C,C6H8O6,176.12,Vitamine,6.05
Benzène,C6H6,78.11,Hydrocarbure Aromatique,7.56
Glucose,C6H12O6,180.16,Glucide,9.43
Paracétamol,C8H9NO2,151.16,Médicament,360.78
Azote,N2,28.01,Gaz,88.17
Acide Sulfurique,H2SO4,98.08,Acide Fort,9.72
Oxygène,O2,32.0,Gaz,87.27
Hydroxyde de Sodium,NaOH,40.0,Base Forte,2.32
Acide Chlorhydrique,HCl,36.46,Acide Fort,3.96
Vitamine C,C6H8O6,176.12,Vitamine,8.96
Paracétamol,C8H9NO2,151.16,Médicament,916.15
Eau,H2O,18.015,Inorganique,2.29
Dioxyde de Carbone,CO2,44.01,Gaz,35.9
Éthanol,C2H5OH,46.07,Alcool,0.08
Ibuprofène,C13H18O2,206.28,Médicament,580.68
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,6.93
Acide Sulfurique,H2SO4,98.08,Acide Fort,4.12
Benzène,C6H6,78.11,Hydrocarbure Aromatique,1.69
Cholestérol,C27H46O,386.65,Stéroïde,7.03
Polyéthylène,(C2H4)n,28.05,Polymère,15.84
Dioxyde de Carbone,CO2,44.01,Gaz,25.44
Paracétamol,C8H9NO2,151.16,Médicament,547.52
Polyéthylène,(C2H4)n,28.05,Polymère,23.33
Cholestérol,C27H46O,386.65,Stéroïde,0.38
Polyéthylène,(C2H4)n,28.05,Polymère,97.9
Azote,N2,28.01,Gaz,4.27
Eau,H2O,18.015,Inorganique,6.35
Méthane,CH4,16.04,Hydrocarbure,5.31
Aspirine,C9H8O4,180.16,Médicament,317.85
Glucose,C6H12O6,180.16,Glucide,0.82
Cholestérol,C27H46O,386.65,Stéroïde,2.38
Aspirine,C9H8O4,180.16,Médicament,431.0
Dioxyde de Carbone,CO2,44.01,Gaz,98.36
Azote,N2,28.01,Gaz,54.04
Toluène,C7H8,92.14,Hydrocarbure Aromatique,7.99
Caféine,C8H10N4O2,194.19,Alcaloïde,3.21
Aspirine,C9H8O4,180.16,Médicament,726.23
Éthanol,C2H5OH,46.07,Alcool,5.91
Glucose,C6H12O6,180.16,Glucide,0.18
Éthanol,C2H5OH,46.07,Alcool,8.1
Dioxyde de Carbone,CO2,44.01,Gaz,64.87
Dioxyde de Carbone,CO2,44.01,Gaz,94.11
Ibuprofène,C13H18O2,206.28,Médicament,448.06
Polypropylène,(C3H6)n,42.08,Polymère,85.39
Acide Chlorhydrique,HCl,36.46,Acide Fort,4.16
Polypropylène,(C3H6)n,42.08,Polymère,93.22
Acide Sulfurique,H2SO4,98.08,Acide Fort,3.17
Toluène,C7H8,92.14,Hydrocarbure Aromatique,8.17
Dioxyde de Carbone,CO2,44.01,Gaz,53.44
Méthane,CH4,16.04,Hydrocarbure,9.96
Hydroxyde de Sodium,NaOH,40.0,Base Forte,6.74
Vitamine C,C6H8O6,176.12,Vitamine,3.4
Éthanol,C2H5OH,46.07,Alcool,7.01
Toluène,C7H8,92.14,Hydrocarbure Aromatique,8.97
Cholestérol,C27H46O,386.65,Stéroïde,4.05
Eau,H2O,18.015,Inorganique,6.42
Acide Chlorhydrique,HCl,36.46,Acide Fort,11.23
Glucose,C6H12O6,180.16,Glucide,8.99
Dioxyde de Carbone,CO2,44.01,Gaz,58.49
Toluène,C7H8,92.14,Hydrocarbure Aromatique,1.02
Éthanol,C2H5OH,46.07,Alcool,9.74
Polypropylène,(C3H6)n,42.08,Polymère,24.47
Polypropylène,(C3H6)n,42.08,Polymère,53.71
Éthanol,C2H5OH,46.07,Alcool,6.52
Caféine,C8H10N4O2,194.19,Alcaloïde,1.77
Glucose,C6H12O6,180.16,Glucide,2.38
Oxygène,O2,32.0,Gaz,18.7
Cholestérol,C27H46O,386.65,Stéroïde,6.5
Paracétamol,C8H9NO2,151.16,Médicament,748.85
Eau,H2O,18.015,Inorganique,5.43
PVC,(C2H3Cl)n,62.5,Polymère,67.27
Azote,N2,28.01,Gaz,25.15
Aspirine,C9H8O4,180.16,Médicament,981.0
PVC,(C2H3Cl)n,62.5,Polymère,90.28
Méthane,CH4,16.04,Hydrocarbure,3.51
Eau,H2O,18.015,Inorganique,5.77
Eau,H2O,18.015,Inorganique,1.96
Toluène,C7H8,92.14,Hydrocarbure Aromatique,2.81
Éthanol,C2H5OH,46.07,Alcool,7.69
Polyéthylène,(C2H4)n,28.05,Polymère,99.51
Acétone,C3H6O,58.08,Cétone,9.15
Éthanol,C2H5OH,46.07,Alcool,7.48
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,9.28
Polyéthylène,(C2H4)n,28.05,Polymère,59.75
Éthanol,C2H5OH,46.07,Alcool,9.8
Dioxyde de Carbone,CO2,44.01,Gaz,30.15
Oxygène,O2,32.0,Gaz,19.9
Eau,H2O,18.015,Inorganique,3.18
Polypropylène,(C3H6)n,42.08,Polymère,60.11
Azote,N2,28.01,Gaz,69.91
Ibuprofène,C13H18O2,206.28,Médicament,163.37
Polypropylène,(C3H6)n,42.08,Polymère,65.35
Azote,N2,28.01,Gaz,36.51
Acide Sulfurique,H2SO4,98.08,Acide Fort,10.54
Polyéthylène,(C2H4)n,28.05,Polymère,86.38
Caféine,C8H10N4O2,194.19,Alcaloïde,7.03
Toluène,C7H8,92.14,Hydrocarbure Aromatique,5.53
Acide Sulfurique,H2SO4,98.08,Acide Fort,9.73
Éthanol,C2H5OH,46.07,Alcool,2.57
Cholestérol,C27H46O,386.65,Stéroïde,9.13
Paracétamol,C8H9NO2,151.16,Médicament,551.36
Ammoniaque,NH3,17.03,Base Faible,1.95
Ibuprofène,C13H18O2,206.28,Médicament,731.77
Toluène,C7H8,92.14,Hydrocarbure Aromatique,0.52
PVC,(C2H3Cl)n,62.5,Polymère,40.42
Méthane,CH4,16.04,Hydrocarbure,0.95
Vitamine C,C6H8O6,176.12,Vitamine,6.72
PVC,(C2H3Cl)n,62.5,Polymère,51.9
Azote,N2,28.01,Gaz,59.49
Azote,N2,28.01,Gaz,25.77
Acide Sulfurique,H2SO4,98.08,Acide Fort,9.89
Azote,N2,28.01,Gaz,54.17
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,5.23
Oxygène,O2,32.0,Gaz,27.88
Hydroxyde de Sodium,NaOH,40.0,Base Forte,7.51
Glucose,C6H12O6,180.16,Glucide,8.42
Dioxyde de Carbone,CO2,44.01,Gaz,41.72
Éthanol,C2H5OH,46.07,Alcool,6.38
Dioxyde de Carbone,CO2,44.01,Gaz,14.14
Polypropylène,(C3H6)n,42.08,Polymère,56.47
PVC,(C2H3Cl)n,62.5,Polymère,81.57
PVC,(C2H3Cl)n,62.5,Polymère,49.51
Vitamine C,C6H8O6,176.12,Vitamine,2.52
Oxygène,O2,32.0,Gaz,9.01
Caféine,C8H10N4O2,194.19,Alcaloïde,6.89
Eau,H2O,18.015,Inorganique,1.74
Eau,H2O,18.015,Inorganique,4.43
Azote,N2,28.01,Gaz,71.74
Ibuprofène,C13H18O2,206.28,Médicament,941.15
Eau,H2O,18.015,Inorganique,9.55
Paracétamol,C8H9NO2,151.16,Médicament,691.4
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,6.12
Vitamine C,C6H8O6,176.12,Vitamine,0.49
Toluène,C7H8,92.14,Hydrocarbure Aromatique,1.59
Azote,N2,28.01,Gaz,2.42
Acétone,C3H6O,58.08,Cétone,0.93
Benzène,C6H6,78.11,Hydrocarbure Aromatique,0.42
Acétone,C3H6O,58.08,Cétone,9.8
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,4.75
Toluène,C7H8,92.14,Hydrocarbure Aromatique,8.07
Glucose,C6H12O6,180.16,Glucide,1.74
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,3.99
Acide Sulfurique,H2SO4,98.08,Acide Fort,11.39
Glucose,C6H12O6,180.16,Glucide,0.46
Acide Sulfurique,H2SO4,98.08,Acide Fort,7.55
Eau,H2O,18.015,Inorganique,5.4
Ammoniaque,NH3,17.03,Base Faible,1.64
Cholestérol,C27H46O,386.65,Stéroïde,9.44
Méthane,CH4,16.04,Hydrocarbure,0.27
Dioxyde de Carbone,CO2,44.01,Gaz,57.97
Polypropylène,(C3H6)n,42.08,Polymère,61.6
Eau,H2O,18.015,Inorganique,4.59
PVC,(C2H3Cl)n,62.5,Polymère,83.86
Hydroxyde de Sodium,NaOH,40.0,Base Forte,4.69
Eau,H2O,18.015,Inorganique,6.52
Acide Chlorhydrique,HCl,36.46,Acide Fort,2.43
Ammoniaque,NH3,17.03,Base Faible,2.15
Acétone,C3H6O,58.08,Cétone,0.19
PVC,(C2H3Cl)n,62.5,Polymère,65.64
Vitamine C,C6H8O6,176.12,Vitamine,0.72
Ibuprofène,C13H18O2,206.28,Médicament,446.86
Acide Sulfurique,H2SO4,98.08,Acide Fort,0.38
Méthane,CH4,16.04,Hydrocarbure,2.61
Paracétamol,C8H9NO2,151.16,Médicament,206.35
Oxygène,O2,32.0,Gaz,35.49
Acide Chlorhydrique,HCl,36.46,Acide Fort,10.54
Glucose,C6H12O6,180.16,Glucide,4.19
Glucose,C6H12O6,180.16,Glucide,1.78
Caféine,C8H10N4O2,194.19,Alcaloïde,5.69
Éthanol,C2H5OH,46.07,Alcool,9.91
Toluène,C7H8,92.14,Hydrocarbure Aromatique,1.29
Polyéthylène,(C2H4)n,28.05,Polymère,79.88
Cholestérol,C27H46O,386.65,Stéroïde,8.67
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,2.39
Vitamine C,C6H8O6,176.12,Vitamine,7.51
Éthanol,C2H5OH,46.07,Alcool,1.04
Polyéthylène,(C2H4)n,28.05,Polymère,58.09
Dioxyde de Carbone,CO2,44.01,Gaz,82.82
Azote,N2,28.01,Gaz,30.47
PVC,(C2H3Cl)n,62.5,Polymère,45.03
Hydroxyde de Sodium,NaOH,40.0,Base Forte,11.51
PVC,(C2H3Cl)n,62.5,Polymère,18.22
Paracétamol,C8H9NO2,151.16,Médicament,961.12
Dioxyde de Carbone,CO2,44.01,Gaz,57.77
Benzène,C6H6,78.11,Hydrocarbure Aromatique,0.84
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,2.94
Dioxyde de Carbone,CO2,44.01,Gaz,67.58
Glucose,C6H12O6,180.16,Glucide,9.46
Toluène,C7H8,92.14,Hydrocarbure Aromatique,7.9
Ammoniaque,NH3,17.03,Base Faible,9.31
Paracétamol,C8H9NO2,151.16,Médicament,996.34
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,7.37
Acide Chlorhydrique,HCl,36.46,Acide Fort,8.5
Benzène,C6H6,78.11,Hydrocarbure Aromatique,1.44
Acide Sulfurique,H2SO4,98.08,Acide Fort,10.06
Polyéthylène,(C2H4)n,28.05,Polymère,19.1
Paracétamol,C8H9NO2,151.16,Médicament,483.48
Ibuprofène,C13H18O2,206.28,Médicament,165.49
Polypropylène,(C3H6)n,42.08,Polymère,90.27
Méthane,CH4,16.04,Hydrocarbure,0.82
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,2.34
Ibuprofène,C13H18O2,206.28,Médicament,436.84
Eau,H2O,18.015,Inorganique,8.8
Polyéthylène,(C2H4)n,28.05,Polymère,95.25
Ammoniaque,NH3,17.03,Base Faible,7.54
Aspirine,C9H8O4,180.16,Médicament,737.36
PVC,(C2H3Cl)n,62.5,Polymère,79.94
Azote,N2,28.01,Gaz,70.8
Acide Sulfurique,H2SO4,98.08,Acide Fort,10.89
Paracétamol,C8H9NO2,151.16,Médicament,491.01
Ammoniaque,NH3,17.03,Base Faible,0.12
Dioxyde de Carbone,CO2,44.01,Gaz,12.76
Caféine,C8H10N4O2,194.19,Alcaloïde,7.44
Éthanol,C2H5OH,46.07,Alcool,5.84
Polyéthylène,(C2H4)n,28.05,Polymère,17.46
Eau,H2O,18.015,Inorganique,2.24
Aspirine,C9H8O4,180.16,Médicament,821.9
Ammoniaque,NH3,17.03,Base Faible,9.7
Benzène,C6H6,78.11,Hydrocarbure Aromatique,8.91
Azote,N2,28.01,Gaz,92.54
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,2.54
PVC,(C2H3Cl)n,62.5,Polymère,97.24
Polypropylène,(C3H6)n,42.08,Polymère,24.96
Polyéthylène,(C2H4)n,28.05,Polymère,72.62
Eau,H2O,18.015,Inorganique,6.28
Azote,N2,28.01,Gaz,39.04
Vitamine C,C6H8O6,176.12,Vitamine,0.46
Hydroxyde de Sodium,NaOH,40.0,Base Forte,11.51
Toluène,C7H8,92.14,Hydrocarbure Aromatique,8.9
Hydroxyde de Sodium,NaOH,40.0,Base Forte,1.37
Oxygène,O2,32.0,Gaz,28.46
Glucose,C6H12O6,180.16,Glucide,4.64
Polypropylène,(C3H6)n,42.08,Polymère,33.93
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,9.74
Azote,N2,28.01,Gaz,4.2
Caféine,C8H10N4O2,194.19,Alcaloïde,3.1
Dioxyde de Carbone,CO2,44.01,Gaz,60.68
Toluène,C7H8,92.14,Hydrocarbure Aromatique,1.63
Acétone,C3H6O,58.08,Cétone,0.77
Aspirine,C9H8O4,180.16,Médicament,954.82
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,6.14
Méthane,CH4,16.04,Hydrocarbure,0.84
Polypropylène,(C3H6)n,42.08,Polymère,59.64
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,0.27
Eau,H2O,18.015,Inorganique,7.78
Polypropylène,(C3H6)n,42.08,Polymère,98.85
Polyéthylène,(C2H4)n,28.05,Polymère,43.91
Azote,N2,28.01,Gaz,83.09
Polyéthylène,(C2H4)n,28.05,Polymère,85.45
Méthane,CH4,16.04,Hydrocarbure,0.38
Eau,H2O,18.015,Inorganique,0.15
Vitamine C,C6H8O6,176.12,Vitamine,8.65
Polyéthylène,(C2H4)n,28.05,Polymère,58.09
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,9.97
Oxygène,O2,32.0,Gaz,58.93
Oxygène,O2,32.0,Gaz,94.53
Acide Sulfurique,H2SO4,98.08,Acide Fort,4.6
Oxygène,O2,32.0,Gaz,45.6
Acétone,C3H6O,58.08,Cétone,2.52
Ammoniaque,NH3,17.03,Base Faible,6.07
Eau,H2O,18.015,Inorganique,6.72
Méthane,CH4,16.04,Hydrocarbure,3.59
Ibuprofène,C13H18O2,206.28,Médicament,119.97
Méthane,CH4,16.04,Hydrocarbure,4.77
Éthanol,C2H5OH,46.07,Alcool,5.21
Hydroxyde de Sodium,NaOH,40.0,Base Forte,9.81
Hydroxyde de Sodium,NaOH,40.0,Base Forte,6.78
Polyéthylène,(C2H4)n,28.05,Polymère,22.06
Benzène,C6H6,78.11,Hydrocarbure Aromatique,4.21
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,6.21
Méthane,CH4,16.04,Hydrocarbure,8.05
Paracétamol,C8H9NO2,151.16,Médicament,222.73
Méthane,CH4,16.04,Hydrocarbure,3.51
Méthane,CH4,16.04,Hydrocarbure,6.37
Benzène,C6H6,78.11,Hydrocarbure Aromatique,4.38
Méthane,CH4,16.04,Hydrocarbure,3.49
Aspirine,C9H8O4,180.16,Médicament,505.82
Benzène,C6H6,78.11,Hydrocarbure Aromatique,3.97
Vitamine C,C6H8O6,176.12,Vitamine,5.24
Polyéthylène,(C2H4)n,28.05,Polymère,95.46
Glucose,C6H12O6,180.16,Glucide,4.6
Polyéthylène,(C2H4)n,28.05,Polymère,54.29
Dioxyde de Carbone,CO2,44.01,Gaz,46.45
Méthane,CH4,16.04,Hydrocarbure,6.21
Méthane,CH4,16.04,Hydrocarbure,3.29
Acide Chlorhydrique,HCl,36.46,Acide Fort,7.0
Acide Chlorhydrique,HCl,36.46,Acide Fort,1.0
Vitamine C,C6H8O6,176.12,Vitamine,1.29
Acide Chlorhydrique,HCl,36.46,Acide Fort,1.75
Ibuprofène,C13H18O2,206.28,Médicament,262.06
Glucose,C6H12O6,180.16,Glucide,3.46
Éthanol,C2H5OH,46.07,Alcool,8.74
Polypropylène,(C3H6)n,42.08,Polymère,64.17
PVC,(C2H3Cl)n,62.5,Polymère,13.68
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,3.46
Acide Sulfurique,H2SO4,98.08,Acide Fort,2.21
Oxygène,O2,32.0,Gaz,55.32
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,4.61
Acétone,C3H6O,58.08,Cétone,3.65
Acétone,C3H6O,58.08,Cétone,3.31
Caféine,C8H10N4O2,194.19,Alcaloïde,0.93
Benzène,C6H6,78.11,Hydrocarbure Aromatique,6.28
Benzène,C6H6,78.11,Hydrocarbure Aromatique,5.12
Acide Chlorhydrique,HCl,36.46,Acide Fort,11.06
Polyéthylène,(C2H4)n,28.05,Polymère,34.92
Eau,H2O,18.015,Inorganique,0.85
Éthanol,C2H5OH,46.07,Alcool,1.85
Benzène,C6H6,78.11,Hydrocarbure Aromatique,5.37
Cholestérol,C27H46O,386.65,Stéroïde,4.85
Vitamine C,C6H8O6,176.12,Vitamine,5.32
Méthane,CH4,16.04,Hydrocarbure,7.48
Acétone,C3H6O,58.08,Cétone,1.49
PVC,(C2H3Cl)n,62.5,Polymère,74.2
Benzène,C6H6,78.11,Hydrocarbure Aromatique,8.45
Acide Chlorhydrique,HCl,36.46,Acide Fort,6.43
Ammoniaque,NH3,17.03,Base Faible,8.67
Aspirine,C9H8O4,180.16,Médicament,579.36
Benzène,C6H6,78.11,Hydrocarbure Aromatique,1.06
Vitamine C,C6H8O6,176.12,Vitamine,3.78
Acide Sulfurique,H2SO4,98.08,Acide Fort,6.81
Polyéthylène,(C2H4)n,28.05,Polymère,29.03
Hydroxyde de Sodium,NaOH,40.0,Base Forte,2.88
Ammoniaque,NH3,17.03,Base Faible,5.94
Glucose,C6H12O6,180.16,Glucide,3.56
Caféine,C8H10N4O2,194.19,Alcaloïde,4.99
Benzène,C6H6,78.11,Hydrocarbure Aromatique,5.85
Azote,N2,28.01,Gaz,59.1
Ibuprofène,C13H18O2,206.28,Médicament,627.88
Hydroxyde de Sodium,NaOH,40.0,Base Forte,1.62
Caféine,C8H10N4O2,194.19,Alcaloïde,3.38
Dioxyde de Carbone,CO2,44.01,Gaz,64.95
Méthane,CH4,16.04,Hydrocarbure,2.45
Ammoniaque,NH3,17.03,Base Faible,3.31
Eau,H2O,18.015,Inorganique,0.09
Oxygène,O2,32.0,Gaz,16.13
Vitamine C,C6H8O6,176.12,Vitamine,4.88
Acide Chlorhydrique,HCl,36.46,Acide Fort,1.15
Cholestérol,C27H46O,386.65,Stéroïde,8.97
Vitamine C,C6H8O6,176.12,Vitamine,0.53
Ibuprofène,C13H18O2,206.28,Médicament,727.27
Cholestérol,C27H46O,386.65,Stéroïde,1.13
Méthane,CH4,16.04,Hydrocarbure,5.76
Acide Chlorhydrique,HCl,36.46,Acide Fort,10.4
Aspirine,C9H8O4,180.16,Médicament,977.56
Cholestérol,C27H46O,386.65,Stéroïde,7.23
Méthane,CH4,16.04,Hydrocarbure,5.57
Ibuprofène,C13H18O2,206.28,Médicament,528.96
Ammoniaque,NH3,17.03,Base Faible,7.7
Aspirine,C9H8O4,180.16,Médicament,971.19
Glucose,C6H12O6,180.16,Glucide,4.26
Eau,H2O,18.015,Inorganique,7.37
Hydroxyde de Sodium,NaOH,40.0,Base Forte,1.47
Acétone,C3H6O,58.08,Cétone,2.89
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,5.07
Glucose,C6H12O6,180.16,Glucide,3.21
Éthanol,C2H5OH,46.07,Alcool,0.53
Polypropylène,(C3H6)n,42.08,Polymère,50.88
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,0.64
Hydroxyde de Sodium,NaOH,40.0,Base Forte,2.5
Ibuprofène,C13H18O2,206.28,Médicament,828.89
Eau,H2O,18.015,Inorganique,1.4
Caféine,C8H10N4O2,194.19,Alcaloïde,7.6
Acide Chlorhydrique,HCl,36.46,Acide Fort,5.73
Aspirine,C9H8O4,180.16,Médicament,470.66
Polyéthylène,(C2H4)n,28.05,Polymère,86.57
Hydroxyde de Sodium,NaOH,40.0,Base Forte,4.96
Oxygène,O2,32.0,Gaz,73.36
Caféine,C8H10N4O2,194.19,Alcaloïde,2.06
Éthanol,C2H5OH,46.07,Alcool,0.67
Ibuprofène,C13H18O2,206.28,Médicament,749.44
Ibuprofène,C13H18O2,206.28,Médicament,845.15
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,2.02
Éthanol,C2H5OH,46.07,Alcool,1.65
Acide Acétique,CH3COOH,60.05,Acide Carboxylique,2.36
Acétone,C3H6O,58.08,Cétone,5.24
Glucose,C6H12O6,180.16,Glucide,3.17
Acide Sulfurique,H2SO4,98.08,Acide Fort,4.77
Ibuprofène,C13H18O2,206.28,Médicament,506.75
Ibuprofène,C13H18O2,206.28,Médicament,439.25
PVC,(C2H3Cl)n,62.5,Polymère,66.17
Eau,H2O,18.015,Inorganique,7.48
Benzène,C6H6,78.11,Hydrocarbure Aromatique,5.78
Polyéthylène,(C2H4)n,28.05,Polymère,90.96
Vitamine C,C6H8O6,176.12,Vitamine,5.32
Oxygène,O2,32.0,Gaz,90.74
PVC,(C2H3Cl)n,62.5,Polymère,58.86
