exploitation,type_exploitation,pays,region,resultat,produit,quantite_tonnes,prix_tonne_eur,qualite
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,955.64,3208.79,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Oignons,513.32,798.09,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Table,194.28,3849.06,Bio Certifié
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives de Table,67.81,3525.99,Standard
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Maïs,229.94,241.92,Premium
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Bananes,127.49,964.74,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,646.79,1640.11,Bio Certifié
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Deglet Nour,303.48,8111.25,Bio Certifié
Domaine Provence Bio,Domaine Provence Bio,France,Provence,N/A,Raisins de Cuve,93.63,1489.51,Bio Certifié
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,59.17,1573.14,Standard
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,117.86,1443.78,Premium
Domaine Saada,Domaine Saada,Maroc,Meknès-Fès,N/A,Orge,180.02,226.46,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,140.7,2842.8,Standard
Hacienda El Sol,Hacienda El Sol,Espagne,Andalousie,N/A,Olives à Huile,77.78,1868.56,Standard
Rungis International,Rungis International,France,Île-de-France,N/A,Bananes,41.4,854.69,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,11.05,2189.28,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Tomates,645.36,2368.57,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,660.97,4271.71,Standard
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Lait,148.63,583.11,Premium
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Courgettes,974.54,2010.51,Premium
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,570.46,4402.18,Standard
Green Valley Farm,Green Valley Farm,USA,Californie,N/A,Tomates,382.92,2105.4,Commerce Équitable
Cooperative Grains Alliance,Cooperative Grains Alliance,USA,Kansas,N/A,Blé,152.96,218.27,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Pommes,128.63,1126.43,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Salades,45.45,2235.54,Standard
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Robusta,420.67,3366.15,Standard
Mercabarna,Mercabarna,Espagne,Catalogne,N/A,Tomates,165.42,1662.33,Standard
Coopérative Oasis,Coopérative Oasis,Maroc,Marrakech-Safi,N/A,Deglet Nour,149.95,7442.06,Bio Certifié
Fattoria Toscana,Fattoria Toscana,Italie,Toscane,N/A,Raisins de Cuve,108.57,1782.32,Bio Certifié
Union Agricole Méditerranée,Union Agricole Méditerranée,Tunisie,Sfax,N/A,Olives à Huile,161.09,2117.78,Premium
Ferme Al Baraka,Ferme Al Baraka,Maroc,Souss-Massa,N/A,Pamplemousses,17.01,1301.42,Bio Certifié
Fazenda Brasil,Fazenda Brasil,Brésil,São Paulo,N/A,Arabica,410.56,4681.37,Standard
Marché Wholesale Agadir,Marché Wholesale Agadir,Maroc,Souss-Massa,N/A,Pommes,197.27,1107.14,Standard
Dairy Meadows,Dairy Meadows,Nouvelle-Zélande,Canterbury,N/A,Yaourt,56.01,3818.3,Bio Certifié
