id,type_logement,surface,pieces,chambres,salles_bain,chauffage,standing,classe_energie,prix,parking,jardin
BIEN_000001,Appartement,137,4,3,3,Aucun,Moyen,G,2188242,Non,Non
BIEN_000002,Appartement,59,4,2,2,Gaz,Moyen,F,2713046,Oui,Non
BIEN_000003,Appartement,94,6,4,2,Fioul,Standard,D,2584378,Non,Non
BIEN_000004,Maison,120,4,2,1,Climatisation réversible,Standard,C,2737102,Oui,Oui
BIEN_000005,Appartement,106,5,4,3,Gaz,Haut standing,F,1571101,Non,Non
BIEN_000006,Appartement,73,5,4,3,Chauffage central,Standard,B,5333446,Non,Non
BIEN_000007,Maison,397,4,2,2,Pompe à chaleur,Haut standing,B,122195,Oui,Non
BIEN_000008,Villa,209,8,5,5,Pompe à chaleur,Moyen,G,2954651,Oui,Oui
BIEN_000009,Villa,338,8,5,3,Pompe à chaleur,Haut standing,B,6843387,Oui,Oui
BIEN_000010,Maison,81,5,2,2,Électrique,Standard,G,1291082,Oui,Oui
BIEN_000011,Maison,191,5,3,3,Pompe à chaleur,Haut standing,B,1692993,Oui,Non
BIEN_000012,Appartement,163,4,2,2,Chauffage central,Standard,E,2987629,Oui,Non
BIEN_000013,Appartement,90,2,1,1,Climatisation réversible,Standard,D,813938,Non,Non
BIEN_000014,Villa,118,5,2,2,Fioul,Haut standing,G,770841,Oui,Non
BIEN_000015,Maison,142,5,3,2,Électrique,Moyen,F,753000,Oui,Oui
BIEN_000016,Maison,390,8,5,5,Électrique,Moyen,E,272866,Oui,Non
BIEN_000017,Appartement,170,4,2,1,Fioul,Luxe,B,1736293,Non,Non
BIEN_000018,Maison,368,6,3,1,Gaz,Haut standing,D,2029498,Oui,Oui
BIEN_000019,Maison,257,7,4,1,Pompe à chaleur,Standard,E,211044,Oui,Non
BIEN_000020,Appartement,134,4,2,2,Aucun,Moyen,C,3343422,Oui,Non
BIEN_000021,Studio,22,1,0,1,Gaz,Moyen,Non renseigné,3017376,Oui,Non
BIEN_000022,Villa,132,7,4,1,Pompe à chaleur,Moyen,C,6229601,Oui,Non
BIEN_000023,Duplex,74,3,2,2,Gaz,Moyen,E,2931582,Oui,Non
BIEN_000024,Studio,26,1,0,1,Aucun,Haut standing,A,4904046,Oui,Non
BIEN_000025,Maison,312,5,2,2,Pompe à chaleur,Moyen,F,733538,Oui,Oui
