id,installation,type_energie,pays,ville,latitude,longitude,capacite_mw,production_annuelle_gwh,emissions_co2,annee_mise_service,statut
id_000001,Taichung Power Plant,Thermique,Taïwan,Longjing,24.215822,120.475529,5500,24657.13,147942.78,1992,Opérationnelle
id_000002,Grande Dixence,Hydraulique,Suisse,Hérémence,46.083803,7.404181,2069,7810.28,78102.8,1961,Opérationnelle
id_000003,Parc Éolien Markbygden,Éolien,Suède,Piteå,65.808838,21.484646,1101,1574.43,78721.5,2022,Construction
id_000004,Parc Solaire Tengger Desert,Solaire,Chine,Zhongwei,37.545131,105.175959,1547,3214.63,32146.3,2017,Démantèlement
id_000005,Barrage Bin El Ouidane,Hydraulique,Maroc,Azilal,32.116371,-6.51058,135,907.58,18151.6,1953,Opérationnelle
id_000006,Taichung Power Plant,Thermique,Taïwan,Longjing,24.213205,120.472768,5500,1889.45,1606032.5,1992,Planification
id_000007,Shepherds Flat Wind Farm,Éolien,USA,Arlington,45.669363,-119.990972,845,28427.74,170566.44,2012,Construction
id_000008,Barrage d'Assouan,Hydraulique,Égypte,Assouan,23.968732,32.889684,2100,1934.84,38696.8,1970,Planification
id_000009,Parc Éolien Tanger I,Éolien,Maroc,Tanger,35.767184,-5.839438,140,6155.87,5232489.5,2014,Construction
id_000010,Parc Éolien Tanger I,Éolien,Maroc,Tanger,35.753741,-5.83178,140,1541.63,77081.5,2014,Planification
id_000011,Barrage des Trois Gorges,Hydraulique,Chine,Yichang,30.822121,111.009897,22500,6236.12,5300702.0,2012,Planification
id_000012,Bruce Nuclear Generating Station,Nucléaire,Canada,Tiverton,44.3413,-81.602932,6384,453.04,9060.8,1977,Opérationnelle
id_000013,Vindhyachal Thermal Power Station,Thermique,Inde,Vindhyanagar,24.078037,82.622311,4760,2118.74,105937.0,1987,Opérationnelle
id_000014,Barrage des Trois Gorges,Hydraulique,Chine,Yichang,30.819396,111.009552,22500,1288.76,12887.6,2012,Construction
id_000015,Centrale Solaire Jasper,Solaire,Afrique du Sud,Kimberley,-28.733625,24.765651,96,4959.21,49592.1,2014,Démantèlement
id_000016,Grand Ethiopian Renaissance Dam,Hydraulique,Éthiopie,Guba,11.208611,35.094177,6450,654.77,32738.5,2022,Opérationnelle
id_000017,Parc Solaire Benban,Solaire,Égypte,Assouan,24.087935,32.901532,1650,3339.35,33393.5,2019,Opérationnelle
id_000018,Barrage des Trois Gorges,Hydraulique,Chine,Yichang,30.81726,111.007837,22500,1028.31,10283.1,2012,Maintenance
id_000019,Centrale Nucléaire de Gravelines,Nucléaire,France,Gravelines,51.020556,2.127435,5460,3568.46,3033191.0,1980,Opérationnelle
id_000020,Medupi Power Station,Thermique,Afrique du Sud,Lephalale,-23.858086,27.640473,4764,1964.47,39289.4,2015,Démantèlement
id_000021,Parc Solaire Benban,Solaire,Égypte,Assouan,24.091739,32.901942,1650,1074.37,53718.5,2019,Maintenance
id_000022,Barrage Bin El Ouidane,Hydraulique,Maroc,Azilal,32.117634,-6.522061,135,1510.99,151099.0,1953,Planification
id_000023,Kashiwazaki-Kariwa,Nucléaire,Japon,Kashiwazaki,37.425918,138.59769,8212,1488.07,74403.5,1985,Planification
id_000024,Lake Turkana Wind Power,Éolien,Kenya,Loiyangalani,2.766635,36.709756,310,2603.48,52069.6,2019,Maintenance
id_000025,Grand Ethiopian Renaissance Dam,Hydraulique,Éthiopie,Guba,11.209429,35.095603,6450,513.19,51319.0,2022,Maintenance
id_000026,Barrage d'Itaipu,Hydraulique,Brésil,Foz do Iguaçu,-25.410214,-54.590336,14000,2005.87,1704989.5,1984,Maintenance
id_000027,Grand Coulee Dam,Hydraulique,USA,Coulee Dam,47.959052,-118.999451,6809,84.66,4233.0,1942,Construction
id_000028,Bełchatów Power Station,Thermique,Pologne,Bełchatów,51.276525,19.325868,5298,1539.61,76980.5,1981,Démantèlement
id_000029,Barrage Daniel-Johnson,Hydraulique,Canada,Baie-Comeau,49.275382,-68.712213,2596,1130.31,56515.5,1968,Démantèlement
id_000030,Parc Éolien Courseulles,Éolien,France,Courseulles-sur-Mer,49.334868,-0.454517,450,6529.72,65297.2,2024,Planification
id_000031,Parc Éolien Markbygden,Éolien,Suède,Piteå,65.808288,21.475013,1101,1856.61,18566.1,2022,Planification
id_000032,Centrale Solaire Jasper,Solaire,Afrique du Sud,Kimberley,-28.724216,24.756137,96,686.35,34317.5,2014,Planification
id_000033,Centrale Thermique Jorf Lasfar,Thermique,Maroc,El Jadida,33.129767,-8.638767,1356,2910.31,2473763.5,1984,Opérationnelle
id_000034,Parc Solaire Bhadla,Solaire,Inde,Bhadla,27.5804,71.908088,2245,5305.14,4509369.0,2020,Planification
id_000035,Barrage Bin El Ouidane,Hydraulique,Maroc,Azilal,32.117081,-6.525348,135,2314.54,46290.8,1953,Maintenance
id_000036,Topaz Solar Farm,Solaire,USA,San Luis Obispo,35.389307,-120.088626,550,4133.35,3513347.5,2014,Planification
id_000037,Taichung Power Plant,Thermique,Taïwan,Longjing,24.213,120.489502,5500,2920.72,58414.4,1992,Maintenance
id_000038,Alta Wind Energy Center,Éolien,USA,Tehachapi,34.953018,-118.216041,1548,12029.28,72175.68,2013,Construction
id_000039,Centrale Solaire Cestas,Solaire,France,Cestas,44.741187,-0.67974,300,1583.35,158335.0,2015,Opérationnelle
id_000040,Barrage d'Itaipu,Hydraulique,Brésil,Foz do Iguaçu,-25.40491,-54.579017,14000,994.76,845546.0,1984,Opérationnelle
id_000041,Parc Éolien London Array,Éolien,Royaume-Uni,Thames Estuary,51.653237,1.484456,630,618.41,61841.0,2013,Démantèlement
id_000042,Topaz Solar Farm,Solaire,USA,San Luis Obispo,35.387913,-120.083996,550,573.34,28667.0,2014,Construction
id_000043,Barrage de Xiluodu,Hydraulique,Chine,Yongshan,28.241203,103.634546,13860,1329.69,1130236.5,2014,Maintenance
id_000044,Parc Solaire Benban,Solaire,Égypte,Assouan,24.098053,32.893306,1650,8054.71,80547.1,2019,Construction
id_000045,Enel Green Power Delfina,Éolien,Brésil,Casa Nova,-9.1629,-40.972681,300,5109.53,4343100.5,2018,Opérationnelle
id_000046,Barrage Daniel-Johnson,Hydraulique,Canada,Baie-Comeau,49.284017,-68.724766,2596,16500.75,99004.5,1968,Maintenance
id_000047,Parc Solaire Bhadla,Solaire,Inde,Bhadla,27.582307,71.921823,2245,2799.95,55999.0,2020,Construction
id_000048,Parc Solaire Tengger Desert,Solaire,Chine,Zhongwei,37.546951,105.169998,1547,190.53,9526.5,2017,Opérationnelle
id_000049,Palo Verde Nuclear,Nucléaire,USA,Tonopah,33.397609,-112.855656,3937,261.84,13092.0,1986,Maintenance
id_000050,Parc Éolien London Array,Éolien,Royaume-Uni,Thames Estuary,51.644693,1.481286,630,3553.88,3020798.0,2013,Maintenance
id_000051,Gansu Wind Farm,Éolien,Chine,Jiuquan,39.759748,98.50985,7965,2871.08,57421.6,2021,Opérationnelle
id_000052,Bruce Nuclear Generating Station,Nucléaire,Canada,Tiverton,44.34184,-81.599201,6384,28857.51,173145.06,1977,Maintenance
id_000053,Vindhyachal Thermal Power Station,Thermique,Inde,Vindhyanagar,24.090141,82.617119,4760,26856.28,161137.68,1987,Opérationnelle
id_000054,Centrale Solaire Cestas,Solaire,France,Cestas,44.747172,-0.684618,300,160.71,8035.5,2015,Planification
id_000055,Parc Solaire Benban,Solaire,Égypte,Assouan,24.094005,32.892354,1650,338.9,16945.0,2019,Planification
id_000056,Centrale Solaire Weesow-Willmersdorf,Solaire,Allemagne,Werneuchen,52.639821,13.738941,187,2359.04,23590.4,2020,Maintenance
id_000057,Bełchatów Power Station,Thermique,Pologne,Bełchatów,51.270875,19.324023,5298,6600.39,5610331.5,1981,Maintenance
