ville,pays,region,latitude,longitude
Bruxelles,Belgique,Brussels,50.816989,4.319832
Tanger,Maroc,Tanger-Tétouan-Al Hoceïma,35.748267,-5.843767
Shanghai,Chine,Shanghai,31.267826,121.474711
New York,USA,New York,40.73514,-74.045586
Houston,USA,Texas,29.732944,-95.349506
Lyon,France,Auvergne-Rhône-Alpes,45.71928,4.83436
Los Angeles,USA,California,34.062137,-118.233485
Anvers,Belgique,Flanders,51.171693,4.384711
Marseille,France,Provence-Alpes-Côte d'Azur,43.310149,5.3347
Montréal,Canada,Québec,45.521242,-73.542707
Berlin,Allemagne,Berlin,52.568197,13.375984
Marseille,France,Provence-Alpes-Côte d'Azur,43.329013,5.37183
Le Caire,Égypte,Cairo,30.031746,31.197938
Beijing,Chine,Beijing,39.927751,116.380986
New York,USA,New York,40.699942,-74.049746
Calgary,Canada,Alberta,51.074837,-114.045241
Osaka,Japon,Kansai,34.717062,135.482244
Los Angeles,USA,California,34.019548,-118.229945
Florence,Italie,Tuscany,43.769217,11.223625
Kyoto,Japon,Kansai,35.030191,135.817213
Madrid,Espagne,Madrid,40.441522,-3.679801
Beijing,Chine,Beijing,39.949231,116.377694
Tanger,Maroc,Tanger-Tétouan-Al Hoceïma,35.766055,-5.786035
Sydney,Australie,New South Wales,-33.902271,151.229325
Sydney,Australie,New South Wales,-33.860219,151.217948
Milan,Italie,Lombardy,45.483967,9.232962
Sydney,Australie,New South Wales,-33.840542,151.164914
Porto,Portugal,Porto,41.193173,-8.656546
Zurich,Suisse,Zurich,47.364591,8.537873
Le Caire,Égypte,Cairo,30.042491,31.229218
Lyon,France,Auvergne-Rhône-Alpes,45.807735,4.856302
Porto,Portugal,Porto,41.171017,-8.674116
Bordeaux,France,Nouvelle-Aquitaine,44.878191,-0.538261
New York,USA,New York,40.740821,-74.055297
Munich,Allemagne,Bavaria,48.090828,11.554522
Oujda,Maroc,Oriental,34.649835,-1.921516
Toulouse,France,Occitanie,43.646962,1.441406
Beijing,Chine,Beijing,39.85554,116.385675
Fès,Maroc,Fès-Meknès,33.972559,-5.054171
Strasbourg,France,Grand Est,48.550972,7.729661
Anvers,Belgique,Flanders,51.248113,4.449983
Marseille,France,Provence-Alpes-Côte d'Azur,43.283621,5.362689
Beijing,Chine,Beijing,39.938679,116.384214
Valence,Espagne,Valencia,39.435538,-0.340991
Lille,France,Hauts-de-France,50.58385,3.06927
Milan,Italie,Lombardy,45.470399,9.174592
Manchester,Royaume-Uni,England,53.462319,-2.215414
Birmingham,Royaume-Uni,England,52.444842,-1.916722
Lisbonne,Portugal,Lisbon,38.745545,-9.134468
Toulouse,France,Occitanie,43.567499,1.482414
Marseille,France,Provence-Alpes-Côte d'Azur,43.285845,5.402587
Nantes,France,Pays de la Loire,47.247171,-1.541157
Genève,Suisse,Geneva,46.203848,6.191155
Toulouse,France,Occitanie,43.569197,1.466716
Genève,Suisse,Geneva,46.173519,6.127026
Melbourne,Australie,Victoria,-37.83273,145.007804
Oujda,Maroc,Oriental,34.733436,-1.943098
Valence,Espagne,Valencia,39.422104,-0.354299
Londres,Royaume-Uni,England,51.499199,-0.168916
Sydney,Australie,New South Wales,-33.850425,151.213811
Fès,Maroc,Fès-Meknès,34.066152,-5.035059
Naples,Italie,Campania,40.842198,14.272355
Tanger,Maroc,Tanger-Tétouan-Al Hoceïma,35.78867,-5.829116
Sydney,Australie,New South Wales,-33.85751,151.181915
Hambourg,Allemagne,Hamburg,53.585792,9.986563
Anvers,Belgique,Flanders,51.183496,4.418919
Houston,USA,Texas,29.732009,-95.410044
Miami,USA,Florida,25.797899,-80.195784
Beijing,Chine,Beijing,39.929128,116.386459
Francfort,Allemagne,Hesse,50.139597,8.643294
Toronto,Canada,Ontario,43.638797,-79.335394
Tanger,Maroc,Tanger-Tétouan-Al Hoceïma,35.788899,-5.834274
Séville,Espagne,Andalusia,37.373078,-5.947286
Tunis,Tunisie,Tunis,36.810985,10.207343
Strasbourg,France,Grand Est,48.598811,7.703895
Paris,France,Île-de-France,48.819225,2.368163
Lille,France,Hauts-de-France,50.595362,3.032849
Melbourne,Australie,Victoria,-37.768936,144.969118
Casablanca,Maroc,Casablanca-Settat,33.598173,-7.584002
Lille,France,Hauts-de-France,50.634451,3.016715
Manchester,Royaume-Uni,England,53.465166,-2.264357
Manchester,Royaume-Uni,England,53.469873,-2.212766
Calgary,Canada,Alberta,51.031893,-114.07673
Nice,France,Provence-Alpes-Côte d'Azur,43.699938,7.221341
Francfort,Allemagne,Hesse,50.105007,8.651661
Seattle,USA,Washington,47.574872,-122.372696
Bordeaux,France,Nouvelle-Aquitaine,44.823467,-0.553452
Rabat,Maroc,Rabat-Salé-Kénitra,33.998544,-6.860365
Londres,Royaume-Uni,England,51.521667,-0.158216
Calgary,Canada,Alberta,51.084396,-114.069881
Naples,Italie,Campania,40.84656,14.273882
Chicago,USA,Illinois,41.844703,-87.618453
Sydney,Australie,New South Wales,-33.88249,151.249019
Édimbourg,Royaume-Uni,Scotland,55.920185,-3.187595
Valence,Espagne,Valencia,39.479711,-0.422962
Manchester,Royaume-Uni,England,53.467169,-2.219336
Tunis,Tunisie,Tunis,36.838538,10.162816
Milan,Italie,Lombardy,45.494059,9.236776
Lyon,France,Auvergne-Rhône-Alpes,45.799687,4.797464
Paris,France,Île-de-France,48.880573,2.334167
Nice,France,Provence-Alpes-Côte d'Azur,43.759042,7.260536
Fès,Maroc,Fès-Meknès,33.980343,-4.985281
Boston,USA,Massachusetts,42.342401,-71.009192
Strasbourg,France,Grand Est,48.621378,7.767713
Tanger,Maroc,Tanger-Tétouan-Al Hoceïma,35.722483,-5.815314
Madrid,Espagne,Madrid,40.376103,-3.750864
Porto,Portugal,Porto,41.190196,-8.658125
Melbourne,Australie,Victoria,-37.825697,145.010446
Bruxelles,Belgique,Brussels,50.833984,4.331349
Toulouse,France,Occitanie,43.646521,1.405275
Chicago,USA,Illinois,41.904058,-87.580993
Tanger,Maroc,Tanger-Tétouan-Al Hoceïma,35.79963,-5.818833
Barcelone,Espagne,Catalonia,41.366506,2.148832
Toronto,Canada,Ontario,43.685126,-79.345218
Birmingham,Royaume-Uni,England,52.488743,-1.915966
Marrakech,Maroc,Marrakech-Safi,31.590794,-8.022382
Ottawa,Canada,Ontario,45.443408,-75.705188
Kyoto,Japon,Kansai,35.052136,135.792067
Seattle,USA,Washington,47.575326,-122.320722
Madrid,Espagne,Madrid,40.410351,-3.696075
Séville,Espagne,Andalusia,37.412907,-5.95388
Sydney,Australie,New South Wales,-33.834426,151.184697
Tokyo,Japon,Kanto,35.629312,139.674229
Nantes,France,Pays de la Loire,47.179034,-1.572108
Seattle,USA,Washington,47.556582,-122.313933
Seattle,USA,Washington,47.572913,-122.316572
Valence,Espagne,Valencia,39.519074,-0.419033
Montréal,Canada,Québec,45.459408,-73.583262
Sydney,Australie,New South Wales,-33.832161,151.180853
Sydney,Australie,New South Wales,-33.882762,151.166151
Paris,France,Île-de-France,48.882916,2.343031
