id,nom,espece,race,age,poids,sexe,couleur_pelage
ANI_000001,Bunny,Lapin,Géant des Flandres,7,3.99,Femelle,Beige
ANI_000002,Shadow,Chat,Siamois,10,5.3,Femelle,Tacheté
ANI_000003,Pepper,Oiseau,Cacatoès,7,0.99,Femelle,Marron
ANI_000004,Pepper,Oiseau,Canari,11,1.41,Mâle,Rayé
ANI_000005,Minou,Chat,Européen,11,6.06,Mâle,Tacheté
ANI_000006,Angel,Oiseau,Cacatoès,0,0.81,Femelle,Noir
ANI_000007,Cleo,Chat,Siamois,6,7.92,Mâle,Beige
ANI_000008,Charlie,Chien,Golden Retriever,2,35.61,Mâle,Tacheté
ANI_000009,Coco,Chien,Yorkshire,3,47.4,Mâle,Gris
ANI_000010,Goldie,Poisson,Betta,0,0.02,Femelle,Blanc
ANI_000011,Cleo,Chat,Bengal,14,6.42,Femelle,Tricolore
ANI_000012,Peter,Lapin,Géant des Flandres,2,5.55,Femelle,Tacheté
ANI_000013,Peter,Lapin,Bélier,3,2.56,Femelle,Noir
ANI_000014,Goldie,Poisson,Carpe Koï,3,0.1,Femelle,Rayé
ANI_000015,Cleo,Chat,Scottish Fold,1,4.98,Mâle,Marron
ANI_000016,Clover,Lapin,Rex,7,5.22,Mâle,Gris
ANI_000017,Sunny,Oiseau,Canari,7,0.57,Mâle,Roux
ANI_000018,Marshmallow,Lapin,Rex,8,2.48,Mâle,Noir
ANI_000019,Angel,Oiseau,Perroquet Ara,6,0.66,Mâle,Beige
ANI_000020,Zeus,Chien,Caniche,2,36.81,Mâle,Beige
ANI_000021,Spirit,Cheval,Quarter Horse,4,770.52,Femelle,Blanc
ANI_000022,Cleo,Chat,Chartreux,6,7.25,Femelle,Beige
ANI_000023,Fluffy,Lapin,Bélier,6,2.55,Mâle,Rayé
ANI_000024,Mango,Oiseau,Perruche,7,0.45,Femelle,Beige
ANI_000025,Shadow,Cheval,Pur-sang Arabe,4,788.68,Mâle,Gris
ANI_000026,Storm,Cheval,Pur-sang Arabe,25,494.39,Mâle,Gris
ANI_000027,Nemo,Poisson,Guppy,1,0.02,Femelle,Tricolore
ANI_000028,Coco,Oiseau,Perruche,0,0.51,Femelle,Beige
ANI_000029,Oreo,Lapin,Géant des Flandres,6,3.05,Mâle,Rayé
ANI_000030,Blaze,Cheval,Mustang,12,430.79,Femelle,Rayé
ANI_000031,Star,Cheval,Quarter Horse,1,649.74,Mâle,Tacheté
ANI_000032,Splash,Poisson,Poisson Rouge,5,0.23,Mâle,Marron
ANI_000033,Cotton,Lapin,Rex,6,5.48,Mâle,Noir
ANI_000034,Nemo,Poisson,Poisson Rouge,0,0.33,Mâle,Roux
ANI_000035,Duke,Chien,Bulldog Français,8,18.72,Mâle,Blanc
ANI_000036,Nemo,Poisson,Guppy,5,0.12,Femelle,Blanc
ANI_000037,Maximus,Cheval,Frison,23,777.16,Mâle,Tacheté
ANI_000038,Flash,Poisson,Poisson Rouge,0,0.04,Femelle,Marron
ANI_000039,Cleo,Chat,Bengal,13,6.48,Mâle,Rayé
ANI_000040,Storm,Cheval,Pur-sang Arabe,16,799.1,Femelle,Tricolore
ANI_000041,Thunder,Cheval,Pur-sang Arabe,1,564.41,Mâle,Rayé
