id,athlete,sport,pays,resultat,date
id_00000001,Achraf Hakimi,Football,Maroc,Victoire,2024-01-01
id_00000002,Kylian Mbappé,Football,France,Défaite,2024-01-01
id_00000003,Mondo Duplantis,Athlétisme,France,Victoire,2024-01-01
id_00000004,Achraf Hakimi,Football,Maroc,Défaite,2024-01-02
id_00000005,Carlos Alcaraz,Tennis,USA,Victoire,2024-01-02
id_00000006,Hakim Ziyech,Football,Maroc,Victoire,2024-01-02
id_00000007,LeBron James,Basketball,USA,Défaite,2024-01-03
id_00000008,Carlos Alcaraz,Tennis,Angleterre,Victoire,2024-01-03
id_00000009,Erling Haaland,Football,Maroc,Nul,2024-01-03
id_00000010,Kylian Mbappé,Football,Angleterre,Victoire,2024-01-04
id_00000011,Novak Djokovic,Tennis,USA,Victoire,2024-01-04
id_00000012,Carlos Alcaraz,Tennis,USA,Nul,2024-01-05
id_00000013,Mohamed Salah,Football,Maroc,Défaite,2024-01-05
id_00000014,Giannis Antetokounmpo,Basketball,USA,Défaite,2024-01-05
id_00000015,Mondo Duplantis,Athlétisme,France,Victoire,2024-01-06
id_00000016,Kylian Mbappé,Football,Espagne,Victoire,2024-01-06
id_00000017,Kevin Durant,Basketball,USA,Défaite,2024-01-06
id_00000018,Carlos Alcaraz,Tennis,Angleterre,Défaite,2024-01-07
id_00000019,Achraf Hakimi,Football,Allemagne,Défaite,2024-01-07
id_00000020,Achraf Hakimi,Football,Allemagne,Victoire,2024-01-07
id_00000021,Novak Djokovic,Tennis,France,Défaite,2024-01-08
id_00000022,Aryna Sabalenka,Tennis,USA,Nul,2024-01-08
id_00000023,Hakim Ziyech,Football,Espagne,Victoire,2024-01-09
id_00000024,Giannis Antetokounmpo,Basketball,USA,Victoire,2024-01-09
id_00000025,Hakim Ziyech,Football,Allemagne,Défaite,2024-01-09
id_00000026,Beauden Barrett,Rugby,Nouvelle-Zélande,Victoire,2024-01-10
id_00000027,LeBron James,Basketball,USA,Victoire,2024-01-10
id_00000028,Achraf Hakimi,Football,Maroc,Nul,2024-01-10
id_00000029,Mondo Duplantis,Athlétisme,France,Victoire,2024-01-11
id_00000030,Stephen Curry,Basketball,USA,Défaite,2024-01-11
id_00000031,Achraf Hakimi,Football,France,Victoire,2024-01-11
id_00000032,Carlos Alcaraz,Tennis,Angleterre,Défaite,2024-01-12
id_00000033,Mohamed Salah,Football,France,Victoire,2024-01-12
id_00000034,Mohamed Salah,Football,Espagne,Victoire,2024-01-13
id_00000035,Iga Świątek,Tennis,Angleterre,Nul,2024-01-13
id_00000036,Cheslin Kolbe,Rugby,Nouvelle-Zélande,Victoire,2024-01-13
id_00000037,Iga Świątek,Tennis,Angleterre,Victoire,2024-01-14
id_00000038,Erling Haaland,Football,Angleterre,Victoire,2024-01-14
id_00000039,Kylian Mbappé,Football,Maroc,Victoire,2024-01-14
id_00000040,Iga Świątek,Tennis,USA,Nul,2024-01-15
id_00000041,Usain Bolt,Athlétisme,France,Victoire,2024-01-15
id_00000042,Hakim Ziyech,Football,Angleterre,Victoire,2024-01-15
id_00000043,Aryna Sabalenka,Tennis,Angleterre,Défaite,2024-01-16
id_00000044,Hakim Ziyech,Football,Angleterre,Victoire,2024-01-16
id_00000045,Hakim Ziyech,Football,Espagne,Victoire,2024-01-17
id_00000046,Erling Haaland,Football,Allemagne,Victoire,2024-01-17
id_00000047,Hakim Ziyech,Football,Espagne,Victoire,2024-01-17
id_00000048,Aryna Sabalenka,Tennis,USA,Défaite,2024-01-18
id_00000049,Achraf Hakimi,Football,Allemagne,Défaite,2024-01-18
id_00000050,LeBron James,Basketball,USA,Défaite,2024-01-18
id_00000051,Erling Haaland,Football,Maroc,Victoire,2024-01-19
id_00000052,Mohamed Salah,Football,Espagne,Victoire,2024-01-19
id_00000053,LeBron James,Basketball,USA,Victoire,2024-01-19
id_00000054,Novak Djokovic,Tennis,Angleterre,Défaite,2024-01-20
id_00000055,Mohamed Salah,Football,Angleterre,Nul,2024-01-20
id_00000056,Carlos Alcaraz,Tennis,Angleterre,Nul,2024-01-21
id_00000057,Cheslin Kolbe,Rugby,Nouvelle-Zélande,Victoire,2024-01-21
id_00000058,Kylian Mbappé,Football,Maroc,Défaite,2024-01-21
id_00000059,Erling Haaland,Football,France,Nul,2024-01-22
id_00000060,Kylian Mbappé,Football,Maroc,Défaite,2024-01-22
id_00000061,Mohamed Salah,Football,France,Nul,2024-01-22
id_00000062,Novak Djokovic,Tennis,France,Victoire,2024-01-23
id_00000063,Erling Haaland,Football,Allemagne,Victoire,2024-01-23
id_00000064,Novak Djokovic,Tennis,France,Nul,2024-01-23
id_00000065,Kylian Mbappé,Football,Maroc,Défaite,2024-01-24
id_00000066,Aryna Sabalenka,Tennis,USA,Victoire,2024-01-24
id_00000067,LeBron James,Basketball,USA,Défaite,2024-01-25
id_00000068,Mohamed Salah,Football,France,Nul,2024-01-25
id_00000069,Antoine Dupont,Rugby,Afrique du Sud,Défaite,2024-01-25
id_00000070,LeBron James,Basketball,USA,Défaite,2024-01-26
id_00000071,Novak Djokovic,Tennis,Angleterre,Victoire,2024-01-26
id_00000072,Kylian Mbappé,Football,Espagne,Nul,2024-01-26
id_00000073,Beauden Barrett,Rugby,Afrique du Sud,Défaite,2024-01-27
