id,type_vehicule,marque_voiture,modele,annee_fabrication,prix,kilometrage
VEH_000001,Bus,Scania,Interlink,2022,211781,42726
VEH_000002,Camion,Renault,T High,2016,25858,107080
VEH_000003,Avion,Bombardier,CRJ900,2010,34830059,166586
VEH_000004,Bus,Mercedes,Tourismo,2019,155077,101265
VEH_000005,Moto,Yamaha,MT-07,2024,11025,0
VEH_000006,Camion,Renault,T High,2018,52221,118152
VEH_000007,Bus,Iveco,Urbanway,2018,123100,107352
VEH_000008,Avion,Airbus,A350,2014,135231222,100640
VEH_000009,Voiture,Dacia,Sandero,2022,22619,45332
VEH_000010,Avion,Airbus,A350,2019,207903379,86075
VEH_000011,Train,CAF,Civity,2012,13165843,217320
VEH_000012,Train,Bombardier,Talent,2014,7396518,177210
VEH_000013,Bus,Scania,Interlink,2021,236107,43908
VEH_000014,Bus,Scania,Interlink,2017,146401,163373
VEH_000015,Bus,MAN,Lion's Coach,2024,177512,0
VEH_000016,Avion,Boeing,777,2016,125848213,110104
VEH_000017,Voiture,Renault,Clio,2024,24625,0
VEH_000018,Moto,Suzuki,V-Strom,2021,16050,59775
VEH_000019,Bus,Volvo,9900,2015,103664,146583
VEH_000020,Voiture,Toyota,Yaris,2020,23742,95288
VEH_000021,Camion,MAN,TGL,2018,56650,108720
VEH_000022,Train,Siemens,Vectron,2016,21293082,96392
VEH_000023,Voiture,Audi,Q5,2019,22260,81475
VEH_000024,Train,CAF,Civity,2017,11885133,129115
VEH_000025,Camion,Renault,T High,2017,49601,128464
VEH_000026,Train,Alstom,Coradia,2012,10245472,225048
VEH_000027,Train,CAF,Civity,2020,25819569,90960
VEH_000028,Bus,Scania,Interlink,2018,211852,124542
VEH_000029,Camion,MAN,TGX,2019,86801,102460
VEH_000030,Voiture,Audi,Q3,2016,32479,112112
VEH_000031,Train,Bombardier,Zefiro,2024,42223058,0
VEH_000032,Avion,Airbus,A350,2019,208723636,111535
VEH_000033,Voiture,Audi,Q5,2017,28067,150171
VEH_000034,Avion,Airbus,A330,2019,37243306,62455
VEH_000035,Avion,Boeing,787 Dreamliner,2014,135230797,144650
VEH_000036,Bus,Iveco,Urbanway,2017,123582,128156
VEH_000037,Train,Bombardier,Talent,2018,25220282,136650
VEH_000038,Avion,Boeing,737,2022,54027522,34506
VEH_000039,Voiture,Peugeot,5008,2019,46452,83085
VEH_000040,Avion,Embraer,E175,2023,60138561,21443
VEH_000041,Moto,Yamaha,TMAX,2024,22099,0
VEH_000042,Bus,Volvo,9700,2017,136986,108752
VEH_000043,Moto,Kawasaki,Ninja 650,2016,9209,170088
VEH_000044,Moto,Kawasaki,Ninja 650,2021,15107,64620
VEH_000045,Avion,Boeing,787 Dreamliner,2019,147021439,75365
VEH_000046,Voiture,Dacia,Spring,2022,34736,29936
VEH_000047,Train,Alstom,TGV,2023,26641339,23923
VEH_000048,Bus,Scania,Citywide,2017,185347,108402
VEH_000049,Avion,Boeing,777,2021,90727522,53580
VEH_000050,Moto,Yamaha,TMAX,2024,29216,0
VEH_000051,Avion,Airbus,A350,2023,67920347,11540
VEH_000052,Avion,Boeing,747,2012,99443011,240228
VEH_000053,Train,CAF,Civity,2012,11622690,267912
VEH_000054,Train,Bombardier,Talent,2022,34205664,40300
VEH_000055,Voiture,BMW,i4,2023,69848,14910
VEH_000056,Avion,Bombardier,CRJ1000,2014,26639762,195880
VEH_000057,Train,Siemens,Vectron,2016,20882973,140600
VEH_000058,Bus,Scania,Touring,2018,110193,89010
VEH_000059,Camion,Renault,K,2015,44262,119916
VEH_000060,Camion,Iveco,Daily,2023,125009,11015
VEH_000061,Moto,Honda,CB 500,2019,15192,101720
VEH_000062,Camion,Mercedes,Actros,2021,109331,40908
VEH_000063,Moto,Yamaha,TMAX,2015,4372,130896
VEH_000064,Voiture,Audi,A4,2022,39536,37160
VEH_000065,Train,Siemens,Vectron,2018,11087708,133038
VEH_000066,Moto,Kawasaki,Versys,2021,14396,68202
VEH_000067,Moto,Suzuki,GSX-R,2020,13484,68172
VEH_000068,Moto,Honda,Africa Twin,2015,11429,124362
VEH_000069,Camion,Scania,P Series,2023,86424,21458
VEH_000070,Camion,Scania,R Series,2016,32372,135848
VEH_000071,Moto,BMW,S 1000 RR,2015,2317,184302
VEH_000072,Train,Bombardier,Talent,2022,35790691,31622
VEH_000073,Train,Siemens,Desiro,2021,30337686,70869
VEH_000074,Camion,Scania,P Series,2021,78685,60801
VEH_000075,Voiture,Toyota,Camry,2023,34273,16371
VEH_000076,Train,Siemens,Vectron,2017,11396575,107807
VEH_000077,Moto,Kawasaki,Versys,2020,3404,67068
VEH_000078,Bus,Volvo,9700,2022,227713,30684
VEH_000079,Train,Siemens,Vectron,2013,8704191,273999
VEH_000080,Voiture,Mercedes,Classe E,2022,21997,20448
VEH_000081,Bus,Mercedes,Tourismo,2015,66567,108234
VEH_000082,Camion,Mercedes,Atego,2016,28283,175240
VEH_000083,Voiture,Dacia,Sandero,2023,19741,20161
VEH_000084,Train,Alstom,Coradia,2018,25399416,95706
VEH_000085,Avion,Bombardier,CRJ900,2018,57012767,124878
VEH_000086,Bus,Mercedes,Citaro,2024,262987,0
VEH_000087,Train,Alstom,Coradia,2024,46987237,0
VEH_000088,Camion,Scania,S Series,2020,59141,63152
VEH_000089,Bus,Volvo,7900,2020,220440,58448
VEH_000090,Camion,Volvo,FH,2020,61735,52912
VEH_000091,Avion,Boeing,777,2013,94774812,118723
VEH_000092,Camion,Scania,R Series,2018,42760,106698
VEH_000093,Voiture,Dacia,Spring,2018,13240,90654
VEH_000094,Camion,Iveco,Eurocargo,2022,81466,38794
VEH_000095,Voiture,Dacia,Duster,2021,20676,53910
VEH_000096,Bus,Mercedes,Sprinter,2020,249064,92200
VEH_000097,Camion,Renault,T High,2021,64175,61185
VEH_000098,Avion,Boeing,777,2010,23341638,331394
VEH_000099,Voiture,Dacia,Sandero,2021,33122,51933
VEH_000100,Camion,Volvo,FH,2017,45949,93345
VEH_000101,Camion,Volvo,FM,2017,70837,158200
VEH_000102,Camion,Scania,P Series,2022,113295,35940
VEH_000103,Train,CAF,Urbos,2023,43499062,16150
VEH_000104,Moto,Honda,CB 500,2019,15890,100560
VEH_000105,Avion,Bombardier,CRJ900,2019,84925614,116820
VEH_000106,Bus,Volvo,9700,2020,178365,51072
VEH_000107,Moto,Kawasaki,Ninja 650,2023,9405,18633
VEH_000108,Avion,Boeing,747,2016,159274840,137472
VEH_000109,Avion,Boeing,747,2019,51551286,53225
VEH_000110,Camion,Volvo,FH,2023,121886,13629
VEH_000111,Bus,Volvo,7900,2017,101081,123753
VEH_000112,Bus,Mercedes,Tourismo,2021,181639,52437
VEH_000113,Voiture,Mercedes,GLE,2018,34601,90816
VEH_000114,Voiture,Toyota,Land Cruiser,2022,16244,28394
VEH_000115,Moto,Suzuki,Burgman,2019,16980,109275
VEH_000116,Camion,Iveco,Stralis,2021,108075,65502
VEH_000117,Avion,Airbus,A350,2019,236062386,51950
VEH_000118,Train,Bombardier,Talent,2016,10098098,133896
VEH_000119,Train,CAF,Civity,2012,11157384,294276
VEH_000120,Avion,Airbus,A350,2014,55911152,175640
VEH_000121,Moto,Honda,PCX,2024,16548,0
VEH_000122,Avion,Airbus,A380,2012,15059115,276420
VEH_000123,Voiture,Audi,Q5,2023,27468,12033
VEH_000124,Bus,Iveco,Urbanway,2019,222960,90280
VEH_000125,Bus,MAN,Lion's City,2024,297138,0
VEH_000126,Camion,Renault,T High,2016,28345,152608
VEH_000127,Train,Siemens,Vectron,2011,7753645,309816
VEH_000128,Camion,MAN,TGS,2015,40371,161154
VEH_000129,Avion,Embraer,E175,2018,186559379,67308
VEH_000130,Voiture,Mercedes,GLE,2024,50805,0
VEH_000131,Train,CAF,Civity,2014,7821340,189870
VEH_000132,Avion,Boeing,737,2011,55464860,210379
VEH_000133,Camion,Iveco,Stralis,2015,53516,105336
VEH_000134,Avion,Boeing,737,2019,185089576,95085
VEH_000135,Voiture,BMW,Série 5,2024,68167,0
VEH_000136,Moto,Ducati,Monster,2015,4453,206658
VEH_000137,Train,Bombardier,Zefiro,2016,16779033,82216
VEH_000138,Bus,MAN,Lion's Coach,2018,173804,76512
VEH_000139,Train,Siemens,Vectron,2011,10239034,199498
VEH_000140,Bus,Scania,Interlink,2015,137416,176805
VEH_000141,Moto,Ducati,Panigale,2017,11895,149751
VEH_000142,Train,CAF,Urbos,2020,16095272,65784
VEH_000143,Avion,Embraer,E190,2012,54584281,240564
VEH_000144,Voiture,Toyota,Yaris,2016,10912,149688
VEH_000145,Camion,Renault,C,2018,38163,79344
VEH_000146,Train,CAF,Urbos,2013,11755075,257125
VEH_000147,Avion,Boeing,787 Dreamliner,2014,65332836,154200
VEH_000148,Voiture,Toyota,Yaris,2020,41790,52468
VEH_000149,Train,Siemens,Velaro,2019,17592964,120280
VEH_000150,Avion,Airbus,A320,2022,153027748,44860
VEH_000151,Moto,Yamaha,TMAX,2015,2243,176679
VEH_000152,Voiture,Mercedes,GLE,2022,30022,46790
VEH_000153,Bus,Iveco,Urbanway,2024,281600,0
VEH_000154,Avion,Boeing,737,2012,110586086,177480
VEH_000155,Camion,MAN,TGS,2020,58988,84652
VEH_000156,Camion,Scania,R Series,2020,49651,91212
VEH_000157,Train,CAF,Urbos,2017,9987716,145719
VEH_000158,Moto,Suzuki,V-Strom,2021,7484,38874
VEH_000159,Voiture,BMW,Série 5,2022,63293,42488
VEH_000160,Voiture,Renault,Kadjar,2022,17165,36438
VEH_000161,Moto,Kawasaki,Ninja 650,2019,9651,51345
